lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1804_translation,version_1805_translation,version_1806_translation,version_1807_translation,version_1808_translation,version_1809_translation,version_1810_translation,version_1811_translation,version_1812_translation,version_1813_translation,english_translation
θεός,370,unigram,masculine,accusative,plural,gudar,1.097258004808277,,,gudar,,,,,,,,God
θεός,151,unigram,masculine,accusative,singular,Gud,160552.64731319356,Gud,,Gud,Gud,Gud,Gud,Gud,Gud,Gud,Gud,God
θεός,32,unigram,masculine,nominative,plural,gudar,3.1419903457260365,gudar,,gudar,,gudar,,gudar,,gudar,gudar,God
θεός,233,unigram,masculine,nominative,singular,Gud,11165870765.656637,Gud,,Gud,Gud,Gud,Gud,Gud,Gud,Gud,Gud,God
κύριος,372,unigram,masculine,nominative,plural,löste,1.2036052582263375,åsnan,,löste,,,löste,lossade,,,,"Lord, lord, master"
κύριος,152,unigram,masculine,nominative,singular,Herren,11.916592695597682,Herren,,Herren,Herren,herre,Herren,Herren,Herren,Herren,Herren,"Lord, lord, master"
γραφή,146,unigram,feminine,accusative,plural,Skrifterna,45.32866202232927,skrifterna,,Skrifterna,Skriften,skrifterna,Skrifterna,Skrifterna,Skrifterna,Skrifterna,Skriften,Scripture
γραφή,57,unigram,feminine,accusative,singular,,,skriftens,,,Skriften,skriftens,Skriftens,,förkastade,,Skriften,Scripture
γραφή,295,unigram,feminine,nominative,plural,,,Men,,,förutsagt,skrifterna,uppfyllas,uppfyllas,Skrifterna,Skrifterna,Skriften,Scripture
γραφή,365,unigram,feminine,nominative,singular,Skriften,404.7773444939613,uppfyllas,,Skriften,Skriften,skriften,Skriften,Skriften,Skriften,Skriften,Skriften,Scripture
ἄγγελος,111,unigram,masculine,accusative,plural,änglar,178.61736981475562,änglar,,Änglar,änglar,änglar,änglar,änglar,änglar,änglar,änglar,angel
ἄγγελος,92,unigram,masculine,accusative,singular,,,,,Ängel,bereda,ängel,budbärare,budbärare,bereda,budbärare,bereda,angel
ἄγγελος,53,unigram,masculine,nominative,plural,änglarna,3.5386725732653415,änglarna,,Änglarna,änglarna,änglarna,änglar,änglar,änglarna,änglar,änglarna,angel
ἄγγελος,122,unigram,masculine,nominative,singular,ängel,10.280594450683543,ängel,,Ängel,ängeln,ängel,ängel,ängel,ängel,ängel,ängel,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,Apostlarna,49.23109049200132,Apostlarna,,Apostlarna,tolv,apostlarna,,,Apostlarna,Apostlarna,Apostlarna,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,budbärare,1.7326198820878649,budbärare,,sändabådet,budbärare,,budbäraren,budbäraren,,sändebudet,budbärare,apostle
ἐξουσία,222,unigram,feminine,accusative,singular,makt,2066.452873052706,makt,,magt,makt,makt,makt,makt,auktoritet,makt,makt,authority
βρέφος,17,unigram,neuter,accusative,plural,spädbarn,2.2681339991050407,röra,,båro,körde,späda,spädbarn,spädbarn,motade,spädbarn,körde,babies
βρέφος,363,unigram,neuter,accusative,singular,nederlagdt,1.4686697667861366,,,nederlagdt,,,,,,,,babies
ἀποθήκη,303,unigram,feminine,accusative,plural,lador,38.54924950754067,lador,,församla,lador,lador,samlar,lador,lador,lador,lador,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,vetet,2.371304654936464,vetet,,,vetet,,samla,samla,vetet,samla,vetet,barn
φραγμός,261,unigram,masculine,accusative,plural,,,stigarna,,,,,,,,,uppmana,"barrier, wall"
φραγμός,127,unigram,masculine,accusative,singular,vakttorn,1.0595319950666118,,,,,,,,vakttorn,,,"barrier, wall"
ἀρχή,203,unigram,feminine,accusative,singular,,,uppenbarade,,Aldraförst,,begynnelsen,Begynnelsen,,,utförde,de.Han,beginning
ζώνη,194,unigram,feminine,accusative,plural,inga,1.145071270060534,,,,inga,,,,,,,belt
βλασφημία,36,unigram,feminine,accusative,plural,hädare,3.944887002686049,hädare,,hädelse,,hädiska,hädare,hädare,hädare,hädare,hädar,blasphemy
βλασφημία,108,unigram,feminine,accusative,singular,förhädat,1.0960768946513286,,,förhädat,,,,,,,,blasphemy
βλασφημία,231,unigram,feminine,nominative,plural,hädelser,8.849359621411446,,,,,,hädelser,hädelser,,hädelser,,blasphemy
βλασφημία,93,unigram,feminine,nominative,singular,hädelse,22.698262496312413,,,,,hädelse,hädelse,hädelse,hädelse,hädelse,,blasphemy
πλοῖον,120,unigram,neuter,accusative,plural,båtarna,36.521961848416055,,,båtarna,båtarna,båtarna,båtarna,båtarna,båtarna,båtarna,båtarna,boat
πλοῖον,348,unigram,neuter,accusative,singular,båten,6.175011860210154,båten,,skeppet,båten,båten,båten,båten,båten,båten,båten,boat
πλοῖον,268,unigram,neuter,nominative,plural,båtar,1.6855938864963467,,,,,båtar,båtar,båtar,båtar,i.,,boat
πλοῖον,252,unigram,neuter,nominative,singular,båten,8.63811021421157,båten,,skeppet,långt,båten,båten,båten,båten,båten,båten,boat
σῶμα,67,unigram,neuter,nominative,singular,kropp,4951.403318232645,kropp,,kropp,kropp,kropp,kropp,kropp,kropp,kropp,kropp,body
κλῆμα,63,unigram,neuter,nominative,plural,grenarna,1.4488560333602734,grenarna,,,vinstocken,,grenarna,Utan,grenarna.Den,grenarna,grenarna,branch
κλῆμα,168,unigram,neuter,nominative,singular,förblir,4.256684648795527,kvar,,blifver,gren,förbliver,förblir,förblir,förblir,grenen,gren,branch
ἄρτος,352,unigram,masculine,accusative,plural,bröd,149.24436791008824,bröd,,bröd,bröd,bröd,bröd,bröd,bröd,bröd,bröd,bread
ἄρτος,382,unigram,masculine,accusative,singular,bröd,127.71614052469693,bröd,,bröd,brödet,bröd,bröd,bröd,bröd,bröd,bröd,bread
ἄρτος,177,unigram,masculine,nominative,plural,bröd,430.6234096510397,bröd,,bröd,bröd,bröd,bröd,bröd,mätta,bröd,bröd,bread
ἄρτος,43,unigram,masculine,nominative,singular,,,brödet,,brödet,brödet,bröd,bröd,bröd,bröd,,brödet,bread
ἀδελφός,338,unigram,masculine,accusative,plural,bröder,19182.11426761469,bröder,,bröder,bröder,bröder,bröder,bröder,bröder,bröder,bröder,brother
ἀδελφός,137,unigram,masculine,accusative,singular,bror,86.61625068904374,bror,,broder,bror,broder,bror,bror,bror,bror,bror,brother
ἀδελφός,126,unigram,masculine,nominative,plural,bröder,1092.7261568797528,bröder,,bröder,bröder,bröder,bröder,bröder,bröder,bröder,bröder,brother
ἀδελφός,259,unigram,masculine,nominative,singular,bror,5962.580911420842,bror,,broder,bror,broder,bror,bror,bror,bror,bror,brother
στῆθος,174,unigram,neuter,accusative,plural,bröstet,2.0208954935228602,,,,,bröstet,bröstet,,åskådare,,bröstet,"chest, breast"
στῆθος,321,unigram,neuter,accusative,singular,,,bakåt,,bröst,mot,bröst,Jesu,bröst,bröstkorg,mot,mot,"chest, breast"
ἀρχιερεύς,274,unigram,masculine,accusative,plural,översteprästerna,1051.8212442721049,översteprästerna,,Presterna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,chief priest
ἀρχιερεύς,68,unigram,masculine,accusative,singular,översteprästen,20.407737492480273,översteprästen,,Presten,,översteprästen,översteprästen,översteprästen,översteprästen,översteprästen,översteprästen,chief priest
ἀρχιερεύς,136,unigram,masculine,nominative,plural,översteprästerna,517.6534093977366,översteprästerna,,öfverste,översteprästerna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,översteprästerna,chief priest
ἀρχιερεύς,278,unigram,masculine,nominative,singular,översteprästen,109.38833655115636,översteprästen,,öfverste,översteprästen,översteprästen,översteprästen,översteprästen,översteprästen,översteprästen,översteprästen,chief priest
παῖς,264,unigram,masculine,accusative,plural,slå,1.5897909673348871,,,slå,,,,,,,,child
