lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_572_translation,version_573_translation,version_574_translation,version_575_translation,version_576_translation,version_577_translation,version_578_translation,english_translation
θεός,150,unigram,masculine,accusative,singular,Diyos,622.498823059127,Dios,Dios,Diyos,Dios,Diyos,Diyos,Diyos,God
θεός,34,unigram,masculine,nominative,plural,,,dios,dios,,dios,diyos,diyos,diyos,God
θεός,231,unigram,masculine,nominative,singular,Diyos,9406.903267255584,Dios,Dios,Diyos,Dios,Diyos,Diyos,Diyos,God
κύριος,368,unigram,masculine,nominative,plural,kinakalagan,5.2185245734827,,kinakalag,kinakalagan,kinakalagan,kinakalagan,kinakalagan,kinakalagan,"Lord, lord, master"
κύριος,151,unigram,masculine,nominative,singular,Panginoon,22.36016706902972,Panginoon,Panginoon,Panginoon,Panginoon,Panginoon,Panginoon,Panginoon,"Lord, lord, master"
γραφή,145,unigram,feminine,accusative,plural,Kasulatan,24.045722867137258,kasulatan,kasulatan,kasulatan,Kasulatan,Kasulatan,Kasulatan,Kasulatan,Scripture
γραφή,58,unigram,feminine,accusative,singular,kasulatan,4.59658565662823,,,nababasa,Kasulatan,kasulatan,kasulatan,kasulatan,Scripture
γραφή,293,unigram,feminine,nominative,plural,,,kasulatan,kasulatan,kasulatan,mangyari,Kasulatan,Kasulatan,Kasulatan,Scripture
γραφή,362,unigram,feminine,nominative,singular,kasulatan,85.86762008822329,kasulatan,kasulatan,kasulatan,Kasulatan,kasulatan,kasulatan,kasulatan,Scripture
ἄγγελος,111,unigram,masculine,accusative,plural,anghel,210.62379910994156,anghel,anghel,anghel,anghel,anghel,anghel,anghel,angel
ἄγγελος,95,unigram,masculine,accusative,singular,mensahero,1.0404223368358003,,,,mensahero,,,,angel
ἄγγελος,54,unigram,masculine,nominative,plural,anghel,46866.06175428941,anghel,anghel,anghel,anghel,anghel,anghel,anghel,angel
ἄγγελος,122,unigram,masculine,nominative,singular,anghel,30695.02612836531,anghel,anghel,anghel,anghel,anghel,anghel,anghel,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,apostol,1942.4324044699172,apostol,apostol,apostol,apostol,apostol,apostol,apostol,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,,,dakila,dakila,dakila,isinugo,sinugo,sinugo,sinugo,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,isasagot,1.224262391873223,isasagot,isasagot,mag-alala,,,litisin,,authority
ἐξουσία,221,unigram,feminine,accusative,singular,,,kapamahalaan,kapamahalaan,awtoridad,kapangyarihan,kapangyarihang,kapangyarihan,kapangyarihang,authority
βρέφος,19,unigram,neuter,accusative,plural,Inilalapit,1.7437579933179668,hipuin,hipuin,hawakan,,Inilalapit,Inilalapit,Inilalapit,babies
βρέφος,360,unigram,neuter,accusative,singular,nakahiga,1.138241039808318,pasabsaban,pasabsaban,,sabsaban,nakahiga,nakahiga,nakahiga,babies
ἀποθήκη,300,unigram,feminine,accusative,plural,kamalig,15.998369418350894,bangan,bangan,kamalig,bodega,kamalig,kamalig,kamalig,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,kamalig,1.8117546580735329,bangan,bangan,kamalig,,kamalig,kamalig,kamalig,barn
φραγμός,261,unigram,masculine,accusative,plural,pilitin,1.316739288237296,,,,,pilitin,pilitin,pilitin,"barrier, wall"
φραγμός,127,unigram,masculine,accusative,singular,pisaan,1.1226080485698346,,,,,pisaan,,pisaan,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,isasagot,1.2239546136665145,isasagot,isasagot,mag-alala,,,litisin,,beginning
ἀρχή,201,unigram,feminine,accusative,singular,pasimulang,1.2238654476742756,pasimulang,pasimulang,Ginawa,nangyaring,,,,beginning
ζώνη,192,unigram,feminine,accusative,plural,tanso,1.2436365949646513,mangagbaon,mangagbaon,pera,magbaon,tanso,tanso,tanso,belt
ζώνη,250,unigram,feminine,accusative,singular,Gawa,1.3167216672078015,,,yari,pulot-pukyutan,Gawa,Gawa,Gawa,belt
βλασφημία,38,unigram,feminine,accusative,plural,mangagkatuwiranan,1.2013845589884997,mangagkatuwiranan,mangagkatuwiranan,,lumalapastangan,,,,blasphemy
βλασφημία,109,unigram,feminine,accusative,singular,,,Nagsalita,,,paglapastangan,,,,blasphemy
βλασφημία,229,unigram,feminine,nominative,plural,paglapastangan,1.7459549536254029,,,paglapastangan,,,,,blasphemy
βλασφημία,96,unigram,feminine,nominative,singular,kapusungan,3.2681767297572555,kapusungan,kapusungan,,,,,,blasphemy
πλοῖον,120,unigram,neuter,accusative,plural,bangka,96.39721871185395,daong,daong,bangka,bangka,bangka,bangka,bangka,boat
πλοῖον,345,unigram,neuter,accusative,singular,bangka,135.14293896463442,daong,daong,bangka,bangka,bangka,bangka,bangka,boat
πλοῖον,268,unigram,neuter,nominative,plural,pagkaiwan,1.1228689027410788,pagkaiwan,pagkaiwan,Pagkaiwan,sinasakyan,,,,boat
πλοῖον,252,unigram,neuter,nominative,singular,bangka,13.510389936663206,daong,daong,bangka,bangka,bangka,bangka,bangka,boat
σῶμα,239,unigram,neuter,nominative,plural,katawan,5.906600196010761,katawan,katawan,katawan,,,,,body
σῶμα,68,unigram,neuter,nominative,singular,katawan,2090.239353591602,katawan,katawan,katawan,katawan,katawan,katawan,katawan,body
κλῆμα,64,unigram,neuter,nominative,plural,hiwalay,1.9663933189250704,hiwalay,hiwalay,hiwalay,hiwalay,,,,branch
κλῆμα,166,unigram,neuter,nominative,singular,nananatili,4.41343795968881,manatili,manatili,,,nananatili,nananatili,nananatili,branch
ἄρτος,350,unigram,masculine,accusative,plural,tinapay,13172.664541074902,tinapay,tinapay,tinapay,tinapay,tinapay,tinapay,tinapay,bread
ἄρτος,377,unigram,masculine,accusative,singular,tinapay,51271.95547321127,tinapay,tinapay,tinapay,tinapay,tinapay,tinapay,tinapay,bread
ἄρτος,174,unigram,masculine,nominative,plural,tinapay,89.47126313044366,tinapay,tinapay,tinapay,sapat,tinapay,tinapay,tinapay,bread
ἄρτος,45,unigram,masculine,nominative,singular,tinapay,378.5013582581848,tinapay,tinapay,tinapay,tinapay,tinapay,tinapay,tinapay,bread
ἀδελφός,334,unigram,masculine,accusative,plural,kapatid,41374.09346434294,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,brother
ἀδελφός,137,unigram,masculine,accusative,singular,,,kapatid,kapatid,kapatid,sina,magkapatid,magkapatid,magkapatid,brother
ἀδελφός,126,unigram,masculine,nominative,plural,kapatid,63.885978122777594,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,brother
ἀδελφός,259,unigram,masculine,nominative,singular,kapatid,576875.3287674121,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,kapatid,brother
στῆθος,318,unigram,neuter,accusative,singular,dibdib,65.40134899282145,dibdib,dibdib,nakahilig,nakasandal,dibdib,dibdib,dibdib,"chest, breast"
ἀρχιερεύς,272,unigram,masculine,accusative,plural,punong,1.145962874431546,,,punong,namamahalang,punong,punong,punong,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,pinakapunong,2.223111021507632,dakilang,dakilang,pinakapunong,punong,pinakapunong,pinakapunong,pinakapunong,chief priest
ἀρχιερεύς,136,unigram,masculine,nominative,plural,punong,1.0174978154348227,saserdote,saserdote,pari,namamahalang,punong,punong,punong,chief priest
ἀρχιερεύς,276,unigram,masculine,nominative,singular,pinakapunong,1.5719562813169952,saserdote,saserdote,pinakapunong,punong,pinakapunong,pinakapunong,pinakapunong,chief priest
παῖς,264,unigram,masculine,accusative,plural,batang,2.9363769736601877,,,nagalit,batang,batang,batang,batang,child
παῖς,56,unigram,masculine,accusative,singular,pinangisay,1.5666546327118782,ibinuwal,ibinuwal,,ibinalik,pinangisay,pinangisay,pinangisay,child
τέκνον,370,unigram,neuter,accusative,plural,anak,34362.624911432424,anak,anak,anak,anak,anak,anak,anak,child
