lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1149_translation,version_1150_translation,version_1151_translation,version_1152_translation,version_1153_translation,english_translation
θεός,376,unigram,masculine,accusative,plural,dios,1.09731846221664,dios,,,,,God
θεός,158,unigram,masculine,accusative,singular,Dios,51.349143724605305,Dios,Dios,Dyos,Dios,Dios,God
θεός,34,unigram,masculine,nominative,plural,dios,1.09731846221664,dios,,,,,God
θεός,242,unigram,masculine,nominative,singular,Dios,236.22669350424778,Dios,Dios,Dyos,Dios,Dios,God
κύριος,378,unigram,masculine,nominative,plural,n-ela,1.0971543797400354,n-ela,,,,,"Lord, lord, master"
κύριος,159,unigram,masculine,nominative,singular,Qajaw,2.2340353944880054,Kaaw,aq'nil,Qajaw,Kajaw,Qajaw,"Lord, lord, master"
γραφή,153,unigram,feminine,accusative,plural,Tu'jil,13.815152960038082,tyol,Tyol,Tu'jil,Tu'jil,Tu'jil,Scripture
γραφή,60,unigram,feminine,accusative,singular,Tu'jil,1.3823984420188105,¿Mixpatzen,ntq'ma,,Tu'jil,Tu'jil,Scripture
γραφή,304,unigram,feminine,nominative,plural,,,nbaja,tiqu'nil,,tz'iban,tz'ib'an,Scripture
γραφή,371,unigram,feminine,nominative,singular,Tu'jil,10.157565711444457,tyol,Tu'jil,Tu'jil,Tu'jil,Tu'jil,Scripture
ἄγγελος,118,unigram,masculine,accusative,plural,n-anjele,1.5919535318689104,,n-angela,anjl,n-anjele,n-anjele,angel
ἄγγελος,99,unigram,masculine,accusative,singular,tb'eya,1.5694535887405892,nsanjela,kyb'inchinxjal,tb'eya,tbeya,tb'eya,angel
ἄγγελος,56,unigram,masculine,nominative,plural,anjel,14.559001176813517,tsanjel,angel,anjl,anjel,anjel,angel
ἄγγελος,129,unigram,masculine,nominative,singular,anjel,3.3164086361519436,ángel,angel,tanjl,anjel,anjel,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,,,sma,t-xnaq'tzb'in,chq,apostl,apostol,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,samal,2.4845721870468696,smante,nimxtl,chq'onte,samal,samal,apostle
ἐξουσία,80,unigram,feminine,accusative,plural,,,,lu'li,,cytzak'we'ne,kytzaq'we'ne,authority
ἐξουσία,232,unigram,feminine,accusative,singular,,,tipemalxin,wokli,woklene,cyoclen,kyoklen,authority
βρέφος,20,unigram,neuter,accusative,plural,mayet,1.421816478191464,,kanintaq,myolkyeju,mayet,mayet,babies
βρέφος,369,unigram,neuter,accusative,singular,twab,1.2718308921551258,alimaj,twab,kuẍli,twabl,twab,babies
ἀποθήκη,79,unigram,feminine,accusative,singular,,,triwa,triy,triy,triw,triw,barn
φραγμός,272,unigram,masculine,accusative,plural,,,xmoxetz,,q'inqe'ktza,k'onca,q'onka,"barrier, wall"
φραγμός,134,unigram,masculine,accusative,singular,ttemlel,1.0595706247739851,ttemlel,,,,,"barrier, wall"
ἀρχή,83,unigram,feminine,accusative,plural,,,cycuyantey,lu'li,,cytzak'we'ne,kytzaq'we'ne,beginning
ἀρχή,212,unigram,feminine,accusative,singular,,,,tyek'ine,,—¿Alcyetzuna,—¿Alkyetzuna,beginning
ζώνη,203,unigram,feminine,accusative,plural,,,cobre,q'anpwaq,q'ank'uxb'il,cybolse,kybolse,belt
ζώνη,261,unigram,feminine,accusative,singular,ẍplon,1.1226284695549669,,kamey,,ẍplon,ẍplon,belt
βλασφημία,38,unigram,feminine,accusative,plural,ximal,1.090189301746293,,tyolch,,ximal,ximal,blasphemy
βλασφημία,115,unigram,feminine,accusative,singular,,,,¿Tiqe,,t-sbit'un,t-sb'it'un,blasphemy
βλασφημία,240,unigram,feminine,nominative,plural,,,,,,cysi'min,kysi'min,blasphemy
πλοῖον,127,unigram,neuter,accusative,plural,barc,3.1954841134826966,cybarcxin,bark,b'ark,barc,barc,boat
πλοῖον,353,unigram,neuter,accusative,singular,barc,15.436475682132736,choc,bark,b'ark,barc,barc,boat
πλοῖον,279,unigram,neuter,nominative,plural,,,iy'xkexin,kytzaqpi,Ekyajtzun,cyajtzun,kyajtzun,boat
πλοῖον,263,unigram,neuter,nominative,singular,barc,5.241616076240408,tmij,bark,b'ark,barc,barc,boat
σῶμα,250,unigram,neuter,nominative,plural,,,,,,cyximlal,kyximlal,body
σῶμα,70,unigram,neuter,nominative,singular,t-ximlala,1.3272483412388925,tbak,kyxmilila,t-xmilala,t-ximlala,t-ximlala,body
κλῆμα,66,unigram,neuter,nominative,plural,,,uvakey,,,cbantel,kb'antel,branch
κλῆμα,177,unigram,neuter,nominative,singular,uva,1.650422036598577,lo'pj,wuk'iy,tq'ob,uva,uva,branch
ἄρτος,358,unigram,masculine,accusative,plural,wab,16.451527843504994,pan,wab,wab,wabj,wab,bread
ἄρτος,389,unigram,masculine,accusative,singular,wab,6.893188697337649,pan,wab,wab,wabj,wab,bread
ἄρτος,185,unigram,masculine,nominative,plural,wab,9.0908110055301,texin,wab,wab,wabj,wab,bread
ἄρτος,46,unigram,masculine,nominative,singular,wab,11.556185345960271,jwaabj,wab,wab,wabj,wab,bread
ἀδελφός,342,unigram,masculine,accusative,plural,titz'in,3.825542979275896,titz'en,titz'in,mo,titz'in,titz'in,brother
ἀδελφός,143,unigram,masculine,accusative,singular,titz'in,2.4600726937374304,,kyitz'in,titz'in,titz'in,titz'in,brother
ἀδελφός,133,unigram,masculine,nominative,plural,,,titz'enxin,titz'in,titz'in,witz'ine,witz'ine,brother
ἀδελφός,270,unigram,masculine,nominative,singular,titz'in,4.6438720245484655,titz'en,titz'in,titz'ina,titz'in,titz'in,brother
στῆθος,182,unigram,neuter,accusative,plural,,,,kyq'ajtzin,ttzikyk,,,"chest, breast"
στῆθος,326,unigram,neuter,accusative,singular,t-xu,1.8943170565734768,tkanen,nqani,xnaq'tzb'en,t-xu,t-xu,"chest, breast"
ἀρχιερεύς,284,unigram,masculine,accusative,plural,nejenel,1.192495331438363,pala,kynejil,pale,nejenel,nejenel,chief priest
