lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1009_translation,version_1010_translation,version_1011_translation,version_1012_translation,version_1013_translation,english_translation
θεός,337,unigram,masculine,accusative,plural,,,‹îlah›,,‹Xwedê›,‹Хԝәде›,,God
θεός,133,unigram,masculine,accusative,singular,Xwedê,5.213352916871735,Xwedê,,Xwedê,Хԝәде,خودێ,God
θεός,29,unigram,masculine,nominative,plural,,,,,ne›,нә›,نڤیسیە,God
θεός,208,unigram,masculine,nominative,singular,Xwedê,20.514755599458056,Xwedê,,Xwedê,Хԝәде,خودێ,God
κύριος,134,unigram,masculine,nominative,singular,Xudan,4.47706259321537,Xudan,,Xudan,Хӧдан,خودانێ,"Lord, lord, master"
γραφή,128,unigram,feminine,accusative,plural,,,Nivîsarên,,nivîsara,ньвисара,نڤیسارێن,Scripture
γραφή,52,unigram,feminine,accusative,singular,,,,,nivîsar,ньвисар,,Scripture
γραφή,267,unigram,feminine,nominative,plural,,,Nivîsarên,,sêrî,сери,روی,Scripture
γραφή,332,unigram,feminine,nominative,singular,,,Nivîsara,,nivîsar,ньвисар,نڤیسار,Scripture
ἄγγελος,96,unigram,masculine,accusative,plural,,,milyaketên,,milyakʼetêd,мьлйакʼәтед,فریشتەیێن,angel
ἄγγελος,83,unigram,masculine,accusative,singular,qasidê,1.4405202758125868,qasidê,,,,,angel
ἄγγελος,48,unigram,masculine,nominative,plural,,,,,milyakʼetêd,мьлйакʼәтед,فریشتەیێن,angel
ἄγγελος,107,unigram,masculine,nominative,singular,,,Milyaket,,milyakʼet,мьлйакʼәт,فریشتەیەكێ,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,,,Şandî,,şandî,шанди,هنارتیان,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,şandiye,,şandinê,шандьне,هنارتی,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,,,hukumdaran,,hʼukumetê,һʼӧкӧмәте,,authority
ἐξουσία,198,unigram,feminine,accusative,singular,,,desthilatî,,hʼukum,һʼӧкӧм,دەستهەلات,authority
βρέφος,16,unigram,neuter,accusative,plural,,,hilatin,,Tʼifal,Тʼьфал,ساڤا,babies
βρέφος,330,unigram,neuter,accusative,singular,,,razayî,,afirʼda,афьрʼда,رازایی,babies
ἀποθήκη,274,unigram,feminine,accusative,plural,عومباران,1.999949042375989,,,,,عومباران,barn
φραγμός,235,unigram,masculine,accusative,plural,sêncan,1.212529657217808,sêncan,,,,,"barrier, wall"
ἀρχή,72,unigram,feminine,accusative,plural,,,hukumdaran,,hʼukumetê,һʼӧкӧмәте,,beginning
ἀρχή,179,unigram,feminine,accusative,singular,,,xuyakirin,,,,دەستپێكێ,beginning
ζώνη,171,unigram,feminine,accusative,plural,,,kemberên,,sifir,сьфьр,,belt
βλασφημία,33,unigram,feminine,accusative,plural,fikirîn,1.329078272122592,fikirîn,,fikirîn,фькьрин,نەبیت؟,blasphemy
βλασφημία,206,unigram,feminine,nominative,plural,,,,,xirab,хьраб,,blasphemy
βλασφημία,84,unigram,feminine,nominative,singular,,,çêr,,xirab,хьраб,,blasphemy
πλοῖον,105,unigram,neuter,accusative,plural,qeyik,5.624075289024909,qeyik,,qeyik,ԛәйьк,بەلەم,boat
πλοῖον,315,unigram,neuter,accusative,singular,qeyikê,2.8283528823526516,qeyikê,,qeyikê,ԛәйьке,سیار,boat
πλοῖον,242,unigram,neuter,nominative,plural,ڤەڕەڤاند,1.096239847813496,,,,,ڤەڕەڤاند,boat
πλοῖον,227,unigram,neuter,nominative,singular,qeyik,2.8415115789068466,qeyik,,qeyik,ԛәйьк,بەلەم,boat
σῶμα,215,unigram,neuter,nominative,plural,ên,1.0472258285845129,ên,,,,,body
σῶμα,61,unigram,neuter,nominative,singular,bedena,9.343222310439632,bedena,,bedena,бәдәна,لەشێ,body
κλῆμα,149,unigram,neuter,nominative,singular,,,nemîne,,Minva,Мьнва,بنەج‍‌ھ,branch
ἄρτος,320,unigram,masculine,accusative,plural,,4.986074066799548,,,,нан,نان,bread
ἄρτος,347,unigram,masculine,accusative,singular,,8.918139806797473,,,,нан,نان,bread
ἄρτος,156,unigram,masculine,nominative,plural,,11.88777020462131,,,,нан,نان,bread
ἄρτος,41,unigram,masculine,nominative,singular,,,Nanê,,nanê,нане,نانێ,bread
ἀδελφός,305,unigram,masculine,accusative,plural,,,birayên,,birêd,бьред,برایێن,brother
ἀδελφός,119,unigram,masculine,accusative,singular,,,birayê,,birê,бьре,برایێ,brother
ἀδελφός,111,unigram,masculine,nominative,plural,,,birayên,,birayêd,бьрайед,برایێن,brother
ἀδελφός,233,unigram,masculine,nominative,singular,,,birayê,,birê,бьре,برایێ,brother
στῆθος,154,unigram,neuter,accusative,plural,civiyabû,1.2929149672790816,civiyabû,,,,,"chest, breast"
στῆθος,290,unigram,neuter,accusative,singular,,,singê,,sîngê,синге,سینگێ,"chest, breast"
ἀρχιερεύς,246,unigram,masculine,accusative,plural,,,serekên,,serekêd,сәрәкед,سەرۆكێن,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,,,Serokkahîn,,serekkʼahîn,сәрәккʼаһин,,chief priest
ἀρχιερεύς,118,unigram,masculine,nominative,plural,,,kahînan,,kʼahîna,кʼаһина,سەرۆكێن,chief priest
ἀρχιερεύς,250,unigram,masculine,nominative,singular,,,Serokkahîn,,serekkʼahîn,сәрәккʼаһин,,chief priest
παῖς,238,unigram,masculine,accusative,plural,hêrs,2.0201424435069746,hêrs,,hêrs,һерс,,child
παῖς,50,unigram,masculine,accusative,singular,,,vehejand,,veçʼirʼikî,вәчʼьрʼьки,تەپێ,child
τέκνον,340,unigram,neuter,accusative,plural,,,zarokên,,zarʼêd,зарʼед,زاڕۆكێن,child
τέκνον,176,unigram,neuter,accusative,singular,,,Bira,,birê,бьре,زاڕۆك,child
τέκνον,17,unigram,neuter,nominative,plural,,,Bira,,kuştinê,кӧштьне,برای,child
τέκνον,190,unigram,neuter,nominative,singular,,,‹Lawo,,,,من،,child
παιδίον,15,unigram,neuter,accusative,plural,,,zarok,,zarʼok,зарʼок,زاڕۆك,child
παιδίον,91,unigram,neuter,accusative,singular,,,zarok,,Kurʼik,Кӧрʼьк,زاڕۆك,child
παιδίον,42,unigram,neuter,nominative,singular,,,zarok,,Kurʼik,Кӧрʼьк,زاڕۆك,child
πόλις,180,unigram,feminine,accusative,plural,,,,,gund,гӧнд,باژێڕان,city
πόλις,66,unigram,feminine,accusative,singular,bajêr,1.4023819716550077,bajêr,,bajêr,бажер,باژێڕی,city
πύλη,205,unigram,feminine,nominative,singular,,,,,derî,дәри,دەرگەهێ,city gate
χιτών,114,unigram,masculine,accusative,plural,,,du,,kiras,кьрас,دوو,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,,,ebayê,,kirasê,кьрасе,كراسێ,"clothing, undergarments"
ἱμάτιον,131,unigram,neuter,accusative,plural,,,cilên,,kʼincêd,кʼьнщед,جلكێن,coat
