lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1599_translation,version_1600_translation,version_1601_translation,version_1602_translation,version_1603_translation,version_1604_translation,version_1605_translation,version_1606_translation,version_1607_translation,version_1608_translation,english_translation
θεός,142,unigram,masculine,accusative,singular,Dumnezeu,180938.12619104606,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Думнезеу,God
θεός,30,unigram,masculine,nominative,plural,dumnezei,2.370041526511616,,,,,,,dumnezei,,dumnezei,,God
θεός,224,unigram,masculine,nominative,singular,Dumnezeu,536122.6912925977,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Dumnezeu,Думнезеу,God
κύριος,143,unigram,masculine,nominative,singular,Domnul,51.68235434133443,Domnul,Domnul,Stăpânul,Stăpânul,Domnul,Domnul,Domnul,Domnul,Domnul,Домнул,"Lord, lord, master"
γραφή,137,unigram,feminine,accusative,plural,Scripturile,464.2370746568475,scripturile,Scripturile,Scripturile,Scripturile,Scripturile,Scripturile,Scripturile,scripturile,Scripturile,Скриптуриле,Scripture
γραφή,55,unigram,feminine,accusative,singular,,,,Scriptură,,,,,Scriptura,scriptura,,Скриптурэ,Scripture
γραφή,285,unigram,feminine,nominative,plural,Scripturile,20.486510335513938,scripturile,Scripturile,Scripturile,întâmplat,Scripturile,împlinească,Scripturile,scripturile,Scripturile,Скриптуриле,Scripture
γραφή,352,unigram,feminine,nominative,singular,Scriptura,433.8074656744554,scriptura,Scriptura,Scriptura,Scripturile,Scriptura,Scriptura,Scriptura,scriptura,Scriptura,Скриптура,Scripture
ἄγγελος,103,unigram,masculine,accusative,plural,îngerii,71.76601876551067,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,ынӂерий,angel
ἄγγελος,90,unigram,masculine,accusative,singular,solul,1.1027062121901932,,solul,pregăti,naintea,,,,solul,,солул,angel
ἄγγελος,51,unigram,masculine,nominative,plural,îngerii,258190.4836499169,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,îngerii,ынӂерий,angel
ἄγγελος,114,unigram,masculine,nominative,singular,îngerul,9.568019610586964,îngerul,înger,înger,îngerul,înger,înger,îngerul,îngerul,îngerul,ынӂер,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,Apostolii,3.9190766112227275,apostolii,Apostolii,Apostolii,Apostolii,Apostolii,,apostolii,apostolii,,Апостолий,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,apostolul,4.899628906341887,Robul,apostolul,apostolul,,apostolul,apostolul,solul,apostol,trimisul,апостолул,apostle
ἐξουσία,75,unigram,feminine,accusative,plural,autorităților,1.0962199599997684,,,,,,autorităților,,,,,authority
ἐξουσία,213,unigram,feminine,accusative,singular,,,autoritate,putere,autoritate,putere,autoritate,autoritate,putere,putere,puterea,путере,authority
βρέφος,16,unigram,neuter,accusative,plural,certau,1.2847510293247297,prunci,aduceau,aduși,,certau,copilași,,certau,,адучяу,babies
βρέφος,350,unigram,neuter,accusative,singular,culcat,2.057745780536125,,iesle,culcat,iesle,iesle,culcat,culcat,,culcat,есле,babies
ἀποθήκη,291,unigram,feminine,accusative,plural,totuși,1.3229695338723544,,,totuși,,,,,,,,barn
ἀποθήκη,74,unigram,feminine,accusative,singular,grâul,12.397511395153156,grâul,grâul,grânar,grânar,grâul,grâul,grâul,grâul,grânarul,грыул,barn
ἀρχή,77,unigram,feminine,accusative,plural,autorităților,1.0961063339256685,,,,,,autorităților,,,,,beginning
ἀρχή,194,unigram,feminine,accusative,singular,început,1.5442495365822833,început,început,Cana,,început,început,început,început,început,ынчепут,beginning
