lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2271_translation,version_2272_translation,version_2273_translation,version_2274_translation,english_translation
θεός,354,unigram,masculine,accusative,plural,–,1.097258004808277,,,,–,God
θεός,142,unigram,masculine,accusative,singular,ઈશ્વર,1.8249145620898903,ઈશ્વર,ઈશ્વરની,ઈશ્વર,દેવની,God
θεός,29,unigram,masculine,nominative,plural,દેવો,2.2694856361689237,દેવો,દેવો,દેવો,કાયદામાં,God
θεός,221,unigram,masculine,nominative,singular,ઈશ્વર,45.1341901053018,ઈશ્વર,ઈશ્વર,ઈશ્વર,દેવ,God
κύριος,143,unigram,masculine,nominative,singular,પ્રભુએ,1.637226165391644,પ્રભુએ,,પ્રભુએ,પ્રભુએ,"Lord, lord, master"
γραφή,137,unigram,feminine,accusative,plural,ધર્મલેખો,2.8356577960013283,પવિત્રશાસ્ત્ર,ધર્મશાસ્ત્ર,ધર્મલેખો,ધર્મલેખો,Scripture
γραφή,53,unigram,feminine,accusative,singular,શાસ્ત્રવચન,1.9999486772711133,શાસ્ત્રવચન,,,,Scripture
γραφή,279,unigram,feminine,nominative,plural,,,,પરિપૂર્ણ,,બની,Scripture
γραφή,349,unigram,feminine,nominative,singular,શાસ્ત્રવચન,2.9830261513491987,શાસ્ત્રવચન,શાસ્ત્રવચન,શાસ્‍ત્રવચન,શાસ્ત્રલેખમાં,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,દૂતોને,7.695664714210859,સ્વર્ગદૂતોને,દૂતોને,દૂતોને,દૂતોને,angel
ἄγγελος,88,unigram,masculine,accusative,singular,દૂતને,6.798092415419211,સંદેશવાહકને,દૂતને,દૂતને,દૂતને,angel
ἄγγελος,49,unigram,masculine,nominative,plural,દૂતો,91.75776634464916,સ્વર્ગદૂતો,દૂતો,દૂતો,દૂતો,angel
ἄγγελος,115,unigram,masculine,nominative,singular,દૂતે,3.594254734582634,સ્વર્ગદૂતે,દૂતે,દૂતે,દૂતે,angel
ἀπόστολος,46,unigram,masculine,nominative,plural,,,,પ્રેષિતો,,પ્રેરિતો,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,મોકલાયેલો,1.4783349929304481,મોકલાયેલો,લાવનાર,મોકલાયેલો,મોકલાયેલો,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,રાજકર્તાઓ,1.2934825535976242,રાજકર્તાઓ,,,,authority
ἐξουσία,211,unigram,feminine,accusative,singular,અધિકાર,182.367564145879,અધિકાર,અધિકાર,અધિકાર,અધિકાર,authority
βρέφος,15,unigram,neuter,accusative,plural,,,ધમકાવ્યાં,ધમકાવ્યા,,તેઓનેં,babies
βρέφος,347,unigram,neuter,accusative,singular,ગભાણમાં,2.5056707295288443,ગભાણમાં,સૂતેલું,ગભાણમાં,ગભાણમાં,babies
ἀποθήκη,286,unigram,feminine,accusative,plural,કોઠાર,1.999949042375989,,કોઠાર,,,barn
ἀποθήκη,72,unigram,feminine,accusative,singular,ઘઉં,1.7901332135987955,,ઘઉં,ઘઉં,,barn
φραγμός,249,unigram,masculine,accusative,plural,,,આગ્રહ,તેડી,,,"barrier, wall"
φραγμός,119,unigram,masculine,accusative,singular,દિવાલ,1.1795784195212549,,,,દિવાલ,"barrier, wall"
