lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1523_translation,version_1524_translation,version_1525_translation,version_1526_translation,version_1527_translation,version_1528_translation,version_1529_translation,version_1530_translation,version_1531_translation,version_1532_translation,english_translation
θεός,373,unigram,masculine,accusative,plural,deuses,1.4652614150519203,,,,,deuses,,,deuses,,,God
θεός,151,unigram,masculine,accusative,singular,Deus,9437496113.002796,Deus,Deus,Deus,Deus,Deus,Deus,Deus,Deus,Deus,Deus,God
θεός,32,unigram,masculine,nominative,plural,deuses,9.804038583806241,deuses,deuses,,,deuses,deuses,deuses,deuses,deuses,deuses,God
θεός,235,unigram,masculine,nominative,singular,Deus,219762354461.624,Deus,Deus,Deus,Deus,Deus,Deus,Deus,Deus,Deus,Deus,God
κύριος,152,unigram,masculine,nominative,singular,Senhor,1044.4828252690738,Senhor,Senhor,Senhor,Senhor,Senhor,Senhor,Senhor,Senhor,Senhor,Senhor,"Lord, lord, master"
γραφή,146,unigram,feminine,accusative,plural,Escrituras,8028.07339716098,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Scripture
γραφή,58,unigram,feminine,accusative,singular,Escritura,44.2096327049564,Escritura,Escritura,Escritura,Escrituras,Escrituras,Escritura,Escrituras,,,Escritura,Scripture
γραφή,299,unigram,feminine,nominative,plural,Escrituras,221.42191810595796,Escrituras,Escrituras,Escrituras,Escrituras,acontecendo,Escrituras,acontecendo,cumprir,Escrituras,Escrituras,Scripture
γραφή,368,unigram,feminine,nominative,singular,Escritura,2515.1043806170455,Escritura,Escritura,Escritura,Escrituras,Escritura,Escritura,Escrituras,,Escritura,Escritura,Scripture
ἄγγελος,111,unigram,masculine,accusative,plural,anjos,777.7724294426423,anjos,anjos,anjos,anjos,anjos,anjos,anjos,anjos,anjos,anjos,angel
ἄγγελος,94,unigram,masculine,accusative,singular,anjo,3.2026030618650774,,anjo,,Envio,,preparará,mensageiro,enviarei,,anjo,angel
ἄγγελος,54,unigram,masculine,nominative,plural,anjos,5117650.54014153,anjos,anjos,anjos,anjos,anjos,anjos,anjos,anjos,anjos,anjos,angel
ἄγγελος,122,unigram,masculine,nominative,singular,anjo,8879869.15298659,anjo,anjo,anjo,anjo,anjo,anjo,anjo,anjo,anjo,anjo,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,apóstolos,2015.7293764759527,apóstolos,apóstolos,apóstolos,apóstolos,apóstolos,apóstolos,apóstolos,apóstolos,apóstolos,apóstolos,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,enviado,2.56460532966086,enviado,enviado,escravo,envia,mensageiro,enviado,envia,mensageiro,mensageiro,enviado,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,levarem,1.3898534798712772,respondereis,potestades,magistrados,,levarem,levarem,governantes,levarem,defenderão,,authority
ἐξουσία,224,unigram,feminine,accusative,singular,autoridade,699051.7564699313,autoridade,poder,autoridade,autoridade,autoridade,autoridade,autoridade,autoridade,autoridade,autoridade,authority
βρέφος,17,unigram,neuter,accusative,plural,,,Traziam-lhe,repreendiam-nos,,repreenderam,abençoá-las,,,abençoasse,criancinhas,,babies
βρέφος,366,unigram,neuter,accusative,singular,manjedoura,2.5293589248554738,deitada,manjedoura,manjedoura,,manjedoura,deitada,,manjedoura,manjedoura,,babies
ἀποθήκη,306,unigram,feminine,accusative,plural,celeiros,255.9477966372013,celeiros,celeiros,celeiros,celeiros,celeiros,celeiros,guardar,depósitos,celeiros,celeiros,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,celeiro,1.9337030702554563,celeiro,celeiro,celeiro,celeiro,trigo,celeiro,palha,depósito,celeiro,celeiro,barn
φραγμός,265,unigram,masculine,accusative,plural,obrigue,1.0961210847775034,,,,,,,,obrigue,,,"barrier, wall"
φραγμός,127,unigram,masculine,accusative,singular,espremer,1.0595319950666118,,,espremer,,,,,,,,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,levarem,1.3892938597165116,respondereis,potestades,magistrados,,levarem,levarem,governantes,levarem,defenderão,,beginning
ἀρχή,205,unigram,feminine,accusative,singular,princípio,3.6151749112358664,princípio,principiou,Exatamente,,venho,,,revelou,,princípio,beginning
ζώνη,197,unigram,feminine,accusative,plural,cobre,1.4782733101072154,,,,cinto,cobre,,cobre,,cobre,,belt
ζώνη,254,unigram,feminine,accusative,singular,alimentava-se,1.3167216672078015,,alimentava-se,alimentava-se,,,,,,,alimentava-se,belt
βλασφημία,36,unigram,feminine,accusative,plural,,,blasfêmias,arrazoar,,pensa,insultando,blasfêmias,blasfema,blasfema,,,blasphemy
βλασφημία,109,unigram,feminine,accusative,singular,Blasfêmia,1.2013845589884997,Blasfemou,,,Blasfêmia,,,Blasfêmia,blasfemou,,,blasphemy
βλασφημία,233,unigram,feminine,nominative,plural,blasfêmias,15.099284168034993,blasfêmias,blasfêmias,,,,blasfêmias,,,,blasfêmias,blasphemy
βλασφημία,95,unigram,feminine,nominative,singular,blasfêmia,28.50072714917202,blasfêmia,blasfêmia,blasfêmia,,É,blasfêmia,,,,blasfêmia,blasphemy
πλοῖον,120,unigram,neuter,accusative,plural,barcos,792.5421985507945,barcos,barcos,barcos,barcos,barcos,barcos,barcos,barcos,barcos,barcas,boat
πλοῖον,350,unigram,neuter,accusative,singular,barco,1374891.1069624021,barco,barco,barco,barco,barco,barco,barco,barco,barco,barca,boat
πλοῖον,272,unigram,neuter,nominative,plural,barcos,1.3270697859856346,,barquinhos,barcos,,,,barcos,acompanharam,Deixando,barcas,boat
πλοῖον,256,unigram,neuter,nominative,singular,barco,903.7259208449848,barco,barco,barco,barco,barco,barco,lago,barco,barco,barca,boat
σῶμα,243,unigram,neuter,nominative,plural,corpos,63.990142515579564,corpos,corpos,corpos,,,corpos,Os,,corpos,corpos,body
σῶμα,68,unigram,neuter,nominative,singular,corpo,2094779.0122767014,corpo,corpo,corpo,corpo,corpo,corpo,corpo,corpo,corpo,corpo,body
κλῆμα,64,unigram,neuter,nominative,plural,videira,1.5094333157678328,videira,,videira,videira,videira,videira,separados,,permanecer,varas,branch
κλῆμα,169,unigram,neuter,nominative,singular,ramo,7.88288407397843,,vara,ramo,ramo,galho,,ramo,unido,ramo,,branch
ἄρτος,355,unigram,masculine,accusative,plural,pães,7540.122835270726,pães,pães,pães,pães,pães,pães,pães,pães,pães,pães,bread
ἄρτος,384,unigram,masculine,accusative,singular,pão,4462777.687013498,pão,pão,pão,pão,pão,pão,pão,pão,pão,pão,bread
ἄρτος,179,unigram,masculine,nominative,plural,pães,123.00808008166331,pães,pães,pães,pães,pão,pão,pães,pão,pão,pães,bread
ἄρτος,45,unigram,masculine,nominative,singular,pão,86632.81118498671,pão,pão,pão,pão,pão,pão,pão,pão,pão,pão,bread
ἀδελφός,340,unigram,masculine,accusative,plural,irmãos,1398168.834179445,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,brother
ἀδελφός,136,unigram,masculine,accusative,singular,irmão,182.0769274890763,irmão,irmão,irmão,irmão,irmão,irmão,irmão,irmãos,irmão,irmão,brother
ἀδελφός,126,unigram,masculine,nominative,plural,irmãos,4718.853968208541,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,irmãos,brother
ἀδελφός,263,unigram,masculine,nominative,singular,irmão,211809154.87078938,irmão,irmão,irmão,irmão,irmão,irmão,irmão,irmão,irmão,irmão,brother
στῆθος,175,unigram,neuter,accusative,plural,,,,,,,espetáculo,,peito,,,,"chest, breast"
στῆθος,323,unigram,neuter,accusative,singular,discípulo,3.3661446571307665,peito,peito,discípulo,discípulo,discípulo,peito,discípulo,discípulo,discípulo,peito,"chest, breast"
ἀρχιερεύς,278,unigram,masculine,accusative,plural,,,sacerdotes,sacerdotes,principais,principais,sacerdotes,principais,sacerdotes,chefes,chefes,principais,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,sumo,4.079103292584525,sumo,sumo,sumo,sumo,sumo,sumo,sumo,,sumo,sumo,chief priest
ἀρχιερεύς,135,unigram,masculine,nominative,plural,principais,1.0772913503001562,sacerdotes,sacerdotes,principais,principais,sacerdotes,principais,principais,chefes,chefes,principais,chief priest
ἀρχιερεύς,282,unigram,masculine,nominative,singular,sumo,1.8283766600527167,sumo,sumo,sumo,sumo,sumo,sumo,sacerdote,,sumo,sumo,chief priest
παῖς,268,unigram,masculine,accusative,plural,meninos,8.623477173284167,meninos,meninos,meninos,,,,,,,meninos,child
παῖς,56,unigram,masculine,accusative,singular,,,,convulsionou,,derrubou,,,,ataque,lançou,,child
τέκνον,376,unigram,neuter,accusative,plural,filhos,5383216.322613369,filhos,filhos,filhos,filhos,filhos,filhos,filhos,filhos,filhos,filhos,child
τέκνον,202,unigram,neuter,accusative,singular,filhos,1.274710252373871,,entregará,entregará,,filhos,filhos,filhos,filhos,rebelarão,morrer,child
τέκνον,18,unigram,neuter,nominative,plural,filhos,3.6567664218161355,,entregará,entregará,,filhos,entregará,filhos,filhos,rebelarão,filhos,child
τέκνον,216,unigram,neuter,nominative,singular,Filho,2.057961147136893,Vendo-lhes,Filho,disse,tinham,filho,Filho,disse-lhe,Meu,tinham,Filho,child
παιδίον,16,unigram,neuter,accusative,plural,crianças,5.26987810999135,,Deixai,crianças,crianças,crianças,impeçam,crianças,crianças,crianças,meninos,child
παιδίον,103,unigram,neuter,accusative,singular,menino,11.91728571309933,menino,menino,menino,menino,menino,criança,criança,criança,menino,menino,child
παιδίον,195,unigram,neuter,nominative,plural,crianças,103.48746333290752,crianças,crianças,crianças,crianças,crianças,crianças,crianças,crianças,crianças,meninos,child
παιδίον,47,unigram,neuter,nominative,singular,criança,5.778108947230483,criança,menino,menino,criança,criança,criança,criança,menino,criança,menino,child
πόλις,206,unigram,feminine,accusative,plural,cidades,2162.6747787527843,cidades,cidades,cidades,cidades,cidades,cidades,cidades,cidades,cidades,cidades,city
πόλις,73,unigram,feminine,accusative,singular,cidade,53090866.134669155,cidade,cidade,cidade,cidade,cidade,cidade,cidade,cidade,cidade,cidade,city
πύλη,303,unigram,feminine,nominative,plural,prevalecerão,1.0960622061228922,,prevalecerão,,,,,,,,,city gate
πύλη,232,unigram,feminine,nominative,singular,estreita,2.018159006024123,,estreita,,estreita,,conduz,estreita,levam,estreita,,city gate
χιτών,131,unigram,masculine,accusative,plural,túnicas,2.167848399776678,túnicas,duas,túnicas,muda,extras,túnicas,túnica,túnica,,túnicas,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,túnica,73.33262530075226,túnica,capa,túnica,deixe,túnica,túnica,túnica,túnica,túnica,túnica,"clothing, undergarments"
ἱμάτιον,149,unigram,neuter,accusative,plural,,,vestes,vestes,roupas,roupas,suas,suas,tiraram,suas,mantos,vestes,coat
ἱμάτιον,148,unigram,neuter,accusative,singular,capa,191.30917875553578,capa,veste,roupa,manto,capa,capa,manto,capa,capa,capa,coat
ἐντολή,92,unigram,feminine,accusative,plural,mandamentos,49847.99856935233,mandamentos,mandamentos,mandamentos,mandamentos,mandamentos,mandamentos,mandamentos,mandamentos,mandamentos,mandamentos,commandment
ἐντολή,90,unigram,feminine,accusative,singular,mandamento,1125.074861827008,mandamento,mandamento,mandamento,mandamento,mandamento,mandamento,tradições,mandamento,mandamento,mandamento,commandment
συνέδριον,360,unigram,neuter,accusative,plural,tribunais,4.16394612162988,tribunais,entregarão,tribunais,,tribunais,tribunais,tribunais,chicoteados,tribunais,tribunais,council
συνέδριον,60,unigram,neuter,accusative,singular,Sinédrio,5.8082589748251525,Sinédrio,principais,Sinédrio,reuniram,reunião,Sinédrio,principais,,chefes,Sinédrio,council
χώρα,86,unigram,feminine,accusative,plural,,,branquejam,brancas,,,,,,,,,"country, countryside"
χώρα,328,unigram,feminine,accusative,singular,terra,4.249694648022696,terra,terra,terra,região,país,terra,gadarenos,região,região,país,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,multidão,356.5739141303306,multidões,multidão,multidões,multidões,multidão,multidões,povo,multidão,multidão,multidão,crowd
