lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2117_translation,version_2118_translation,version_2119_translation,version_2120_translation,version_2121_translation,version_2122_translation,english_translation
θεός,397,unigram,masculine,accusative,plural,thần,1.7217182447555028,bãi,thần—câu,thần,thần,,thần,God
θεός,163,unigram,masculine,accusative,singular,Trời,23.441089649479864,Trời,Đức,Trời,Trời,Trời,Thượng,God
θεός,35,unigram,masculine,nominative,plural,thần,2.1342660600055328,thần,thần,thần,thần,thần,Lệ,God
θεός,253,unigram,masculine,nominative,singular,Trời,21.41672543950255,Trời,Đức,Trời,Trời,Trời,,God
κύριος,399,unigram,masculine,nominative,plural,,,tháo,dây,Đang,Đang,cột,tháo,"Lord, lord, master"
κύριος,164,unigram,masculine,nominative,singular,chủ,7.4785770096413415,Chúa,Chủ,chủ,chủ,chủ,chủ,"Lord, lord, master"
γραφή,158,unigram,feminine,accusative,plural,Kinh,4.327934057322929,Kinh,Kinh,Kinh-thánh,Kinh,Kinh,Kinh,Scripture
γραφή,62,unigram,feminine,accusative,singular,Kinh,3.3820772230159646,chưa,Kinh,Kinh-thánh,Kinh,Kinh,Kinh,Scripture
γραφή,319,unigram,feminine,nominative,plural,,,ứng,ứng,ứng-nghiệm,Kinh,Kinh,xảy,Scripture
γραφή,391,unigram,feminine,nominative,singular,Kinh,3.756129027196759,Kinh,Kinh,Kinh-thánh,Kinh,Kinh,Kinh,Scripture
ἄγγελος,123,unigram,masculine,accusative,plural,sứ,2.955793555890655,sứ,thiên,thiên-sứ,sứ,sứ,sứ,angel
ἄγγελος,102,unigram,masculine,accusative,singular,sứ,5.840006331576713,sứ,sứ,sứ,sứ,sứ,sứ,angel
ἄγγελος,58,unigram,masculine,nominative,plural,sứ,1.4863194268950273,sứ,thiên,thiên-sứ,sứ,sứ,sứ,angel
ἄγγελος,134,unigram,masculine,nominative,singular,sứ,8.850361083127108,sứ,sứ,thiên-sứ,sứ,sứ,sứ,angel
ἀπόστολος,55,unigram,masculine,nominative,plural,,,sứ,đồ,sứ-đồ,sứ,tường,đồ,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,phái,1.340166697986802,Tớ,Hay,sứ-giả,phái,phái,Sứ,apostle
ἐξουσία,83,unigram,feminine,accusative,plural,bênh,1.3393884031167467,bạch,cầm,binh-vực,bênh,cai,bênh,authority
ἐξουσία,241,unigram,feminine,accusative,singular,quyền,228.4979481274744,quyền,quyền,quyền,quyền,quyền,quyền,authority
βρέφος,20,unigram,neuter,accusative,plural,trách,1.2668068384381805,phước,mắng,trách,Thấy,trách,rầy,babies
βρέφος,389,unigram,neuter,accusative,singular,máng,2.951510367087866,máng,máng,máng,máng,máng,máng,babies
ἀποθήκη,327,unigram,feminine,accusative,plural,,,trữ,kho,kho-tàng,trữ,,kho,barn
ἀποθήκη,82,unigram,feminine,accusative,singular,đốt,1.5889224635824655,đốt,kho,đốt,đốt,đốt,đốt,barn
