lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2314_translation,version_2315_translation,version_2316_translation,version_2317_translation,version_2318_translation,version_2319_translation,version_2320_translation,version_2321_translation,version_2322_translation,version_2323_translation,version_2324_translation,version_2325_translation,version_2326_translation,english_translation
θεός,740,uni_token,masculine,accusative,plural,廢,1.359936899924693,廢,廢,廢,毀,帝,毀,,承,承,解,虛,乖,舛,God
θεός,506,uni_token,masculine,accusative,singular,帝,4.347756256769509,帝,帝,神,帝,帝,天,,帝,帝,神,神,神,神,God
θεός,375,uni_token,masculine,nominative,plural,帝,2.25163852097137,記,帝,載,帝,載,豈,,帝,帝,豈,神,律,,God
θεός,596,uni_token,masculine,nominative,singular,帝,4.676406125300399,帝,帝,神,帝,帝,天,,帝,帝,神,神,神,神,God
κύριος,742,uni_token,masculine,nominative,plural,驢,3.242834337292301,驢,驢,駒,驢,詰,驢,,驢,駒,駒,驢,駒,駒,"Lord, lord, master"
κύριος,507,uni_token,masculine,nominative,singular,主,284365393639.1643,主,主,主,主,主,主,,主,主,主,主,主,主,"Lord, lord, master"
γραφή,501,uni_token,feminine,accusative,plural,經,344.83739778701124,經,經,經,經,經,經,,經,經,經,書,書,書,Scripture
γραφή,402,uni_token,feminine,accusative,singular,經,19.52122204795558,經,經,經,經,經,載,,未,經,經,書,經,經,Scripture
γραφή,661,uni_token,feminine,nominative,plural,應,6.883976434012225,應,應,應,應,經,應,,應,盈,經,應,經,經,Scripture
γραφή,734,uni_token,feminine,nominative,singular,經,1687.1101226470712,經,經,經,經,經,經,,經,經,經,書,經,經,Scripture
ἄγγελος,464,uni_token,masculine,accusative,plural,使,507.6439265954411,使,神,使,使,使,使,,使,使,使,使,使,使,angel
ἄγγελος,443,uni_token,masculine,accusative,singular,使,32.085677090218525,修,修,使,使,使,使,,使,修,使,使,使,使,angel
ἄγγελος,398,uni_token,masculine,nominative,plural,使,199.68444409885328,天,神,天,使,使,使,,使,使,使,使,使,使,angel
ἄγγελος,475,uni_token,masculine,nominative,singular,使,182368.26885213074,使,神,使,使,使,使,,使,使,使,使,使,使,angel
ἀπόστολος,395,uni_token,masculine,nominative,plural,使,9.065517995583052,使,宗,使,使,使,使,,使,使,徒,使,使,使,apostle
ἀπόστολος,347,uni_token,masculine,nominative,singular,僕,1.177774256794828,僕,）,誠,僕,僕,奉,,誠,誠,僕,被,確,確,apostle
ἐξουσία,424,uni_token,feminine,accusative,plural,政,2.157989136925429,訴,,說,,政,政,,政,政,思,政,,性,authority
ἐξουσία,584,uni_token,feminine,accusative,singular,權,7157287.566105484,權,權,權,權,權,權,,權,權,權,權,權,權,authority
βρέφος,360,uni_token,neuter,accusative,plural,責,1.5423753503151634,責,責,提,責,責,責,,責,斥,撫,責,責,孩,babies
βρέφος,732,uni_token,neuter,accusative,singular,槽,15.651753443408731,槽,櫪,槽,槽,槽,馬,,槽,槽,槽,槽,槽,槽,babies
ἀποθήκη,669,uni_token,feminine,accusative,plural,倉,316.2888220512777,倉,倉,倉,,,倉,,倉,倉,廪,倉,倉,倉,barn
ἀποθήκη,423,uni_token,feminine,accusative,singular,倉,4.721784747315346,倉,倉,倉,倉,倉,倉,,倉,倉,,倉,倉,倉,barn
φραγμός,480,uni_token,masculine,accusative,singular,籬,1.1894391453790327,籬,,籬,,,籬,,,,,,,醡,"barrier, wall"
ἀρχή,427,uni_token,feminine,accusative,plural,政,2.38528527130417,訴,,說,,政,政,,政,政,思,政,,性,beginning
ἀρχή,563,uni_token,feminine,accusative,singular,始,83.26634697558383,始,元,初,始,始,始,,始,始,始,始,著,始,beginning
ζώνη,554,uni_token,feminine,accusative,plural,銅,1.5690533565678566,銅,,腰,橐,,銅,,銅,銅,囊,橐,裝,裝,belt
ζώνη,615,uni_token,feminine,accusative,singular,,,,,,,皮,,,,,,,,螞,belt
βλασφημία,379,uni_token,feminine,accusative,plural,僭,2.195646181105627,僭,褻,僭,僭,僭,,,僭,僭,讟,,妄,妄,blasphemy
βλασφημία,461,uni_token,feminine,accusative,singular,僭,2.025962598630949,僭,,僭,僭,僭,,,僭,僭,讟,,妄,,blasphemy
βλασφημία,594,uni_token,feminine,nominative,plural,謗,3.813424220863522,謗,謗,謗,謗,,,,謗,謗,譵,,妄,妄,blasphemy
βλασφημία,444,uni_token,feminine,nominative,singular,謗,20.325769751844778,謗,謗,謗,謗,謗,,,謗,謗,譵,,妄,妄,blasphemy
πλοῖον,473,uni_token,neuter,accusative,plural,舟,1284.9787203719943,船,舟,船,舟,舟,舟,,舟,舟,舟,舟,船,船,boat
πλοῖον,715,uni_token,neuter,accusative,singular,舟,11.440974075901153,船,舟,舟,舟,舟,舟,,舟,舟,船,舟,船,船,boat
πλοῖον,632,uni_token,neuter,nominative,plural,舟,1.737897779320682,船,舟,舟,舟,舟,舟,,依,送,船,舟,仍,仍,boat
πλοῖον,617,uni_token,neuter,nominative,singular,舟,110.87705249779944,船,舟,舟,舟,舟,舟,,舟,舟,船,舟,船,船,boat
σῶμα,604,uni_token,neuter,nominative,plural,脛,1.7327857417723935,,體,體,脛,脛,股,,,脛,,脛,打,打,body
σῶμα,413,uni_token,neuter,nominative,singular,身,1421.8906349286085,身,體,身,身,身,身,,身,身,身,身,身,身,body
κλῆμα,409,uni_token,neuter,nominative,plural,繁,2.59602801209328,絕,繁,枝,繁,繁,繁,,枝,繁,枝,繁,枝,枝,branch
κλῆμα,525,uni_token,neuter,nominative,singular,枝,23.09705122926664,枝,枝,枝,枝,枝,枝,,枝,枝,枝,枝,枝,枝,branch
ἄρτος,720,uni_token,masculine,accusative,plural,餅,24181763.299529493,餅,餅,餅,餅,餅,餅,,餅,餅,餅,餅,餅,餅,bread
ἄρτος,753,uni_token,masculine,accusative,singular,餅,30573.69113171892,餅,餅,餅,餅,餅,餅,,餅,餅,餅,餅,餅,餅,bread
ἄρτος,535,uni_token,masculine,nominative,plural,餅,202597.62021192446,餅,餅,餅,餅,餅,餅,,餅,餅,餅,餅,餅,餅,bread
ἄρτος,388,uni_token,masculine,nominative,singular,餅,1248.6793903971998,餅,糧,糧,餅,餅,糧,,餅,餅,餅,餅,餅,餅,bread
ἀδελφός,704,uni_token,masculine,accusative,plural,兄,1.4740171240566216,兄,,兄,兄,兄,兄,,兄,兄,弟,兄,兄,兄,brother
ἀδελφός,490,uni_token,masculine,accusative,singular,弟,18.62529047662985,弟,弟,兄,兄,弟,弟,,兄,兄,弟,兄,弟,弟,brother
ἀδελφός,479,uni_token,masculine,nominative,plural,兄,1.623821122462869,兄,兄,兄,兄,兄,兄,,兄,兄,兄,兄,兄,兄,brother
ἀδελφός,624,uni_token,masculine,nominative,singular,弟,3.9463420180186324,弟,兄,弟,弟,弟,弟,,弟,弟,兄,弟,兄,兄,brother
στῆθος,531,uni_token,neuter,accusative,plural,拊,1.3290210541349574,,,,,拊,,,,,,,拊,胸,"chest, breast"
στῆθος,687,uni_token,neuter,accusative,singular,胸,48.71905883265452,倚,胸,胸,倚,胸,倚,,胸,胸,懐,倚,胸,胸,"chest, breast"
ἀρχιερεύς,638,uni_token,masculine,accusative,plural,祭,1.7917705503907093,祭,司,司,祭,祭,祭,,祭,祭,鐸,祭,祭,祭,chief priest
ἀρχιερεύς,414,uni_token,masculine,accusative,singular,祭,1.4445317021213984,祭,司,司,祭,祭,祭,,祭,祭,送,祭,崇,崇,chief priest
ἀρχιερεύς,489,uni_token,masculine,nominative,plural,祭,1.7552063274117482,祭,司,司,祭,祭,祭,,祭,祭,鐸,祭,祭,祭,chief priest
ἀρχιερεύς,644,uni_token,masculine,nominative,singular,祭,1.3425531078703274,祭,司,司,祭,祭,祭,,祭,祭,首,祭,崇,崇,chief priest
παῖς,628,uni_token,masculine,accusative,plural,孩,1.8405261465690237,欺,微,遂,,,孩,,孩,,孩,,詒,役,child
παῖς,400,uni_token,masculine,accusative,singular,跌,1.3416462477701658,,跌,,跌,威,,,,還,楚,跌,擰,擰,child
τέκνον,744,uni_token,neuter,accusative,plural,子,13516.107129032845,子,子,子,子,子,子,,子,子,子,子,子,子,child
τέκνον,560,uni_token,neuter,accusative,singular,兄,1.266398130124345,兄,弟,兄,兄,兄,弒,,兄,叛,兄,兄,兄,,child
τέκνον,361,uni_token,neuter,nominative,plural,,,攻,子,送,致,攻,弒,,子,叛,子,攻,輩,輩,child
τέκνον,576,uni_token,neuter,nominative,singular,子,16.204877777683866,子,子,子,子,子,吾,,子,兒,子,子,子,子,child
παιδίον,359,uni_token,neuter,accusative,plural,孩,3.0716238398254148,,童,孩,孩,孩,孩,,孩,嬰,孩,孩,兒,禁,child
παιδίον,454,uni_token,neuter,accusative,singular,嬰,2.3966234494692764,嬰,孩,孩,嬰,孩,兒,,孩,嬰,嬰,嬰,嬰,兒,child
παιδίον,552,uni_token,neuter,nominative,plural,孩,12.186123949454942,,童,孩,孩,孩,孩,,孩,嬰,孩,孩,兒,孩,child
παιδίον,390,uni_token,neuter,nominative,singular,孩,13.209235409623739,嬰,童,孩,孩,孩,孩,,孩,嬰,孩,孩,兒,嬰,child
πόλις,564,uni_token,feminine,accusative,plural,邑,1119.1469687641104,城,城,城,邑,邑,邑,,城,邑,邑,邑,邑,邑,city
πόλις,418,uni_token,feminine,accusative,singular,邑,2360.6465162466984,城,城,城,邑,邑,邑,,城,邑,邑,邑,邑,邑,city
πύλη,665,uni_token,feminine,nominative,plural,府,1.7293877665184332,府,勝,陰,府,府,府,,府,,克,府,勝,勝,city gate
πύλη,593,uni_token,feminine,nominative,singular,窄,20.184815853996103,窄,路,窄,窄,窄,窄,,窄,窄,窄,窄,窄,窄,city gate
χιτών,485,uni_token,masculine,accusative,plural,衣,180.0957317774923,衣,衣,衣,衣,衣,衣,,衣,衣,衣,衣,衣,衣,"clothing, undergarments"
χιτών,376,uni_token,masculine,accusative,singular,裏,12.207204120143492,裏,裏,衣,裏,裏,裏,,裏,裏,袍,裹,裳,衣,"clothing, undergarments"
ἱμάτιον,504,uni_token,neuter,accusative,plural,衣,1339932.0443840753,衣,衣,衣,衣,衣,衣,,衣,衣,衣,衣,衣,衣,coat
ἱμάτιον,503,uni_token,neuter,accusative,singular,衣,13221916.864543078,衣,衣,衣,衣,衣,衣,,衣,衣,衣,衣,衣,衣,coat
ἐντολή,440,uni_token,feminine,accusative,plural,誡,8807.129985983043,誡,誡,誡,誡,誡,誡,,誡,誡,誡,誡,誡,誡,commandment
ἐντολή,438,uni_token,feminine,accusative,singular,誡,7732.775461254257,誡,誡,誡,誡,誡,誡,,誡,誡,誡,誡,誡,誡,commandment
συνέδριον,725,uni_token,neuter,accusative,plural,公,8.482630967101235,公,公,公,公,公,公,,議,公,公,公,議,議,council
συνέδριον,404,uni_token,neuter,accusative,singular,公,5.934883235251755,公,公,公,集,集,公,,議,公,議,集,會,會,council
χώρα,433,uni_token,feminine,accusative,plural,熟,2.593678543341518,,白,熟,熟,黃,熟,,黃,熟,穫,白,穫,刈,"country, countryside"
χώρα,692,uni_token,feminine,accusative,singular,地,1994.3910546768798,地,地,地,地,地,地,,境,地,方,地,方,地,"country, countryside"
ὄχλος,410,uni_token,masculine,accusative,plural,眾,433.54077578775696,眾,民,眾,眾,眾,眾,,眾,眾,衆,眾,眾,眾,crowd
ὄχλος,352,uni_token,masculine,accusative,singular,眾,1731558.8995861865,眾,民,衆,眾,眾,眾,,眾,眾,衆,眾,眾,眾,crowd
ὄχλος,466,uni_token,masculine,nominative,plural,眾,254007.6453486607,眾,民,眾,眾,眾,眾,,眾,眾,衆,眾,眾,眾,crowd
ὄχλος,682,uni_token,masculine,nominative,singular,眾,622981.20754229,眾,民,多,眾,眾,眾,,眾,眾,衆,眾,眾,眾,crowd
θυγάτηρ,483,uni_token,feminine,nominative,plural,哭,1.1636098290228056,顧,哭,轉,,哭,哭,,轉,回,哭,哭,轉,轉,daughter
θυγάτηρ,719,uni_token,feminine,nominative,singular,女,1420237032.5680554,女,女,女,女,女,女,,女,女,女,女,女,女,daughter
ἡμέρα,431,uni_token,feminine,accusative,plural,日,1332630.6343518682,日,日,日,日,日,日,,日,日,日,日,日,日,day
ἡμέρα,445,uni_token,feminine,accusative,singular,日,3987208.476969208,日,日,日,日,日,日,,日,日,日,日,日,日,day
