lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1089_translation,version_1090_translation,version_1091_translation,version_1092_translation,version_1093_translation,version_1094_translation,english_translation
θεός,130,unigram,masculine,accusative,singular,Katonda,215931.89731227412,Katonda,Katonda,Katonda,Katonda,Katonda,Katonda,God
θεός,26,unigram,masculine,nominative,plural,balubaale,1.2039751291158407,,,,,balubaale,balubaale,God
θεός,208,unigram,masculine,nominative,singular,Katonda,1944166.5913699702,Katonda,Katonda,Katonda,Katonda,Katonda,Katonda,God
κύριος,131,unigram,masculine,nominative,singular,Mukama,67.10250131540326,Omukama,Mukama,Mukama,Mukama,Mukama,Mukama,"Lord, lord, master"
γραφή,125,unigram,feminine,accusative,plural,ebyawandiikibwa,47.11733171475058,Ebiwandiiko,ebyawandiikibwa,ebyawandiikibwa,obutategeera,ebyawandiikibwa,ebyawandiikibwa,Scripture
γραφή,48,unigram,feminine,accusative,singular,ekyawandiikibwa,4.473202476493294,,ekyawandiikibwa,ekyawandiikibwa,,ekyawandiikibwa,ekyawandiikibwa,Scripture
γραφή,264,unigram,feminine,nominative,plural,ebyawandiikibwa,4.850742621189857,ebiwandiiko,ebyawandiikibwa,ebyawandiikibwa,kino,ebyawandiikibwa,ebyawandiikibwa,Scripture
γραφή,326,unigram,feminine,nominative,singular,ekyawandiikibwa,56.60038442776417,Ebiwandiiko,ekyawandiikibwa,ekyawandiikibwa,ekyawandiikibwa,ekyawandiikibwa,ekyawandiikibwa,Scripture
ἄγγελος,92,unigram,masculine,accusative,plural,bamalayika,155.16899418082193,bamalayika,bamalayika,bamalayika,bamalayika,bamalayika,bamalayika,angel
ἄγγελος,80,unigram,masculine,accusative,singular,ntuma,1.1027062121901932,,,,omubaka,ntuma,ntuma,angel
ἄγγελος,44,unigram,masculine,nominative,plural,bamalayika,3257.9995459244155,bamalayika,bamalayika,bamalayika,bamalayika,bamalayika,bamalayika,angel
