lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_946_translation,version_947_translation,version_948_translation,version_949_translation,version_950_translation,version_951_translation,version_952_translation,version_953_translation,version_954_translation,english_translation
θεός,137,unigram,masculine,accusative,singular,Mungu,4268083.2229136145,Mungu,Mungu,,Mungu,Mungu,Mungu,Mungu,Mungu,,God
θεός,29,unigram,masculine,nominative,plural,miungu,1.097258004808277,miungu,,,,,,,,,God
θεός,213,unigram,masculine,nominative,singular,Mungu,55067888.96633017,Mungu,Mungu,,Mungu,Mungu,Mungu,Mungu,Mungu,,God
κύριος,138,unigram,masculine,nominative,singular,Bwana,1456.554609238997,Bwana,Bwana,,Bwana,Bwana,Bwana,Bwana,Bwana,,"Lord, lord, master"
γραφή,133,unigram,feminine,accusative,plural,Maandiko,27.44115489002458,Maandiko,Matakatifu,,Matakatifu,maandiko,Maandiko,Maandiko,maandiko,,Scripture
γραφή,51,unigram,feminine,accusative,singular,,,,Maandiko,,Maandiko,andiko,,,andiko,,Scripture
γραφή,267,unigram,feminine,nominative,plural,Maandiko,7.521101786092624,Maandiko,Matakatifu,,Matakatifu,maandiko,Maandiko,Maandiko,maandiko,,Scripture
γραφή,330,unigram,feminine,nominative,singular,Maandiko,30.29357673791043,Maandiko,Maandiko,,Maandiko,andiko,Maandiko,Maandiko,andiko,,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,malaika,68.84471949434541,malaika,malaika,,malaika,malaika,malaika,malaika,malaika,,angel
ἄγγελος,48,unigram,masculine,nominative,plural,malaika,13109.636861358014,malaika,malaika,,malaika,malaika,malaika,malaika,malaika,,angel
ἄγγελος,109,unigram,masculine,nominative,singular,malaika,17.315016722815905,Malaika,malaika,,malaika,malaika,malaika,malaika,malaika,,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,mitume,53.96429769652159,mitume,mitume,,mitume,mitume,Mitume,Mitume,mitume,,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mtume,1.6203760732976882,,mtume,,mtume,mtume,aliyemtuma,aliyemtuma,mtume,,apostle
ἐξουσία,71,unigram,feminine,accusative,plural,Watakapowapeleka,1.0962199599997684,Watakapowapeleka,,,,,,,,,authority
ἐξουσία,204,unigram,feminine,accusative,singular,mamlaka,683.299304899792,mamlaka,mamlaka,,mamlaka,amri,mamlaka,mamlaka,mamlaka,,authority
βρέφος,16,unigram,neuter,accusative,plural,,,awawekee,,,,waliwakemea,wachanga,wachanga,waliwakemea,,babies
βρέφος,328,unigram,neuter,accusative,singular,mchanga,1.3648270243545841,,,,,mchanga,,,mchanga,,babies
ἀποθήκη,273,unigram,feminine,accusative,plural,,,,ghala,,ghala,,zaidi,zaidi,,,barn
ἀποθήκη,70,unigram,feminine,accusative,singular,ghalani,1.5245121872237364,,ngano,,ngano,ghalani,ghalani,ghalani,ghalani,,barn
φραγμός,114,unigram,masculine,accusative,singular,kukamulia,1.0595319950666118,kukamulia,,,,,,,,,"barrier, wall"
ἀρχή,73,unigram,feminine,accusative,plural,Watakapowapeleka,1.0961063339256685,Watakapowapeleka,,,,,,,,,beginning
ζώνη,178,unigram,feminine,accusative,plural,,,,mifukoni,,mifukoni,mishipini,vifuko,vifuko,mishipini,,belt
ζώνη,230,unigram,feminine,accusative,singular,kilikuwa,1.2013309189107515,,,,,kilikuwa,,,kilikuwa,,belt
βλασφημία,33,unigram,feminine,accusative,plural,kufuru,1.2013845589884997,,kufuru,,kufuru,,,,,,blasphemy
πλοῖον,107,unigram,neuter,accusative,plural,mashua,13.40135434449694,mashua,mashua,,mashua,vyombo,mashua,mashua,mashua,,boat
πλοῖον,313,unigram,neuter,accusative,singular,mashua,2637.093371390877,mashua,mashua,,mashua,chomboni,mashua,mashua,mashua,,boat
πλοῖον,245,unigram,neuter,nominative,plural,Wakauacha,1.673282292918833,,,,,,Wakauacha,Wakauacha,,,boat
πλοῖον,232,unigram,neuter,nominative,singular,mashua,11.376223829936892,mashua,mashua,,mashua,chombo,mashua,mashua,mashua,,boat
σῶμα,219,unigram,neuter,nominative,plural,miili,15.998357043752561,,,,,miili,miili,miili,miili,,body
σῶμα,61,unigram,neuter,nominative,singular,mwili,9111.915157355033,mwili,mwili,,mwili,mwili,mwili,mwili,mwili,,body
κλῆμα,57,unigram,neuter,nominative,plural,,,,,,,akaaye,Akaaye,Akaaye,akaaye,,branch
κλῆμα,154,unigram,neuter,nominative,singular,tawi,84.37963151816678,tawi,tawi,,tawi,tawi,tawi,tawi,tawi,,branch
ἄρτος,318,unigram,masculine,accusative,plural,mikate,14036.98614321352,mikate,mikate,,mikate,mikate,mikate,mikate,mikate,,bread
ἄρτος,343,unigram,masculine,accusative,singular,mkate,172.8454731119321,mkate,mkate,,mkate,mkate,mkate,mkate,mkate,,bread
ἄρτος,162,unigram,masculine,nominative,plural,mikate,278.8614228378494,mikate,mikate,,mikate,mikate,mikate,mikate,mikate,,bread
ἄρτος,39,unigram,masculine,nominative,singular,mkate,258.0292719940248,mkate,mkate,,mkate,chakula,mkate,mkate,chakula,,bread
ἀδελφός,303,unigram,masculine,accusative,plural,ndugu,34227.886070536035,ndugu,ndugu,,ndugu,ndugu,ndugu,ndugu,ndugu,,brother
ἀδελφός,123,unigram,masculine,accusative,singular,nduguye,5.233562126256352,ndugu,ndugu,,ndugu,nduguye,nduguye,nduguye,nduguye,,brother
ἀδελφός,113,unigram,masculine,nominative,plural,ndugu,5177.031169029493,ndugu,ndugu,,ndugu,ndugu,ndugu,ndugu,ndugu,,brother
ἀδελφός,237,unigram,masculine,nominative,singular,ndugu,521.4004269477072,ndugu,ndugu,,ndugu,ndugu,ndugu,ndugu,ndugu,,brother
στῆθος,159,unigram,neuter,accusative,plural,,,,,,,wakijipiga-piga,,,wakijipigapiga,,"chest, breast"
στῆθος,288,unigram,neuter,accusative,singular,,,mfuasi,karibu,,karibu,kifua,kifuani,kifuani,kifua,,"chest, breast"
ἀρχιερεύς,249,unigram,masculine,accusative,plural,makuhani,2.8136364502607254,makuhani,makuhani,,makuhani,makuhani,viongozi,viongozi,makuhani,,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,kuhani,4.872817214153096,kuhani,kuhani,,kuhani,,kuhani,kuhani,,,chief priest
ἀρχιερεύς,122,unigram,masculine,nominative,plural,makuhani,7.423733537427543,makuhani,wakuu,,wakuu,makuhani,makuhani,makuhani,makuhani,,chief priest
ἀρχιερεύς,253,unigram,masculine,nominative,singular,mkuu,1.6829984013345267,mkuu,mkuu,,mkuu,,mkuu,mkuu,,,chief priest
παῖς,241,unigram,masculine,accusative,plural,,,,kiume,,kiume,wanaume,kurudi,kurudi,watoto,,child
τέκνον,337,unigram,neuter,accusative,plural,watoto,53679.511209993565,watoto,watoto,,watoto,watoto,watoto,watoto,watoto,,child
τέκνον,184,unigram,neuter,accusative,singular,watoto,1.0270530140854248,Watoto,watoto,,watoto,,,,,,child
τέκνον,17,unigram,neuter,nominative,plural,Watoto,1.2811750619881503,Watoto,,,,,,,,,child
τέκνον,196,unigram,neuter,nominative,singular,Mwanangu,495.64056417450155,Mwanangu,Mwanangu,,Mwanangu,Mwanangu,Mwanangu,Mwanangu,Mwanangu,,child
παιδίον,15,unigram,neuter,accusative,plural,wadogo,1.8104141075808617,waje,msiwazuie,,msiwazuie,wadogo,wadogo,wadogo,wadogo,,child
παιδίον,91,unigram,neuter,accusative,singular,mtoto,2586.6937563066977,mtoto,mtoto,,mtoto,mtoto,mtoto,mtoto,mtoto,,child
παιδίον,176,unigram,neuter,nominative,plural,watoto,7.8194831356790955,Rafiki,watoto,,watoto,watoto,watoto,watoto,watoto,,child
παιδίον,41,unigram,neuter,nominative,singular,mtoto,154.11874090691262,mtoto,Mtoto,,Mtoto,mtoto,mtoto,mtoto,mtoto,,child
πόλις,187,unigram,feminine,accusative,plural,miji,122.29100999496099,miji,miji,,miji,miji,miji,miji,miji,,city
πόλις,66,unigram,feminine,accusative,singular,mji,20.06438263829143,mji,mji,,mji,mji,mji,mji,mji,,city
πύλη,211,unigram,feminine,nominative,singular,,,,,,,iendayo,ielekeayo,ielekeayo,iendayo,,city gate
χιτών,118,unigram,masculine,accusative,plural,kanzu,5.222266705208937,msichukue,koti,,koti,kanzu,kanzu,kanzu,kanzu,,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,shati,1.3142739176479592,shati,shati,,shati,kanzu,koti,koti,kanzu,,"clothing, undergarments"
ἱμάτιον,135,unigram,neuter,accusative,plural,mavazi,12.829588492547355,nguo,mavazi,,mavazi,mavazi,mavazi,mavazi,mavazi,,coat
ἱμάτιον,134,unigram,neuter,accusative,singular,vazi,12.01001463560804,vazi,vazi,,vazi,vazi,joho,joho,vazi,,coat
ἐντολή,83,unigram,feminine,accusative,plural,amri,2449.2716254548395,amri,amri,,amri,amri,amri,amri,amri,,commandment
ἐντολή,81,unigram,feminine,accusative,singular,amri,79.43210499821141,amri,amri,,amri,amri,amri,amri,amri,,commandment
συνέδριον,323,unigram,neuter,accusative,plural,,,,mahakamani,,mahakamani,mabarazani,,,mabarazani,,council
συνέδριον,53,unigram,neuter,accusative,singular,baraza,3.6421058951248666,baraza,kikao,,kikao,baraza,viongozi,viongozi,baraza,,council
χώρα,292,unigram,feminine,accusative,singular,nchi,109.02093418225618,nchi,nchi,,nchi,nchi,nchi,nchi,nchi,,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,makutano,252.1735586095209,watu,watu,,watu,makutano,makutano,makutano,makutano,,crowd
ὄχλος,9,unigram,masculine,accusative,singular,umati,1.8695129433908213,kundi,umati,,umati,mkutano,umati,umati,mkutano,,crowd
ὄχλος,100,unigram,masculine,nominative,plural,Watu,1.8373328252622039,Watu,Watu,,Watu,makutano,watu,watu,makutano,,crowd
ὄχλος,283,unigram,masculine,nominative,singular,watu,2.2735424180854427,watu,watu,,watu,mkutano,umati,umati,mkutano,,crowd
θυγάτηρ,317,unigram,feminine,nominative,singular,Binti,4.369837324222671,Binti,Binti,,Binti,binti,Binti,Binti,binti,,daughter
ἡμέρα,76,unigram,feminine,accusative,plural,siku,1581.0188024386246,siku,siku,,siku,siku,siku,siku,siku,,day
ἡμέρα,85,unigram,feminine,accusative,singular,siku,1360.469943297795,siku,siku,,siku,siku,siku,siku,siku,,day
ἡμέρα,2,unigram,feminine,nominative,plural,siku,12.295477323043507,siku,siku,,siku,siku,utafika,utafika,siku,,day
ἡμέρα,68,unigram,feminine,nominative,singular,siku,1.4854272430050806,Siku,siku,,siku,mchana,Kulipopambazuka,Kulipopambazuka,siku,,day
ὀφειλέτης,126,unigram,masculine,nominative,singular,Alipoanza,1.2013309189107515,,,,,,Alipoanza,Alipoanza,,,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,pepo,144.29798382678217,mashetani,pepo,,pepo,pepo,wachafu,wachafu,pepo,,demon
δαιμόνιον,333,unigram,neuter,accusative,singular,pepo,507.10889076487126,pepo,pepo,,pepo,pepo,mchafu,mchafu,pepo,,demon
δαιμόνιον,198,unigram,neuter,nominative,plural,pepo,7.167176768889556,pepo,pepo,,pepo,pepo,wachafu,wachafu,pepo,,demon
δαιμόνιον,175,unigram,neuter,nominative,singular,pepo,3.214067397089807,pepo,akamkemea,,akamkemea,pepo,mchafu,mchafu,pepo,,demon
δηνάριον,308,unigram,neuter,accusative,plural,dinari,49.48026949207967,sarafu,dinari,,dinari,dinari,dinari,dinari,dinari,,denarius (about a day's wages)
δηνάριον,164,unigram,neuter,accusative,singular,dinari,45.4589403639294,sarafu,Nionesheni,,Nionesheni,dinari,dinari,dinari,dinari,,denarius (about a day's wages)
μαθητής,181,unigram,masculine,accusative,plural,wanafunzi,123.40811989487571,wafuasi,wanafunzi,,wanafunzi,wanafunzi,wanafunzi,wanafunzi,wanafunzi,,disciple
μαθητής,338,unigram,masculine,accusative,singular,mwanafunzi,65.41047636344591,mfuasi,mwanafunzi,,mwanafunzi,mwanafunzi,mwanafunzi,mwanafunzi,mwanafunzi,,disciple
μαθητής,277,unigram,masculine,nominative,plural,wanafunzi,61.01928133050395,wafuasi,wanafunzi,,wanafunzi,wanafunzi,wanafunzi,wanafunzi,wanafunzi,,disciple
μαθητής,336,unigram,masculine,nominative,singular,mwanafunzi,5834.076600155976,mfuasi,mwanafunzi,,mwanafunzi,mwanafunzi,mwanafunzi,mwanafunzi,mwanafunzi,,disciple
νόσος,3,unigram,feminine,accusative,plural,magonjwa,5.167862712144808,magonjwa,,,,,magonjwa,magonjwa,,,disease
