lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1964_translation,version_1965_translation,version_1966_translation,version_1967_translation,english_translation
θεός,113,unigram,masculine,accusative,singular,Diosta,112.94438227005762,Diosta,Diosta,Diosta,Diosta,God
θεός,23,unigram,masculine,nominative,plural,dioskuna,1.097258004808277,,,,dioskuna,God
θεός,175,unigram,masculine,nominative,singular,Dios,1.4505664386937416,Dios,Dios,Dioska,Diosqa,God
κύριος,114,unigram,masculine,nominative,singular,Tukuyta,1.6903414806038406,Tukuyta,Tukuyta,“,Señor,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,Qhelqachisqanta,3.551294275177465,Qhelqachisqanta,Qhelqachisqanta,palabranta,Escriturasta,Scripture
γραφή,43,unigram,feminine,accusative,singular,Qhelqachisqanpi,1.8527401691147707,Qhelqachisqanpi,Qhelqachisqanpi,causarimunan,,Scripture
γραφή,225,unigram,feminine,nominative,plural,ruwashankichej,1.1510128135751927,ruwashankichej,ruwashankichej,palabran,,Scripture
γραφή,277,unigram,feminine,nominative,singular,Qhelqachisqanpi,2.127269446628871,Qhelqachisqanpi,Qhelqachisqanpi,palabranpipis,Escritura,Scripture
ἄγγελος,83,unigram,masculine,accusative,plural,,,,,angelesniyta,kachamonqa,angel
ἄγγελος,73,unigram,masculine,accusative,singular,,,,,sonkoncuta,ñaupaqeykita,angel
ἄγγελος,40,unigram,masculine,nominative,plural,angelkuna,2.113146747392432,angelkuna,angelkuna,angeles,ángeles,angel
ἄγγελος,93,unigram,masculine,nominative,singular,angelnin,1.4677885220846754,angelnin,angelnin,angel,angelnin,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,,,,,willarkancu,willarqanku,apostle
ἐξουσία,166,unigram,feminine,accusative,singular,atiyta,73.87076706037003,atiyta,atiyta,atiyta,atiyta,authority
βρέφος,12,unigram,neuter,accusative,plural,saminchananpaj,1.1226284695549669,saminchananpaj,saminchananpaj,mañapunanpaj,Wawastataj,babies
βρέφος,275,unigram,neuter,accusative,singular,,,,,karanapi,qaranapi,babies
ἀποθήκη,229,unigram,feminine,accusative,plural,aswan,1.0105317091892194,,,,aswan,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,trigota,2.3479729410728587,trigota,trigota,,,barn
βλασφημία,26,unigram,feminine,accusative,plural,parlajri,1.161346151680032,,,,parlajri,blasphemy
βλασφημία,81,unigram,feminine,accusative,singular,phiñachiskanta,1.0960768946513286,,,phiñachiskanta,,blasphemy
βλασφημία,173,unigram,feminine,nominative,plural,sajra,1.1248344423438186,,,sajra,,blasphemy
βλασφημία,74,unigram,feminine,nominative,singular,millayta,2.259840735483136,millayta,millayta,sajrata,,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,qocha,1.5372487392458782,qocha,qocha,,botesta,boat
πλοῖον,262,unigram,neuter,accusative,singular,boteman,77.81816654727614,boteman,boteman,barcoman,boteman,boat
πλοῖον,190,unigram,neuter,nominative,singular,botepi,5.368963418067911,botepi,botepi,kochapiña,qocha,boat
σῶμα,52,unigram,neuter,nominative,singular,ukhuyki,1.7418221795053048,ukhuyki,ukhuyki,causayniyqui,allin,body
κλῆμα,48,unigram,neuter,nominative,plural,yuran,1.2013523596909814,yuran,yuran,,,branch
κλῆμα,126,unigram,neuter,nominative,singular,,,,,ujchaska,noqapi,branch
ἄρτος,266,unigram,masculine,accusative,plural,t'antata,11.934937078587492,t'antata,t'antata,t'antasta,t'antata,bread
ἄρτος,290,unigram,masculine,accusative,singular,t'antata,38.59056552459566,t'antata,t'antata,t'antata,t'antata,bread
ἄρτος,133,unigram,masculine,nominative,plural,t'antata,1.6536897126073353,t'antata,t'antata,miqhunata,t'antata,bread
ἄρτος,32,unigram,masculine,nominative,singular,t'anta,1.3935316839459289,t'anta,t'anta,miqhuna,,bread
ἀδελφός,253,unigram,masculine,accusative,plural,,,,,wawasninta,mamanta,brother
ἀδελφός,104,unigram,masculine,accusative,singular,wawqen,5.123145674650749,wawqen,wawqen,wauken,wauqen,brother
ἀδελφός,96,unigram,masculine,nominative,plural,wawqenkuna,1.7278974866472796,wawqenkuna,wawqenkuna,waukesniypis,wauqesnin,brother
ἀδελφός,196,unigram,masculine,nominative,singular,wawqen,2.443910755206948,wawqen,wawqen,wauken,wauqen,brother
στῆθος,130,unigram,neuter,accusative,plural,,,,,Phuticuskancuta,pechonkuta,"chest, breast"
στῆθος,240,unigram,neuter,accusative,singular,pitaj,2.299269625645531,pitaj,pitaj,yachacojka,,"chest, breast"
ἀρχιερεύς,206,unigram,masculine,accusative,plural,kuraj,6.606028443619372,kuraj,kuraj,yupaychana-wasimanta,kuraj,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,sacerdote,1.1516114482606536,sacerdote,sacerdote,Caifaspaman,jatun,chief priest
ἀρχιερεύς,103,unigram,masculine,nominative,plural,sacerdotekuna,1.5791597335132155,sacerdotekuna,sacerdotekuna,yupaychana-wasimanta,sacerdotes,chief priest
ἀρχιερεύς,211,unigram,masculine,nominative,singular,kuraj,1.3422650983997209,kuraj,kuraj,curajka,sacerdote,chief priest
παῖς,200,unigram,masculine,accusative,plural,maytapuni,2.3811044278619726,maytapuni,maytapuni,ruwarka,maytapuni,child
τέκνον,284,unigram,neuter,accusative,plural,miraynin,1.6634373237188718,miraynin,miraynin,wawasninta,wauqesninta,child
τέκνον,150,unigram,neuter,accusative,singular,cananpaj,1.0456863333937718,,,cananpaj,,child
τέκνον,159,unigram,neuter,nominative,singular,Wawáy,7.178918328841184,Wawáy,Wawáy,,Wawáy,child
παιδίον,11,unigram,neuter,accusative,plural,wawakuna,1.0973728622026753,wawakuna,wawakuna,,jark'aychejchu,child
παιδίον,78,unigram,neuter,accusative,singular,wawata,8.13214253826929,wawata,wawata,Wawitata,wawata,child
παιδίον,145,unigram,neuter,nominative,plural,ni,1.040841742915848,ni,ni,,paykunaj,child
παιδίον,34,unigram,neuter,nominative,singular,wawa,16.19758650688882,wawa,wawa,,wawa,child
πόλις,152,unigram,feminine,accusative,plural,llajtakunaman,1.2089109151480533,llajtakunaman,llajtakunaman,llajtasta,yachachispa,city
πόλις,57,unigram,feminine,accusative,singular,llajtaman,76.00911460908492,llajtaman,llajtaman,llajtaman,llajtaman,city
πύλη,172,unigram,feminine,nominative,singular,punkupis,1.2238218710170874,punkupis,punkupis,,ñampis,city gate
χιτών,99,unigram,masculine,accusative,plural,,,,,iscay,wayaqata,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,,,,,Pillapis,p'achaykita,"clothing, undergarments"
ἱμάτιον,111,unigram,neuter,accusative,plural,p'achanta,1.6735203717463245,p'achanta,p'achanta,pipajchus,p'achasninta,coat
ἱμάτιον,110,unigram,neuter,accusative,singular,p'achanta,2.9660067603872258,p'achanta,p'achanta,p'achanta,p'achanta,coat
ἐντολή,71,unigram,feminine,accusative,plural,kamachisqankunata,1.9774836989816136,kamachisqankunata,kamachisqankunata,casuy,kamachisqasniyta,commandment
ἐντολή,69,unigram,feminine,accusative,singular,kamachisqanta,4.136509724366805,kamachisqanta,kamachisqanta,camachiskanta,kamachiyta,commandment
συνέδριον,270,unigram,neuter,accusative,plural,qhawakuychej,2.1061506898566225,qhawakuychej,qhawakuychej,jaywaycusonkachej,qhawakuychej,council
συνέδριον,44,unigram,neuter,accusative,singular,Juntapi,1.3649014371778263,Juntapi,Juntapi,curajcuna,sacerdotes,council
χώρα,244,unigram,feminine,accusative,singular,ñannejta,1.1248927518576097,ñannejta,ñannejta,jallp'ancuman,Gerasa,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,runakunata,3.8364958573776136,runakunata,runakunata,runasta,runasman,crowd
ὄχλος,6,unigram,masculine,accusative,singular,runakunata,2.431656178649115,runakunata,runakunata,ashqha,runasta,crowd
ὄχλος,85,unigram,masculine,nominative,plural,runakuna,1.1897671127189253,runakuna,runakuna,ashqha,Runastaj,crowd
ὄχλος,237,unigram,masculine,nominative,singular,ashkha,2.3016842726841777,ashkha,ashkha,ashqha,ashkha,crowd
θυγάτηρ,265,unigram,feminine,nominative,singular,ususin,3.1650117893439806,ususin,ususin,warmi,ususin,daughter
ἡμέρα,65,unigram,feminine,accusative,plural,p'unchayta,1.4777389725211065,p'unchayta,p'unchayta,Quinsa,p'unchayta,day
ἡμέρα,75,unigram,feminine,accusative,singular,p'unchay,3.8357112014928334,p'unchay,p'unchay,p'unchay,p'unchay,day
ἡμέρα,2,unigram,feminine,nominative,plural,chayamonqa,1.0926155391602153,chayamonqa,chayamonqa,p'unchaycunapi,maypachachus,day
ἡμέρα,59,unigram,feminine,nominative,singular,,,Pascua,Pascua,p'unchay,p'unchay,day
δαιμόνιον,25,unigram,neuter,accusative,plural,supaykunata,37.60548508215093,supaykunata,supaykunata,supaycunata,supaykunata,demon
δαιμόνιον,280,unigram,neuter,accusative,singular,supayniyoj,4.353660676660586,supayniyoj,supayniyoj,supayniyoj,supayniyoj,demon
δαιμόνιον,161,unigram,neuter,nominative,plural,supaykuna,5.129996198366056,supaykuna,supaykuna,—nispa.Jesusrí,sajra,demon
δαιμόνιον,144,unigram,neuter,nominative,singular,supayta,1.220479164066961,supayta,supayta,supayta,supayqa,demon
δηνάριον,257,unigram,neuter,accusative,plural,qolqe,1.0623824054369084,qolqe,qolqe,manu,denario,denarius (about a day's wages)
δηνάριον,135,unigram,neuter,accusative,singular,phisuta,2.2337856962825495,phisuta,phisuta,jap'erkancu,qolqeta,denarius (about a day's wages)
μαθητής,148,unigram,masculine,accusative,plural,yachachisqankunata,17.28459701077155,yachachisqankunata,yachachisqankunata,yachacojcunanta,yachachisqasninta,disciple
μαθητής,285,unigram,masculine,accusative,singular,munasqa,3.882723978452323,munasqa,munasqa,munaska,munakusqan,disciple
μαθητής,232,unigram,masculine,nominative,plural,yachachisqankuna,11.143796925392017,yachachisqankuna,yachachisqankuna,yachacojcunan,yachachisqasnin,disciple
μαθητής,283,unigram,masculine,nominative,singular,yachacojka,2.0582477747442742,,,yachacojka,,disciple
νόσος,64,unigram,feminine,accusative,singular,,,,,laya,nanaykunamantawan,disease
περιστερά,84,unigram,feminine,accusative,plural,urpikunata,2.078143930942358,urpikunata,urpikunata,,,dove
περιστερά,46,unigram,feminine,accusative,singular,urpi,1.0971724846543804,urpi,urpi,Santo,paloma,dove
οὖς,125,unigram,neuter,accusative,plural,uyarichun,2.897389526879914,uyarichun,uyarichun,uyarichun,uyarichun,ear
οὖς,236,unigram,neuter,accusative,singular,sut,1.079124707982819,sut,sut,runaj,wasi,ear
σεισμός,167,unigram,masculine,nominative,plural,ikhakuykuna,1.3648270243545841,ikhakuykuna,ikhakuykuna,qharcatitenka,kuyuykuna,"earthquakes, storm"
σεισμός,55,unigram,masculine,nominative,singular,',1.0763152840018462,,,,',"earthquakes, storm"
τέλος,230,unigram,neuter,accusative,singular,tukukuykama,3.0235802808506214,tukukuykama,tukukuykama,muchojrí,tukukuykama,end
αἰών,254,unigram,masculine,accusative,singular,wiñaypaj,10.741778639220847,wiñaypaj,wiñaypaj,wiñaypaj,wiñaypaj,eternity
ὀφθαλμός,18,unigram,masculine,accusative,plural,,,ñawinta,ñawinta,ñawisninta,ñawisninta,eye
ὀφθαλμός,56,unigram,masculine,nominative,plural,puñurashajllatataj,1.0843133135425658,,,,puñurashajllatataj,eye
ὀφθαλμός,251,unigram,masculine,nominative,singular,ñawiyki,1.2859540208754658,ñawiyki,ñawiyki,causayniyqui,allin,eye
πρόσωπον,158,unigram,neuter,accusative,singular,uyanta,1.7363855394953667,uyanta,uyanta,,pampakama,face
λιμός,4,unigram,feminine,nominative,plural,ikhakuykuna,1.1226284695549662,ikhakuykuna,ikhakuykuna,,kuyuykuna,famine
γεωργός,213,unigram,masculine,nominative,plural,,,,,nokanchejpata,Llank'ajkunataj,"farmer, tenant"
γεωργός,42,unigram,masculine,nominative,singular,huertata,1.122689908883933,huertata,huertata,llanc'ajka,llank'ajqa,"farmer, tenant"
πατήρ,256,unigram,masculine,accusative,singular,Tata,1.8030837055521955,Tata,Tata,tatanta,Dios,father
