lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2283_translation,version_2284_translation,version_2285_translation,version_2286_translation,version_2287_translation,english_translation
θεός,113,unigram,masculine,accusative,singular,ദൈവത്തെ,49.72390682122975,ദൈവത്തെ,,ദൈവത്തെ,ദൈവത്തെ,ദൈവത്തെ,God
θεός,22,unigram,masculine,nominative,plural,ദേവന്മാർ,1.2039751291158407,ദേവന്മാർ,,,ദേവന്മാർ,,God
θεός,177,unigram,masculine,nominative,singular,ദൈവം,2134.1890359679214,ദൈവം,,ദൈവം,ദൈവം,ദൈവം,God
κύριος,283,unigram,masculine,nominative,plural,അഴിക്കുന്നത്,1.1631489665259134,,,അഴിക്കുന്നത്,,,"Lord, lord, master"
κύριος,114,unigram,masculine,nominative,singular,കർത്താവ്,1.5357196352927942,കർത്താവ്,,യജമാനൻ,കർത്താവ്,കർത്താവ്,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,തിരുവെഴുത്തുകളെ,2.233776381147469,തിരുവെഴുത്തുകളെ,,ശക്തിയും,തിരുവെഴുത്തുകളെ,തിരുവെഴുത്തുകൾ,Scripture
γραφή,42,unigram,feminine,accusative,singular,തിരുവെഴുത്ത്,1.5529926726827539,,,,,തിരുവെഴുത്ത്,Scripture
γραφή,224,unigram,feminine,nominative,plural,തിരുവെഴുത്തുകൾക്ക്,3.426413215079243,തിരുവെഴുത്തുകൾക്ക്,,,തിരുവെഴുത്തുകൾക്ക്,,Scripture
γραφή,278,unigram,feminine,nominative,singular,തിരുവെഴുത്തു,2.51372874548847,തിരുവെഴുത്തിന്,,വേദഗ്രന്ഥത്തിൽ,തിരുവെഴുത്തു,തിരുവെഴുത്തു,Scripture
ἄγγελος,79,unigram,masculine,accusative,plural,ദൂതന്മാരെ,2.823439231315723,ദൂതന്മാരെ,,ദൂതന്മാരെ,ദൂതന്മാരെ,,angel
ἄγγελος,70,unigram,masculine,accusative,singular,ദൂതനെ,1.423268329582114,,,ദൂതനെ,,,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ദൂതന്മാർ,3.799925293539368,ദൂതന്മാർ,,മാലാഖമാർ,ദൂതന്മാർ,ദൂതന്മാർ,angel
ἄγγελος,90,unigram,masculine,nominative,singular,ദൂതൻ,20.945563692415767,ദൂതൻ,,ദൈവദൂതൻ,ദൂതൻ,ദൂതൻ,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,അപ്പൊസ്തലന്മാർ,7.560381200631583,അപ്പൊസ്തലന്മാർ,,അപ്പോസ്തോലന്മാർ,അപ്പൊസ്തലന്മാർ,അപ്പൊസ്തലന്മാർ,apostle
ἐξουσία,168,unigram,feminine,accusative,singular,അധികാരം,87.74936104445985,അധികാരം,,അധികാരം,അധികാരം,അധികാരം,authority
βρέφος,11,unigram,neuter,accusative,plural,,,,,ഇതുകണ്ടപ്പോൾ,ശിശുക്കളെയും,നവജാതശിശുക്കളെ,babies
βρέφος,276,unigram,neuter,accusative,singular,പശുത്തൊട്ടിയിൽ,1.090158118829743,പശുത്തൊട്ടിയിൽ,,പുൽത്തൊട്ടിയിൽ,പശുത്തൊട്ടിയിൽ,,babies
ἀποθήκη,59,unigram,feminine,accusative,singular,കളപ്പുരയിൽ,2.347972941072859,കളപ്പുരയിൽ,,,കളപ്പുരയിൽ,,barn
ζώνη,146,unigram,feminine,accusative,plural,വെള്ളിയും,1.0960524252565438,,,,വെള്ളിയും,,belt
ζώνη,193,unigram,feminine,accusative,singular,ആഹാരമോ,1.0960524252565438,,,,ആഹാരമോ,,belt
βλασφημία,26,unigram,feminine,accusative,plural,ചിന്തിച്ചുതുടങ്ങി,1.161346151680032,,,,ചിന്തിച്ചുതുടങ്ങി,,blasphemy
