lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_548_translation,version_549_translation,version_550_translation,version_551_translation,version_552_translation,english_translation
θεός,139,unigram,masculine,accusative,singular,Dios,103696.44766798842,Dios,Dios,Dios,Dios,Dios,God
θεός,30,unigram,masculine,nominative,plural,dioses,3.8498715006362683,dioses,dioses,dioses,dioses,dioses,God
θεός,218,unigram,masculine,nominative,singular,Dios,110210.43113728333,Dios,Dios,Dios,Dios,Dios,God
κύριος,140,unigram,masculine,nominative,singular,Señor,74.70924781166535,Señor,Señor,Señor,Señor,Señor,"Lord, lord, master"
γραφή,134,unigram,feminine,accusative,plural,Escrituras,58.391144075581906,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Scripture
γραφή,55,unigram,feminine,accusative,singular,,,,,,entendido,Escritura,Scripture
γραφή,271,unigram,feminine,nominative,plural,Escrituras,1.792524027022268,sucede,sucede,Escrituras,Escrituras,Escrituras,Scripture
γραφή,335,unigram,feminine,nominative,singular,Escritura,95.19736355428199,Escritura,Escritura,Escritura,Escritura,Escritura,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,ángeles,43.081841739629525,ángeles,ángeles,ángeles,ángeles,ángeles,angel
ἄγγελος,90,unigram,masculine,accusative,singular,prepare,1.1027062121901932,prepare,prepare,,,,angel
ἄγγελος,51,unigram,masculine,nominative,plural,ángeles,1715.2872852794683,ángeles,ángeles,ángeles,ángeles,ángeles,angel
ἄγγελος,114,unigram,masculine,nominative,singular,ángel,493.990363830335,ángel,ángel,ángel,ángel,ángel,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,apóstoles,178.9095871334961,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,sirviente,sirviente,superior,superior,mensajero,apostle
ἐξουσία,75,unigram,feminine,accusative,plural,defenderos,1.0962199599997684,,,,,defenderos,authority
ἐξουσία,209,unigram,feminine,accusative,singular,autoridad,968.5063289151723,autoridad,autoridad,autoridad,autoridad,autoridad,authority
βρέφος,16,unigram,neuter,accusative,plural,tocara,1.2419378358225965,tocara,tocara,bendijese,bendijese,tocara,babies
βρέφος,333,unigram,neuter,accusative,singular,pesebre,1.17856146738421,pesebre,pesebre,acostado,acostado,pesebre,babies
ἀποθήκη,276,unigram,feminine,accusative,plural,graneros,3.8499715576933404,graneros,graneros,,,graneros,barn
ἀποθήκη,74,unigram,feminine,accusative,singular,granero,1.927725697575918,granero,granero,granero,granero,granero,barn
φραγμός,118,unigram,masculine,accusative,singular,lagar,1.1226080485698346,lagar,lagar,,,,"barrier, wall"
ἀρχή,77,unigram,feminine,accusative,plural,defenderos,1.0961063339256685,,,,,defenderos,beginning
ἀρχή,190,unigram,feminine,accusative,singular,,,mostró,mostró,Manifestó,Manifestó,,beginning
ζώνη,181,unigram,feminine,accusative,plural,cobre,1.2728485452487148,oro,oro,cobre,cobre,cobre,belt
