lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_86_translation,version_87_translation,version_88_translation,version_89_translation,version_90_translation,english_translation
θεός,355,unigram,masculine,accusative,plural,gode,2.7385859167619726,,gode,gode,,gode,God
θεός,145,unigram,masculine,accusative,singular,God,1471.433857145308,God,God,God,God,God,God
θεός,227,unigram,masculine,nominative,singular,God,147675.47626855964,God,God,God,God,God,God
κύριος,357,unigram,masculine,nominative,plural,eienaars,2.095246612283462,eienaars,,eienaars,eienaars,eienaars,"Lord, lord, master"
κύριος,146,unigram,masculine,nominative,singular,Here,69.80324926273393,Here,Here,Here,Here,Here,"Lord, lord, master"
γραφή,140,unigram,feminine,accusative,plural,Skrif,3.5029374417936894,Skrifte,Skrif,,Skrif,Skrif,Scripture
γραφή,54,unigram,feminine,accusative,singular,Skrif,4.882916330426254,Skrif,Skrif,,Skrif,Skrif,Scripture
γραφή,286,unigram,feminine,nominative,plural,gebeur,1.417372024469728,Skrifte,Skrif,gebeur,gebeur,vervul,Scripture
γραφή,349,unigram,feminine,nominative,singular,Skrif,29.018472646413645,Skrif,Skrif,,Skrif,Skrif,Scripture
ἄγγελος,109,unigram,masculine,accusative,plural,engele,26.84352445879944,engele,engele,engele,engele,engele,angel
ἄγγελος,90,unigram,masculine,accusative,singular,boodskapper,1.4946191552539643,,boodskapper,boodskapper.Hy,Maleagi,boodskapper,angel
ἄγγελος,50,unigram,masculine,nominative,plural,engele,2314.2758220505784,engele,engele,engele,engele,engele,angel
ἄγγελος,120,unigram,masculine,nominative,singular,engel,1465.4221636351513,engel,engel,engel,engel,engel,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,apostels,198.50008286805837,apostels,apostels,apostels,twaalf,apostels,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,gesant,1.8587578856154945,gesant,gesant,Boodskapper,andersom,gestuurde,apostle
ἐξουσία,218,unigram,feminine,accusative,singular,gesag,2.669645867656489,mag,gesag,mag,gesag,gesag,authority
βρέφος,18,unigram,neuter,accusative,plural,aanraak,1.1611099619385272,aanraak,aanraak,kindertjies,onbelangrike,stok,babies
βρέφος,347,unigram,neuter,accusative,singular,krip,2.9050130242809233,krip,krip,krip,lê,krip,babies
ἀποθήκη,293,unigram,feminine,accusative,plural,skure,8.643093546397298,skure,skure,koring,skure,skure,barn
ἀποθήκη,74,unigram,feminine,accusative,singular,skuur,1.371292044412536,skuur,skuur,stoorkamer,koring,skuur,barn
φραγμός,253,unigram,masculine,accusative,plural,lanings,1.1999087542240303,,lanings,,,lanings,"barrier, wall"
ἀρχή,197,unigram,feminine,accusative,singular,Kana,1.5164114405911573,Kana,blyk,Kana,,begin,beginning
ζώνη,188,unigram,feminine,accusative,plural,,,,,goue,hoef,kontant,belt
βλασφημία,34,unigram,feminine,accusative,plural,godslasterlik,2.1899565049414313,godslasterlik,afvra,Méns,godslasterlik,godslasterlik,blasphemy
βλασφημία,106,unigram,feminine,accusative,singular,,,godslastering,godslasterlike,geskeur,aangetas,,blasphemy
βλασφημία,225,unigram,feminine,nominative,plural,sonde,1.0611006885871663,,,sonde,,,blasphemy
