lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2331_translation,version_2332_translation,version_2333_translation,version_2334_translation,version_2335_translation,version_2336_translation,english_translation
θεός,50,unigram,masculine,accusative,singular,,,,,’,,,神。,God
θεός,81,unigram,masculine,nominative,singular,,,,,‘,,神，乃是活人的,神，而是活人的,God
κύριος,51,unigram,masculine,nominative,singular,‘,5.60770971304436,‘,‘,‘,,,‘,"Lord, lord, master"
γραφή,23,unigram,feminine,accusative,singular,圣经上说，,2.6752694600837024,,,圣经上说，,,,,Scripture
ἄγγελος,31,unigram,masculine,accusative,singular,,,看哪，我要差派我的使者在你前头，,,圣经上说，,,,,angel
ἄγγελος,36,unigram,masculine,nominative,singular,,,,,天使回答说：,,,天使说：,angel
ἐξουσία,77,unigram,feminine,accusative,singular,不过为要使你们知道人子在地上有赦免罪的权柄——,1.4528125026676095,不过为要使你们知道人子在地上有赦免罪的权柄——,,,,,,authority
ἀποθήκη,104,unigram,feminine,accusative,plural,,,他就说：,就说：,于是他说，,,,又说：,barn
ἀποθήκη,27,unigram,feminine,accusative,singular,,,,他手里拿着簸箕，要扬净他的谷物，把麦子收在仓里，把糠用不灭的火烧尽。,,,,他手里拿着簸箕，要扬净麦场，把麦子收进仓里，却用不灭的火把糠秕烧尽。,barn
φραγμός,93,unigram,masculine,accusative,plural,,,,主人对仆人说：,主人又说，,,,主人就对仆人说：,"barrier, wall"
φραγμός,39,unigram,masculine,accusative,singular,,,耶稣开始用比喻对他们说：,耶稣就用比喻对他们说：,耶稣用比喻对他们说：,,,耶稣又用比喻对他们说：,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,singular,你到底是谁？,1.9540373224196692,你到底是谁？,你到底是谁？,你到底是谁？,,,你是谁？,beginning
βλασφημία,34,unigram,feminine,accusative,singular,,,大祭司就撕裂自己的衣服，说：,大祭司就撕裂衣服，说：,大祭司撕裂衣服，说：,,,大祭司就撕开衣服，说：,blasphemy
σῶμα,26,unigram,neuter,nominative,singular,,,在他们吃的时候，耶稣拿起饼来，祝福了，就掰开，递给门徒们，说：,,,,,你们拿去吃吧，这是我的身体。,body
ἄρτος,125,unigram,masculine,accusative,plural,,,耶稣问他们：,,门徒答道：,,他怎么进了,,bread
ἄρτος,135,unigram,masculine,accusative,singular,,,在他们吃的时候，耶稣拿起饼来，祝福了，就掰开，递给门徒们，说：,,,,,你们拿去吃吧，这是我的身体。,bread
ἄρτος,15,unigram,masculine,nominative,singular,魔鬼对他说：「你若是,1.1352454053045962,,,,,魔鬼对他说：「你若是,,bread
ἀδελφός,121,unigram,masculine,accusative,plural,耶稣说：,1.0809581156067976,,,,,,耶稣说：,brother
ἀδελφός,38,unigram,masculine,nominative,plural,,,有人告诉他：,谁是我的母亲？谁是我的兄弟？,,,,,brother
ἀδελφός,92,unigram,masculine,nominative,singular,,,,老师，摩西为我们写下这话：,,,,老师，摩西曾写给我们说：,brother
ἀρχιερεύς,45,unigram,masculine,nominative,plural,,,,彼拉多对他们说：,彼拉多说：,,,,chief priest
ἀρχιερεύς,95,unigram,masculine,nominative,singular,你不回答吗？这些人作证控告你的是什么呢？,1.89482983571838,,,你不回答吗？这些人作证控告你的是什么呢？,,,,chief priest
τέκνον,132,unigram,neuter,accusative,plural,,,我们有亚伯拉罕为先祖。,我们有亚伯拉罕为祖宗。,我们是亚伯拉罕的子孙。,,,我们有亚伯拉罕作我们的祖宗。,child
τέκνον,68,unigram,neuter,accusative,singular,,,,某人的哥哥若死了，撇下妻子，没有孩子，他该娶哥哥的妻子，为哥哥生子立后。,,,,如果一个人死了，留下妻子，没有儿女，他的弟弟就应当娶他的妻子，为哥哥立后。,child
