lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2098_translation,version_2099_translation,version_2100_translation,version_2101_translation,version_2102_translation,version_2103_translation,english_translation
θεός,114,unigram,masculine,accusative,singular,Mwari,4943.903105863602,Mŋari,Mwari,Mwari,Mwari,,Mwari,God
θεός,183,unigram,masculine,nominative,singular,Mwari,2652.162081817015,Mŋari,Mwari,Mwari,Mwari,,Mwari,God
κύριος,115,unigram,masculine,nominative,singular,Ishe,52.109365411431384,Ishe,Ishe,Tenzi,Tenzi,,Ishe,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,Magwaro,30.26594950684201,Magwaro,Magwaro,Magwaro,Magwaro,,Magwaro,Scripture
γραφή,41,unigram,feminine,accusative,singular,runoti,3.9997947117184753,runoti,,,,,runoti,Scripture
γραφή,236,unigram,feminine,nominative,plural,Magwaro,5.851460600675238,,Magwaro,Magwaro,Magwaro,,Magwaro,Scripture
γραφή,295,unigram,feminine,nominative,singular,Rugwaro,5.490168560215974,Rugwaro,Rugwaro,Magwaro,Magwaro,,Rugwaro,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,vatumwa,16.37226282941069,ʋatumŋa,vatumwa,vatumwa,vatumwa,,vatumwa,angel
ἄγγελος,71,unigram,masculine,accusative,singular,,,munyai,nhume,ndinotuma,ndinotuma,,munyai,angel
ἄγγελος,38,unigram,masculine,nominative,plural,vatumwa,76.4722861681455,ʋatumŋa,vatumwa,vatumwa,vatumwa,,vatumwa,angel
ἄγγελος,93,unigram,masculine,nominative,singular,mutumwa,6.569844220927234,mutumŋa,mutumwa,mutumwa,mutumwa,,mutumwa,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,Vapositori,1.4645650035194064,ʋaapostora,Vapostori,Vapositori,Vapositori,,vapostori,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,,,kunowakamutuma,,,,,wakatumwa,apostle
ἐξουσία,175,unigram,feminine,accusative,singular,simba,120.98472268222628,simba,simba,simba,simba,,simba,authority
βρέφος,12,unigram,neuter,accusative,plural,,,naʋacece,navacheche,,,,,babies
βρέφος,293,unigram,neuter,accusative,singular,,,ruʋete,,,,,mucheche,babies
ἀποθήκη,59,unigram,feminine,accusative,singular,koroni,1.1369679753990816,muɗura,gorosi,koroni,koroni,,mudura,barn
ζώνη,200,unigram,feminine,accusative,singular,,,paciʋuno,,,,,pachiuno,belt
βλασφημία,26,unigram,feminine,accusative,plural,achishonha,1.2013899306183864,,achimhura,achishonha,achishonha,,,blasphemy
βλασφημία,181,unigram,feminine,nominative,plural,,,nokumhura,,,,,nokushonha,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,magwa,64.47806066014559,magwa,magwa,magwa,magwa,,magwa,boat
πλοῖον,278,unigram,neuter,accusative,singular,mugwa,189.80213904666675,mugwa,mugwa,mugwa,mugwa,,muigwa,boat
πλοῖον,213,unigram,neuter,nominative,plural,,,akaŋgoɗaro,,,,,akangodaro,boat
πλοῖον,202,unigram,neuter,nominative,singular,igwa,13.081133365942403,igwa,igwa,igwa,igwa,,igwa,boat
