lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_693_translation,version_694_translation,version_695_translation,version_696_translation,version_697_translation,version_698_translation,version_699_translation,version_700_translation,version_701_translation,version_702_translation,english_translation
θεός,355,unigram,masculine,accusative,plural,diathan,1.2039751291158407,diathan,diathan,,,,,,,,,God
θεός,144,unigram,masculine,accusative,singular,Dhia,1.8062404877760574,Dhia,Dhia,Dia,,,,,,,Dhia,God
θεός,225,unigram,masculine,nominative,singular,Dia,1156.0119711265247,Dia,Dia,Dia,,,,,,,Dia,God
κύριος,357,unigram,masculine,nominative,plural,t‑searraich,1.0970894485985805,,,t‑searraich,,,,,,,,"Lord, lord, master"
κύριος,145,unigram,masculine,nominative,singular,Tighearna,72.6818381784065,Tighearna,Tighearna,Tighearna,,,,,,,Tighearna,"Lord, lord, master"
γραφή,139,unigram,feminine,accusative,plural,sgriobtairean,11.916491374825972,sgriobtairean,sgriobtairean,Sgriobtaran,,,,,,,sgriobturan,Scripture
γραφή,56,unigram,feminine,accusative,singular,sgriobtar,3.9997947117184753,sgriobtar,sgriobtar,Sgriobtar,,,,,,,sgriobtur,Scripture
γραφή,285,unigram,feminine,nominative,plural,sgriobtairean,1.4762223097402098,sgriobtairean,sgriobtairean,coileanadh,,,,,,,sgriobturan,Scripture
γραφή,350,unigram,feminine,nominative,singular,sgriobtar,25.763497238482206,sgriobtar,sgriobtar,Sgriobtar,,,,,,,sgriobtur,Scripture
ἄγγελος,108,unigram,masculine,accusative,plural,aingil,2.2115440828212747,aingil,aingil,h‑ainglean,,,,,,,,angel
ἄγγελος,52,unigram,masculine,nominative,plural,h‑aingil,1.9684567385658094,h‑aingil,h‑aingil,h‑ainglean,,,,,,,h-ainglean,angel
ἄγγελος,118,unigram,masculine,nominative,singular,aingeal,1.6003680052651108,aingeal,aingeal,aingeal,,,,,,,aingeal,angel
ἀπόστολος,49,unigram,masculine,nominative,plural,h‑Abstoil,3.1056911323899135,h‑Abstoil,h‑Abstoil,h‑abstoil,,,,,,,h-ostail,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,teachdaire,2.0087358461890474,teachdaire,teachdaire,teachdaire,,,,,,,t-ostal,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,fhreagras,1.1690903246673063,fhreagras,fhreagras,,,,,,,,,authority
ἐξουσία,214,unigram,feminine,accusative,singular,cumhachd,6.61782697018178,cumhachd,cumhachd,ùghdarras,,,,,,,cumhachd,authority
βρέφος,16,unigram,neuter,accusative,plural,,,,,naoidheanan,,,,,,,bheantuinn,babies
βρέφος,348,unigram,neuter,accusative,singular,laighe,2.3286615738193843,laighe,laighe,laighe,,,,,,,prasaich,babies
ἀποθήκη,292,unigram,feminine,accusative,plural,saibhlean,7.221436319766724,saibhlean,saibhlean,saibhlean,,,,,,,mua,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,,,,,chruithneachd,,,,,,,shabhal,barn
φραγμός,251,unigram,masculine,accusative,plural,callaidean,1.096057314542422,,,,,,,,,,callaidean,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,fhreagras,1.1688526686306953,fhreagras,fhreagras,,,,,,,,,beginning
ἀρχή,196,unigram,feminine,accusative,singular,thùs,1.2238654476742756,thùs,thùs,Càna,,,,,,,Toiseach,beginning
ζώνη,240,unigram,feminine,accusative,singular,fhionnadh,1.2013309189107515,fhionnadh,fhionnadh,dh'fhionnadh,,,,,,,chalg,belt
βλασφημία,34,unigram,feminine,accusative,plural,toibheim,1.1687911118267487,toibheim,toibheim,toibheumach,,,,,,,blais-bheum,blasphemy
βλασφημία,105,unigram,feminine,accusative,singular,thoibheum,1.34872488402202,thoibheum,thoibheum,shrac,,,,,,,,blasphemy
βλασφημία,223,unigram,feminine,nominative,plural,toibheum,3.0483587000890826,toibheum,toibheum,,,,,,,,,blasphemy
βλασφημία,93,unigram,feminine,nominative,singular,toibheum,3.0483587000890826,toibheum,toibheum,,,,,,,,blaisbheum,blasphemy
πλοῖον,116,unigram,neuter,accusative,plural,luing,1.8314597959297703,luing,luing,eathar,,,,,,,shaghach,boat
πλοῖον,333,unigram,neuter,accusative,singular,luing,15.579743169758013,luing,luing,eathar,,,,,,,bhàta,boat
πλοῖον,258,unigram,neuter,nominative,plural,longan,1.201741803934157,longan,longan,eathraichean,,,,,,,,boat
πλοῖον,242,unigram,neuter,nominative,singular,long,3.4353223335026777,long,long,t‑eathar,,,,,,,,boat
σῶμα,67,unigram,neuter,nominative,singular,chorp,7.926932360376983,chorp,chorp,chorp,,,,,,,cholunn,body
κλῆμα,63,unigram,neuter,nominative,plural,,,eugmhais-sa,eugmhais‐sa,,,,,,,,,branch
κλῆμα,161,unigram,neuter,nominative,singular,fan,1.5728456338931138,fan,fan,ghèig,,,,,,,,branch
ἄρτος,337,unigram,masculine,accusative,plural,buileannan,1.2509903233118298,buileannan,buileannan,lofaichean,,,,,,,builionnan,bread
