lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_620_translation,version_621_translation,version_622_translation,version_623_translation,version_624_translation,version_625_translation,version_626_translation,version_627_translation,english_translation
θεός,138,unigram,masculine,accusative,singular,Jee,11.072215284426951,,,,,,,Jee,Jee,God
θεός,26,unigram,masculine,nominative,plural,,,,,,,,,Jeeaghyn,Jeeghyn,God
θεός,218,unigram,masculine,nominative,singular,Jee,72.7881179921021,,,,,,,Jee,Jee,God
κύριος,337,unigram,masculine,nominative,plural,,,,,,,,,by‐liesh,by-liesh,"Lord, lord, master"
κύριος,139,unigram,masculine,nominative,singular,Chiarn,9.793077478764726,,,,,,,Chiarn,Chiarn,"Lord, lord, master"
γραφή,134,unigram,feminine,accusative,plural,scriptyryn,3.994510010481291,,,,,,,scriptyryn,scriptyryn,Scripture
γραφή,50,unigram,feminine,accusative,singular,scriptyr,1.1063446289765493,,,,,,,scriptyr,,Scripture
γραφή,274,unigram,feminine,nominative,plural,scriptyryn,5.329710055506973,,,,,,,scriptyryn,scriptyryn,Scripture
γραφή,331,unigram,feminine,nominative,singular,scriptyr,6.099638164021445,,,,,,,scriptyr,scriptyr,Scripture
ἄγγελος,99,unigram,masculine,accusative,plural,ainleyn,5.574013164737011,,,,,,,ainleyn,ainleyn,angel
ἄγγελος,46,unigram,masculine,nominative,plural,ainleyn,20.305684388096925,,,,,,,ainleyn,ainleyn,angel
ἄγγελος,110,unigram,masculine,nominative,singular,ainle,26.251794103204624,,,,,,,ainle,ainle,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,dinsh,1.1316026780162294,,,,,,,dinsh,dinsh,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,reggyrt,1.1724556605736491,,,,,,,reggyrt,reggyrt,authority
ἐξουσία,209,unigram,feminine,accusative,singular,pooar,15.377528113707413,,,,,,,pooar,pooar,authority
βρέφος,330,unigram,neuter,accusative,singular,oikan,1.1226216593030982,,,,,,,oikan,oikan,babies
ἀποθήκη,279,unigram,feminine,accusative,plural,soaltyn,3.999796172100635,,,,,,,soaltyn,soaltyn,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,churnaght,2.153791179937594,,,,,,,churnaght,churnaght,barn
φραγμός,246,unigram,masculine,accusative,plural,cleigh,1.6715836173699128,,,,,,,cleigh,cleigh,"barrier, wall"
ἀρχή,72,unigram,feminine,accusative,plural,reggyrt,1.1722257129986984,,,,,,,reggyrt,reggyrt,beginning
ἀρχή,189,unigram,feminine,accusative,singular,Yn,1.3945867904870364,,,,,,,Yn,Yn,beginning
ζώνη,180,unigram,feminine,accusative,plural,prash,1.2013309189107515,,,,,,,prash,prash,belt
βλασφημία,30,unigram,feminine,accusative,plural,phleadeil,1.4581151436932638,,,,,,,phleadeil,phleadeil,blasphemy
βλασφημία,97,unigram,feminine,accusative,singular,,,,,,,,,ghoan‐mollaghtagh,ghoan-mollaghtagh,blasphemy
βλασφημία,216,unigram,feminine,nominative,plural,mollaghtagh,2.293287797944893,,,,,,,mollaghtagh,mollaghtagh,blasphemy
βλασφημία,84,unigram,feminine,nominative,singular,mollaghtagh,1.4749280087322854,,,,,,,,mollaghtagh,blasphemy
πλοῖον,108,unigram,neuter,accusative,plural,lhong,3.075775779625862,,,,,,,lhong,lhong,boat
πλοῖον,317,unigram,neuter,accusative,singular,lhong,1.895663957173427,,,,,,,lhong,lhong,boat
πλοῖον,252,unigram,neuter,nominative,plural,lhongyn,1.201741803934157,,,,,,,lhongyn,lhongyn,boat
πλοῖον,237,unigram,neuter,nominative,singular,lhong,2.277527599637775,,,,,,,lhong,lhong,boat
σῶμα,225,unigram,neuter,nominative,plural,kirp,3.999794625196719,,,,,,,kirp,kirp,body
σῶμα,60,unigram,neuter,nominative,singular,corp,1.466492500025138,,,,,,,corp,corp,body
κλῆμα,56,unigram,neuter,nominative,plural,,,,,,,,,billey‐feeyney,billey-feeyney,branch
κλῆμα,154,unigram,neuter,nominative,singular,banglane,1.6891982819462232,,,,,,,banglane,banglane,branch
ἄρτος,321,unigram,masculine,accusative,plural,bwilleenyn,1.510621054162442,,,,,,,bwilleenyn,bwilleenyn,bread
ἄρτος,346,unigram,masculine,accusative,singular,arran,44.0299200417284,,,,,,,arran,arran,bread
ἄρτος,163,unigram,masculine,nominative,plural,arran,4.010253157358046,,,,,,,arran,arran,bread
ἄρτος,37,unigram,masculine,nominative,singular,arran,6.17804556366362,,,,,,,arran,arran,bread
