lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1533_translation,version_1534_translation,version_1535_translation,version_1536_translation,english_translation
θεός,348,unigram,masculine,accusative,plural,deuses,1.7722742918415737,,,deuses,deuses,God
θεός,138,unigram,masculine,accusative,singular,Deus,4811.312355994206,Deus,Deus,Deus,Deus,God
θεός,29,unigram,masculine,nominative,plural,deuses,1.3007973042765826,,deuses,,,God
θεός,216,unigram,masculine,nominative,singular,Deus,18967.103069612618,Deus,Deus,Deus,Deus,God
κύριος,350,unigram,masculine,nominative,plural,donos,1.48555058078751,,donos,donos,donos,"Lord, lord, master"
κύριος,139,unigram,masculine,nominative,singular,Senhor,54.48361252046938,Senhor,Senhor,Senhor,Senhor,"Lord, lord, master"
γραφή,134,unigram,feminine,accusative,plural,Escrituras,7.474329709164759,Escrituras,Escrituras,Escrituras,Escrituras,Scripture
γραφή,51,unigram,feminine,accusative,singular,Escritura,3.705385250548144,Escritura,Escrituras,Escritura,Escritura,Scripture
γραφή,276,unigram,feminine,nominative,plural,,,Escrituras,acontecer,,,Scripture
γραφή,343,unigram,feminine,nominative,singular,Escritura,4.910201841508881,Escritura,Escrituras,Escritura,Escritura,Scripture
ἄγγελος,101,unigram,masculine,accusative,plural,anjos,38.00395871656879,anjos,anjos,anjos,anjos,angel
ἄγγελος,85,unigram,masculine,accusative,singular,,,anjo,Envio,,,angel
ἄγγελος,47,unigram,masculine,nominative,plural,anjos,396.09784431234544,anjos,anjos,anjos,anjos,angel
ἄγγελος,112,unigram,masculine,nominative,singular,anjo,874.3375091990231,anjo,anjo,anjo,anjo,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,apóstolos,13.581727958120569,apóstolos,apóstolos,apóstolos,apóstolos,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,envia,1.1688013587413533,enviado,mensageiro,envia,envia,apostle
ἐξουσία,71,unigram,feminine,accusative,plural,,,potestades,autoridades,,,authority
ἐξουσία,206,unigram,feminine,accusative,singular,autoridade,6.58860227644166,poder,autoridade,autoridade,autoridade,authority
βρέφος,16,unigram,neuter,accusative,plural,criancinhas,1.2013630877021924,repreendiam-nos,Traziam-lhe,criancinhas,criancinhas,babies
