lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1748_translation,version_1749_translation,version_1750_translation,version_1751_translation,version_1752_translation,version_1753_translation,version_1754_translation,version_1755_translation,english_translation
θεός,146,unigram,masculine,accusative,singular,Boga,28320.043099663315,Boga,Boga,Boga,Boga,Bogá,Boga,Boga,,God
θεός,29,unigram,masculine,nominative,plural,bogovi,1.6639607565734393,bogovi,,bogovi,,Bogovje,bogovi,bogovi,,God
θεός,223,unigram,masculine,nominative,singular,Bog,21558.196334265933,Bog,Bug,Bog,Bog,Bôg,Bog,Bog,,God
κύριος,147,unigram,masculine,nominative,singular,Gospod,4.534805310105941,Gospod,GOSPVD,Gospod,Gospod,Gospôd,Gospod,Gospod,,"Lord, lord, master"
γραφή,141,unigram,feminine,accusative,plural,pisma,9.403870513520959,pisma,piſma,pisma,pisma,písma,Pisma,Motite,,Scripture
γραφή,51,unigram,feminine,accusative,singular,,,pisma,piſma,,,,Pisma,,,Scripture
γραφή,278,unigram,feminine,nominative,plural,pisma,2.548076435568545,pisma,piſma,pisma,spolnijo,písma,Pisma,Vendar,,Scripture
γραφή,343,unigram,feminine,nominative,singular,pismo,16.677507639674474,pismo,piſmu,pismo,Sveto,písmo,Pismo,,,Scripture
ἄγγελος,108,unigram,masculine,accusative,plural,angele,26.97402992461211,angele,Angele,angele,angele,angele,angele,angele,,angel
ἄγγελος,90,unigram,masculine,accusative,singular,glasnika,1.2711256635706638,,Angela,obličjem,glasnika,angela,glasnika,pošiljam,,angel
ἄγγελος,47,unigram,masculine,nominative,plural,angeli,1019.6830072347375,angeli,Angeli,angeli,angeli,angelje,angeli,angeli,,angel
ἄγγελος,119,unigram,masculine,nominative,singular,angel,23.377425883757716,angel,Angel,angel,angel,angel,angel,angel,,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,Apostoli,5.758437550400661,apostoli,Apoſtoli,Apostoli,Apostoli,Apoštolje,Apostoli,storili,,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,poslanec,2.4092189360769,poslanec,Apoſtel,poslanec,poslanec,poslani,poslanec,odposlanec,,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,,,,,,sodnike,,,zaslišanje,,authority
ἐξουσία,213,unigram,feminine,accusative,singular,oblast,370.637108000283,oblast,oblaſt,oblast,oblast,oblást,oblast,moč,,authority
βρέφος,16,unigram,neuter,accusative,plural,,,,mlade,dotikal,,,,privedlo,,babies
βρέφος,341,unigram,neuter,accusative,singular,položeno,1.8956285876238004,jaslih,Déte,jasli,položeno,položeno,položeno,jaslih,,babies
ἀποθήκη,285,unigram,feminine,accusative,plural,žitnice,3.999796172100635,žitnice,,žitnice,,škegnje,,,,barn
ἀποθήκη,72,unigram,feminine,accusative,singular,,,,Pſhenizo,pšenico,,škegen,,,,barn
ἀρχή,76,unigram,feminine,accusative,plural,,,,,gosposko,sodnike,zagovárjali,,zaslišanje,,beginning
ἀρχή,196,unigram,feminine,accusative,singular,,,začetek,Nèrpoprej,,veličastvo,,,zgodil,,beginning
ζώνη,187,unigram,feminine,accusative,plural,,,zlata,,,,,,jemljite,,belt
βλασφημία,33,unigram,feminine,accusative,plural,,,,,,bogokletno,premišlávati,,odpušča,,blasphemy
