lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_526_translation,version_541_translation,version_527_translation,version_546_translation,version_524_translation,version_544_translation,version_534_translation,version_525_translation,version_547_translation,version_545_translation,version_539_translation,version_533_translation,version_530_translation,version_543_translation,version_536_translation,version_542_translation,version_528_translation,version_529_translation,version_537_translation,version_532_translation,version_535_translation,version_540_translation,version_538_translation,version_531_translation,english_translation
θεός,379,unigram,masculine,accusative,plural,dioses,2.529808097225798,dioses,,dioses,,,,,,dioses,dioses,,,dioses,,,,dioses,dioses,,,dioses,dioses,dioses,,God
θεός,152,unigram,masculine,accusative,singular,Dios,3.169579034706965e+22,Dios,Dios,Dios,Dios,Dios,Dios,Dios,,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,God
θεός,32,unigram,masculine,nominative,plural,dioses,168.02379855605577,Dioses,,dioses,,dioses,dioses,dioses,,dioses,Dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,dioses,God
θεός,241,unigram,masculine,nominative,singular,Dios,1.1185029515828398e+24,Dios,Dios,Dios,Dios,Dios,Dios,Dios,,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,God
κύριος,153,unigram,masculine,nominative,singular,Señor,8348871.010216282,Señor,Señor,Señor,Señor,Señor,Señor,Señor,,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,Señor,"Lord, lord, master"
γραφή,147,unigram,feminine,accusative,plural,Escrituras,84531620.82666534,Escrituras,Escrituras,Escrituras,Biblia,Escrituras,Escrituras,Escrituras,,Biblia,Escrituras,Escrituras,Escrituras,Escripturas,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Escrituras,Scripture
γραφή,58,unigram,feminine,accusative,singular,Escritura,2356.0680390240377,Escritura,Escrituras,,Biblia,Escritura,dice,,,Biblia,Escritura,Escritura,Escritura,,Escritura,Escrituras,Escritura,escritura,Escritura,entendido,Escritura,Escritura,Escritura,Escritura,Escritura,Scripture
γραφή,303,unigram,feminine,nominative,plural,Escrituras,209.30932915834634,Escrituras,Escrituras,Escrituras,cumpla,sucede,Escrituras,Escrituras,,cumpla,Escrituras,cumplan,esto,Escripturas,Escrituras,cumpla,Escrituras,Escrituras,Escrituras,Escrituras,sucede,Escrituras,Escrituras,Escrituras,sucede,Scripture
γραφή,374,unigram,feminine,nominative,singular,Escritura,1287145021.019896,Escritura,Escrituras,Escritura,Biblia,Escritura,Escritura,Escritura,,Biblia,Escritura,Escritura,Escritura,Escriptura,Escritura,Escritura,Escritura,Escritura,Escritura,Escritura,Escritura,Escritura,Escritura,Escritura,Escritura,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,ángeles,9507463.899952924,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,,ángeles,ángeles,ángeles,ángeles,Angeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,angel
ἄγγελος,95,unigram,masculine,accusative,singular,mensajero,2.7407473953212143,mensajero,preparará,,,prepare,mensajero,,,,mensajero,mensajero,mensajero,Angel,,Oye,,,ángel,,prepare,,,,prepare,angel
ἄγγελος,54,unigram,masculine,nominative,plural,ángeles,810003648005796.4,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,,ángeles,ángeles,ángeles,ángeles,Angeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,angel
ἄγγελος,123,unigram,masculine,nominative,singular,ángel,32626324905645.31,ángel,ángel,ángel,ángel,ángel,ángel,ángel,,ángel,ángel,ángel,ángel,Angel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,apóstoles,1124625978.256654,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,,apóstoles,apóstoles,apóstoles,apóstoles,apoſtoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apóstoles,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,enviado,1.3045918721082477,apóstol,envía,enviado,envía,servidor,enviado,superior,,envía,apóstol,mensajero,envía,apostol,apóstol,superior,mensajero,enviado,apóstol,superior,servidor,enviado,enviado,mensajero,servidor,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,,,,autoridades,,,,,magistrados,,,,defenderse,,Potestades,,defender,defenderse,,,magistrados,,autoridades,autoridades,defenderse,,authority
ἐξουσία,229,unigram,feminine,accusative,singular,autoridad,92651790764.53952,potestad,autoridad,autoridad,autoridad,autoridad,autoridad,autoridad,,autoridad,potestad,autoridad,autoridad,potestad,autoridad,autoridad,autoridad,autoridad,potestad,autoridad,autoridad,autoridad,autoridad,autoridad,autoridad,authority
βρέφος,18,unigram,neuter,accusative,plural,,,,hijitos,Traían,,niñitos,tocara,bendijese,,,,,detenerlos,reñianles,reprendían,bendijera,tocara,Traían,,bendijese,niñitos,,,tocara,niñitos,babies
βρέφος,372,unigram,neuter,accusative,singular,pesebre,17.105417287963498,pesebre,acostado,,pesebre,establo,pesebre,acostado,,pesebre,pesebre,pesebre,pesebre,pesebre,acostado,,pesebre,,acostado,acostado,establo,,pesebre,pesebre,establo,babies
ἀποθήκη,311,unigram,feminine,accusative,plural,graneros,29061.84612086109,alfolíes,graneros,graneros,graneros,graneros,graneros,,,graneros,alfolíes,,graneros,alholies,graneros,graneros,graneros,graneros,alfolíes,,graneros,graneros,graneros,graneros,graneros,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,granero,8.284439402612112,alfolí,granero,granero,,granero,granero,granero,,,alfolí,granero,trigo,alholi,granero,granero,granero,granero,alfolí,granero,granero,granero,granero,granero,granero,barn
φραγμός,128,unigram,masculine,accusative,singular,lagar,1.3352739578865278,lagar,,,,,,,,,lagar,plantó,,torre,lagar,vigilancia,,lagar,lagar,,,,,,,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,,,,autoridades,,,,,magistrados,,,,defenderse,,Potestades,,defender,defenderse,,,magistrados,,autoridades,autoridades,defenderse,,beginning
ἀρχή,209,unigram,feminine,accusative,singular,principio,1077.6074625599515,principio,,principio,responderles,mostró,principio,Manifestó,,responderles,principio,explicaciones,,principio,principio,,explicarles,principio,principio,Manifestó,mostró,principio,principio,explicarles,mostró,beginning
ζώνη,200,unigram,feminine,accusative,plural,cobre,1.8187860421660025,,cinturón,,lleven,oro,cobre,cobre,,lleven,,lleven,,posseays,,cobre,cobre,,,cobre,oro,,,cobre,oro,belt
ζώνη,260,unigram,feminine,accusative,singular,,,,,,,,usaba,,,silvestre,,,cintura,,,,alimentaba,,,,,,,,,belt
βλασφημία,36,unigram,feminine,accusative,plural,blasfemias,2.6226893507574087,blasfemias,,,,ofensivas,,blasfema,,,blasfemias,blasfemias,blasfemias,,,ofensa,blasfemias,blasfemias,,blasfema,ofensivas,,,ofende,ofensivas,blasphemy
βλασφημία,109,unigram,feminine,accusative,singular,¡Blasfemia,1.0960768946513286,,¡Blasfemia,,,,,,,,,,,,,,,,,,,,,,,blasphemy
βλασφημία,239,unigram,feminine,nominative,plural,blasfemias,127.9771631702275,blasfemias,calumnia,blasfemias,diga,insultos,,blasfemias,,malo,blasfemias,,,,blasfemias,,,blasfemias,,blasfemias,insultos,,,,insultos,blasphemy
βλασφημία,96,unigram,feminine,nominative,singular,,,,,,,,,,,mal,,,,,blasfemia,,,,,,,,,,,blasphemy
πλοῖον,121,unigram,neuter,accusative,plural,barcas,10458148.30584302,barcos,barcas,barcas,barcas,barcas,barcas,barcas,,barcas,barcos,barcas,botes,nauios,barcas,barcas,barcas,barcas,barcos,barcas,barcas,barcas,barcas,barcas,barcas,boat
πλοῖον,356,unigram,neuter,accusative,singular,barca,2091110230212.6606,barco,barca,barca,barca,barca,barca,barca,,barca,barco,barca,barca,nauio,barca,barca,barca,barca,barco,barca,barca,barca,barca,barca,barca,boat
πλοῖον,277,unigram,neuter,nominative,plural,,,,barcas,despidiendo,atravesaron,,Despidió,Otras,,,,dejando,,,despedir,barcas,Dejaron,despedida,,Otras,,Despidiendo,Despidiendo,Dejaron,,boat
πλοῖον,262,unigram,neuter,nominative,singular,barca,92547.61617182865,barco,barca,barca,barca,barca,barca,barca,,barca,barco,,barca,nauio,barca,barca,barca,barca,barco,barca,barca,barca,barca,barca,barca,boat
σῶμα,249,unigram,neuter,nominative,plural,cuerpos,2047.4217313611932,cuerpos,cuerpos,cuerpos,,,cuerpos,,,,cuerpos,,,cuerpos,cuerpos,,,cuerpos,cuerpos,,,cuerpos,cuerpos,,,body
σῶμα,68,unigram,neuter,nominative,singular,cuerpo,144709799442566.1,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,body
κλῆμα,64,unigram,neuter,nominative,plural,pámpanos,1.7827480678117875,pámpanos,,,,permanece,,,,,pámpanos,,,,separados,,separados,,pámpanos,,unido,,,Separados,permanece,branch
κλῆμα,171,unigram,neuter,nominative,singular,,,pámpano,rama,pámpano,unido,unido,pámpano,sarmiento,,unido,pámpano,unido,rama,estuuiere,rama,rama,,pámpano,pámpano,sarmiento,unido,sarmiento,sarmiento,,unido,branch
ἄρτος,361,unigram,masculine,accusative,plural,panes,99285429.66867636,panes,panes,panes,panes,panes,panes,panes,,panes,panes,panes,pan,panes,panes,panes,panes,panes,panes,panes,panes,panes,panes,panes,panes,bread
ἄρτος,390,unigram,masculine,accusative,singular,pan,9.046826655674293e+16,pan,pan,pan,pan,pan,pan,pan,,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,bread
ἄρτος,181,unigram,masculine,nominative,plural,pan,59.40275231236905,pan,suficiente,pan,pan,panes,pan,pan,,pan,pan,pan,pan,panes,,,pan,panes,pan,pan,panes,pan,pan,pan,panes,bread
ἄρτος,45,unigram,masculine,nominative,singular,pan,14220147928.2029,pan,pan,pan,pan,pan,pan,pan,,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,pan,bread
ἀδελφός,346,unigram,masculine,accusative,plural,hermanos,395269210245512.7,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,brother
ἀδελφός,138,unigram,masculine,accusative,singular,hermano,12332161.116072986,hermano,hermano,hermano,hermanos,hermano,hermano,hermano,,hermanos,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,brother
ἀδελφός,127,unigram,masculine,nominative,plural,hermanos,483013978.0527209,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,hermanos,brother
ἀδελφός,269,unigram,masculine,nominative,singular,hermano,1.9669146123432264e+18,hermano,hermano,hermano,hermano,hermano,hermano,hermano,,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,hermano,brother
στῆθος,177,unigram,neuter,accusative,plural,golpeándose,1.353893071573211,,observar,,sentía,golpeándose,,,,sentía,,,,,,abrumados,espectáculo,,,,golpeándose,,,,golpeándose,"chest, breast"
στῆθος,329,unigram,neuter,accusative,singular,pecho,267.4323752249685,pecho,¿quién,pecho,traicionar,¿quién,pecho,pecho,,traicionar,pecho,¿quién,¿quién,pecho,pecho,¿quién,¿quién,pecho,pecho,pecho,¿quién,pecho,pecho,¿quién,¿quién,"chest, breast"
ἀρχιερεύς,283,unigram,masculine,accusative,plural,jefes,4.6478970590754916,sacerdotes,principales,principales,sacerdotes,jefes,principales,jefes,,sacerdotes,sacerdotes,,jefes,Sacerdotes,principales,jefes,,principales,sacerdotes,jefes,jefes,principales,principales,jefes,jefes,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,sumo,13.570614426496622,pontífice,sumo,sumo,Anás,sumo,sumo,sumo,,jefe,pontífice,sumo,sacerdote,Pontifice,sumo,sumo,sumo,sumo,sumo,sumo,sumo,sumo,sumo,sumo,sumo,chief priest
ἀρχιερεύς,137,unigram,masculine,nominative,plural,,,sacerdotes,principales,principales,principales,,principales,sacerdotes,,principales,sacerdotes,sacerdotes,sacerdotes,Sacerdotes,sacerdotes,jefes,,principales,sacerdotes,sacerdotes,jefes,principales,principales,jefes,,chief priest
ἀρχιερεύς,288,unigram,masculine,nominative,singular,sumo,3.2598952579988123,pontífice,sumo,sumo,jefe,sumo,sumo,sumo,,jefe,pontífice,sumo,sacerdote,Pontifice,sumo,sumo,sumo,sacerdote,sumo,sumo,sumo,sumo,sumo,sumo,sumo,chief priest
παῖς,273,unigram,masculine,accusative,plural,niños,43.80134255173043,,niños,,niños,niños,,niños,,niños,,niños,niños,,,niños,niños,,,niños,niños,,,niños,niños,child
παῖς,56,unigram,masculine,accusative,singular,derribó,1.4292715051913134,despedazó,convulsión,derribó,atacó,,derribó,,,atacó,despedazó,temblara,,,,convulsionar,convulsión,derribó,despedazó,,tiró,derribó,derribó,convulsión,,child
τέκνον,382,unigram,neuter,accusative,plural,hijos,5491413065155494.0,hijos,hijos,hijos,hijos,hijos,hijos,hijos,,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,hijos,child
τέκνον,206,unigram,neuter,accusative,singular,hijos,2.7620772823732187,entregará,hermano,entregará,hijos,hijos,hijos,hijos,,,entregará,entregará,hijos,entregará,hijos,hijos,hijos,entregará,entregará,hijos,hijos,causarán,causarán,hijos,hijos,child
τέκνον,19,unigram,neuter,nominative,plural,entregará,1.6496882235801102,entregará,hijos,entregará,,hijos,entregará,hijos,,,entregará,entregará,entregará,entregará,hijos,hijos,rebelarán,entregará,entregará,hijos,hijos,causarán,causarán,rebelarán,hijos,child
