lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2160_translation,version_2161_translation,version_2162_translation,version_2163_translation,version_2164_translation,version_2165_translation,version_2166_translation,version_2167_translation,version_2168_translation,version_2169_translation,version_2170_translation,english_translation
θεός,140,unigram,masculine,accusative,singular,Бога,181386.05444441998,Всевышнего,Бога,Бога,Всевышнего,Аллаха,Бога,Бога,Бога,,Бога,Бога,God
θεός,29,unigram,masculine,nominative,plural,боги,3.8864073389335934,боги,бози,,боги,боги,боги,боги,боги,,,боги,God
θεός,217,unigram,masculine,nominative,singular,Бог,366835.3614234157,Всевышний,Бог,Бог,Всевышний,Аллах,Бог,Бог,Бог,,Бог,Бог,God
κύριος,141,unigram,masculine,nominative,singular,Господь,47.4542347507069,хозяин,Господь,Господь,хозяин,хозяин,Господь,Господь,Господь,,Господь,Господь,"Lord, lord, master"
γραφή,135,unigram,feminine,accusative,plural,Писаний,11.624279722979301,Писания,писания,Писания,Писания,Писания,Писаний,Писаний,Писаний,,Писаний,Писаний,Scripture
γραφή,52,unigram,feminine,accusative,singular,Писанию,1.6574947406269713,Писанию,писания,Писанию,Писанию,Писанию,Писанию,понимали,,,,Писания,Scripture
γραφή,271,unigram,feminine,nominative,plural,Писание,1.7169067121266415,Писание,писания,исполниться,Писание,Писание,Но,,сбудутся,,Но,исполнятся,Scripture
γραφή,335,unigram,feminine,nominative,singular,Писание,19.60501879998695,Писание,писание,Писании,Писание,Писание,Писание,Писаний,Писание,,Писание,Писание,Scripture
ἄγγελος,101,unigram,masculine,accusative,plural,ангелов,28.642134913268666,ангелов,ангелы,ангелов,ангелов,ангелов,ангелов,Ангелов,Ангелов,,ангелов,ангелов,angel
ἄγγελος,87,unigram,masculine,accusative,singular,,,,ангела,приготовит,,,,,,,вестника,,angel
ἄγγελος,48,unigram,masculine,nominative,plural,ангелы,48248.31494980023,ангелы,ангели,ангелы,ангелы,ангелы,ангелы,Ангелы,Ангелы,,ангелы,ангелы,angel
ἄγγελος,112,unigram,masculine,nominative,singular,ангел,1410.3662962846647,ангел,ангел,ангел,ангел,ангел,ангел,Ангел,Ангел,,ангел,ангел,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,,,Посланники,апостоли,Апостолы,Посланники,Посланники,Апостолы,апостолы,Апостолы,,апостолы,апостолы,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,посланный,1.7168715463178728,посланный,посланник,посланец,посланный,посланный,посланный,поручение,посланник,,посланец,посланец,apostle
ἐξουσία,72,unigram,feminine,accusative,plural,начальству,1.0962199599997684,,,,,,,,,,начальству,,authority
ἐξουσία,207,unigram,feminine,accusative,singular,власть,64009.899758093765,власть,власть,власть,власть,власть,власть,власть,власть,,власть,власть,authority
βρέφος,15,unigram,neuter,accusative,plural,младенцев,1.4422980818099898,младенцев,,,младенцев,младенцев,младенцев,осуждали,,,,,babies
βρέφος,333,unigram,neuter,accusative,singular,,,кормушке,Младенца,яслях,кормушке,кормушке,кормушке,яслях,яслях,,яслях,,babies
ἀποθήκη,277,unigram,feminine,accusative,plural,хранилища,10.681211011136567,хранилища,житницы,,хранилища,хранилища,хранилища,,житницы,,зерно,житницы,barn
ἀποθήκη,71,unigram,feminine,accusative,singular,,,,житницу,закрома,,,,зерно,,,,,barn
ἀρχή,75,unigram,feminine,accusative,plural,начальству,1.0961063339256685,,,,,,,,,,начальству,,beginning
ἀρχή,190,unigram,feminine,accusative,singular,знамениям,1.3539434040170308,знамениям,начаток,Так,знамениям,знамениям,,,чудесам,,,,beginning
ζώνη,235,unigram,feminine,accusative,singular,пищею,1.0960524252565438,,,,,,,,пищею,,,,belt
βλασφημία,33,unigram,feminine,accusative,plural,кощунствует,1.3037760823668645,кощунствует,помышляти,,кощунствует,кощунствует,подумали,наносит,рассуждать,,кощунствует,,blasphemy
βλασφημία,99,unigram,feminine,accusative,singular,разорвал,1.4433248585759921,разорвал,растерза,,разорвал,разорвал,разорвал,,,,,,blasphemy
βλασφημία,215,unigram,feminine,nominative,plural,,,,,,,,,,хуления,,,хулы,blasphemy
βλασφημία,88,unigram,feminine,nominative,singular,хула,3.9997960867405626,,хула,,,,,,,,,хула,blasphemy
πλοῖον,110,unigram,neuter,accusative,plural,лодки,513.2664583188593,лодки,корабля,лодки,лодки,лодки,лодки,лодки,лодки,,лодки,лодки,boat
πλοῖον,319,unigram,neuter,accusative,singular,лодку,1137798.3785794964,лодку,корабль,лодку,лодку,лодку,лодку,лодку,лодку,,лодку,лодку,boat
πλοῖον,249,unigram,neuter,nominative,plural,лодке,1.1228689027410788,,отпущше,,,,,лодке,лодке,,Были,,boat
πλοῖον,237,unigram,neuter,nominative,singular,лодка,202.9891376320258,лодка,корабль,лодка,лодка,лодка,лодка,лодка,лодка,,лодка,лодка,boat
σῶμα,224,unigram,neuter,nominative,plural,,,,телеса,,,,,,,,,тела,body
σῶμα,62,unigram,neuter,nominative,singular,тело,10699.4526475319,тело,тело,тело,тело,тело,тело,тело,тело,,тело,тело,body
κλῆμα,58,unigram,neuter,nominative,plural,,,,рождие,,,,,останусь,лоза,,обильно,Пребывающий,branch
κλῆμα,157,unigram,neuter,nominative,singular,ветвь,4.002917677670741,,розга,,,,,,ветвь,,ветвь,ветвь,branch
ἄρτος,323,unigram,masculine,accusative,plural,хлебов,10.490376753244139,лепёшек,хлебы,хлебов,лепёшек,лепёшек,хлебов,хлебов,хлебов,,хлебов,хлебов,bread
ἄρτος,348,unigram,masculine,accusative,singular,хлеб,19171.49457465488,хлеб,хлеб,хлеб,хлеб,хлеб,хлеб,хлеб,хлеб,,хлеб,хлеб,bread
ἄρτος,165,unigram,masculine,nominative,plural,хлеба,5.366357341556211,хлеба,хлебы,хлеба,хлеба,хлеба,хлеба,достаточно,хлебов,,хлеба,хлебов,bread
ἄρτος,39,unigram,masculine,nominative,singular,хлеб,772.7915913337746,хлеб,хлеб,хлеб,хлеб,хлеб,хлеб,хлеб,хлеб,,хлеб,хлеб,bread
ἀδελφός,309,unigram,masculine,accusative,plural,братьев,43870.12433858511,братьев,братию,братьев,братьев,братьев,братьев,братьев,братьев,,братьев,братьев,brother
ἀδελφός,126,unigram,masculine,accusative,singular,брата,5192.848173210489,брата,брата,брата,брата,брата,брата,брата,брата,,брата,брата,brother
ἀδελφός,116,unigram,masculine,nominative,plural,братья,575.012724215593,братья,братия,братья,братья,братья,братья,братья,братья,,братья,братья,brother
ἀδελφός,242,unigram,masculine,nominative,singular,брат,4674225.642940167,брат,брат,брат,брат,брат,брат,брат,брат,,брат,брат,brother
στῆθος,293,unigram,neuter,accusative,singular,назад,2.763695162645743,назад,перси,грудь,назад,назад,назад,груди,груди,,ученик,груди,"chest, breast"
ἀρχιερεύς,254,unigram,masculine,accusative,plural,,,главным,архиереом,первосвященникам,главным,главным,первосвященникам,главным,первосвященникам,,старшим,первосвященникам,chief priest
ἀρχιερεύς,63,unigram,masculine,accusative,singular,первосвященнику,5.514885529595803,верховному,,первосвященнику,верховному,верховному,,,первосвященнику,,первосвященнику,первосвященнику,chief priest
ἀρχιερεύς,125,unigram,masculine,nominative,plural,первосвященники,110.35898189495364,священнослужители,архиерее,первосвященники,священнослужители,священнослужители,первосвященники,священники,первосвященники,,священники,первосвященники,chief priest
ἀρχιερεύς,258,unigram,masculine,nominative,singular,первосвященник,22.913601409110967,священнослужитель,архиерей,первосвященник,священнослужитель,священнослужитель,первосвященник,первосвященник,первосвященник,,,первосвященник,chief priest
παῖς,246,unigram,masculine,accusative,plural,увидев,1.2282150482172007,,,увидев,,,,,,,,увидев,child
παῖς,50,unigram,masculine,accusative,singular,припадке,1.8195515173684456,припадке,,,припадке,припадке,припадке,мальчик,поверг,,,,child
τέκνον,342,unigram,neuter,accusative,plural,детей,22422.719861951453,детей,чада,детей,детей,детей,детей,детей,детей,,детей,детей,child
τέκνον,187,unigram,neuter,accusative,singular,брат,1.3822336015902084,,брат,брата,,,,детей,брат,,брат,брат,child
