lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_456_translation,version_457_translation,version_458_translation,version_459_translation,version_460_translation,version_461_translation,version_462_translation,version_463_translation,version_464_translation,version_465_translation,version_466_translation,english_translation
θεός,371,unigram,masculine,accusative,plural,Götter,1.414140538882737,,,,,Götter,Götter,,,,,,God
θεός,153,unigram,masculine,accusative,singular,Gott,4104495426.015161,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,God
θεός,33,unigram,masculine,nominative,plural,Götter,4.1972341240852105,Götter,Götter,Götter,Götter,,Götter,,Götter,Götter,Götter,Götter,God
θεός,232,unigram,masculine,nominative,singular,Gott,2444207296409.785,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,Gott,God
κύριος,373,unigram,masculine,nominative,plural,losbanden,1.2586284575906634,,,,,losbanden,,,,,,,"Lord, lord, master"
κύριος,154,unigram,masculine,nominative,singular,Herr,1738925373.6949916,Herr,Herr,Herr,Herr,Herr,HERR,Herr,Herr,Herr,Herr,Herr,"Lord, lord, master"
γραφή,148,unigram,feminine,accusative,plural,Schriften,249.01441911398973,Schriften,Schriften,Schriften,Schriften,Schrift,Schrift,Schrift,Schrift,Schrift,Schriften,Schriften,Scripture
γραφή,58,unigram,feminine,accusative,singular,Schrift,83.49489650701183,Schrift,Schrift,Schrift,Schrift,,Schrift,Schriftwort,Schrift,Schrift,,Schrift,Scripture
γραφή,295,unigram,feminine,nominative,plural,Schriften,16.026600552641558,Schriften,Schriften,Schriften,Schriften,,Schrift,Schrift,erfüllen,erfüllt,Schriften,Schriften,Scripture
γραφή,366,unigram,feminine,nominative,singular,Schrift,28698.504291817702,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,Engel,549.7740102395862,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,angel
ἄγγελος,95,unigram,masculine,accusative,singular,Boten,2.305158237706878,bereiten,Boten,Boten,Boten,ankündigt,Engel,,Wegbereiter,Boten,Boten,soll,angel
ἄγγελος,54,unigram,masculine,nominative,plural,Engel,36017623.12252795,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,angel
ἄγγελος,123,unigram,masculine,nominative,singular,Engel,9408156.326034812,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,Engel,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,Apostel,184208.49654933988,Apostel,Apostel,Apostel,Apostel,Apostel,Apostel,Apostel,Apostel,Apostel,Apostel,Apostel,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,,Gesandter,Gesandter,Gesandtergrößer,,Apostel,,,Gesandte,Gesandte,Abgesandte,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,,,,,,,Richtern,Obrigkeit,Behörden,,,,,authority
ἐξουσία,224,unigram,feminine,accusative,singular,Vollmacht,1921.3027228020794,Vollmacht,Gewalt,Gewalt,Gewalt,Vollmacht,Macht,Vollmacht,Vollmacht,Vollmacht,Vollmacht,Vollmacht,authority
βρέφος,18,unigram,neuter,accusative,plural,verwiesen,1.1382491695628385,unmündigen,verwiesen,verwiesen,verwiesen,auflegte,bedrohten,,kleine,schalten,,schalten,babies
βρέφος,364,unigram,neuter,accusative,singular,liegend,1.5638337000765135,,liegend,liegend,liegend,Futterkrippe,Krippe,Kind,Kind,,liegend,liegend,babies
