lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_586_translation,version_587_translation,version_588_translation,version_589_translation,version_590_translation,version_591_translation,version_592_translation,version_593_translation,version_594_translation,version_595_translation,version_596_translation,version_597_translation,version_598_translation,version_599_translation,english_translation
θεός,156,unigram,masculine,accusative,singular,Dieu,4599526456114.236,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,,God
θεός,32,unigram,masculine,nominative,plural,dieux,23.09283928147414,,dieux,dieux,dieux,dieux,dieux,dieux,dieux,dieux,dieux,dieux,dieux,dieux,,God
θεός,242,unigram,masculine,nominative,singular,Dieu,75690520842197.64,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,Dieu,,God
κύριος,157,unigram,masculine,nominative,singular,Seigneur,117.08533837150026,maître,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,Seigneur,,"Lord, lord, master"
γραφή,151,unigram,feminine,accusative,plural,Ecritures,1078.602669789272,écritures,Ecritures,Ecritures,Écritures,Ecritures,Écritures,Ecritures,Ecritures,Ecritures,Écritures,Écritures,Ecritures,,,Scripture
γραφή,58,unigram,feminine,accusative,singular,l'Ecriture,15.764667109219875,,l'Ecriture,l'Ecriture,l'Écriture,Ecriture,Écriture,,Ecriture,l'Ecriture,l'Écriture,,l'Ecriture,,,Scripture
γραφή,307,unigram,feminine,nominative,plural,Ecritures,6.336927255922801,écritures,Ecritures,s'accomplissent,réalisent,Ecritures,Écritures,Ecritures,Ecritures,Ecritures,s'accomplissent,Écritures,Ecritures,,,Scripture
γραφή,375,unigram,feminine,nominative,singular,l'Écriture,33.18781876984117,l'écriture,l'Ecriture,l'Écriture,l'Écriture,Ecriture,Écriture,accomplie,Ecriture,l'Ecriture,l'Écriture,l'Écriture,l'Ecriture,,,Scripture
ἄγγελος,116,unigram,masculine,accusative,plural,anges,757.6165129491573,anges,anges,anges,anges,anges,anges,Anges,anges,anges,anges,anges,anges,anges,,angel
ἄγγελος,96,unigram,masculine,accusative,singular,messager,2.1103775635410624,,,messager,t'ouvrir,préparera,messager,,,,j'envoie,,,messager,,angel
ἄγγελος,54,unigram,masculine,nominative,plural,anges,377271363.62298,anges,anges,anges,anges,anges,anges,Anges,anges,anges,anges,anges,anges,anges,,angel
ἄγγελος,127,unigram,masculine,nominative,singular,ange,1226.4160006166294,l'ange,ange,ange,ange,ange,ange,l'Ange,ange,ange,ange,ange,l'ange,ange,,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,apôtres,28099.71388678013,apôtres,apôtres,apôtres,apôtres,apôtres,apôtres,Apôtres,apôtres,apôtres,apôtres,apôtres,apôtres,apôtres,,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,l'apôtre,2.7101278074257595,l'envoyé,l'apôtre,l'apôtre,l'envoie,supérieur,apôtre,l'ambassadeur,apôtre,l'apôtre,l'envoie,l'apôtre,l'envoyé,important,,apostle
ἐξουσία,79,unigram,feminine,accusative,plural,défendrez,1.122841218627863,,,,défendrez,présenterez,,,,,défendrez,,mettez,,,authority
ἐξουσία,230,unigram,feminine,accusative,singular,pouvoir,646.3114048192754,autorité,pouvoir,pouvoir,pouvoir,autorité,pouvoir,puissance,autorité,pouvoir,autorité,pouvoir,pouvoir,pouvoir,,authority
βρέφος,18,unigram,neuter,accusative,plural,,,reprirent,amenaient,réprimandèrent,bébés,pose,reprenaient,censurèrent,,reprenaient,nourrissons,nouveau-nés,touchât,bébés,,babies
βρέφος,373,unigram,neuter,accusative,singular,,,crèche,nouveau-né,nouveau-né,crèche,nouveau-né,crèche,crèche,nouveau-né,crèche,nouveau-né,nouveau-né,crèche,mangeoire,,babies
ἀποθήκη,315,unigram,feminine,accusative,plural,greniers,3864.6408200936203,greniers,greniers,greniers,greniers,greniers,greniers,greniers,granges,greniers,greniers,greniers,greniers,greniers,,barn
ἀποθήκη,78,unigram,feminine,accusative,singular,grenier,11.940872866187863,grenier,grenier,grenier,grenier,grenier,grenier,grenier,grange,grenier,grenier,grenier,grenier,grenier,,barn
φραγμός,272,unigram,masculine,accusative,plural,haies,1.272863758330963,,,,,haies,,,,,,,haies,,,"barrier, wall"
ἀρχή,82,unigram,feminine,accusative,plural,défendrez,1.1226830691858525,,,,défendrez,présenterez,,,,,défendrez,,mettez,,,beginning
ἀρχή,211,unigram,feminine,accusative,singular,,,,,,,,,manifesta,commencement,,commencement,,manifesta,es-tu,,beginning
ζώνη,202,unigram,feminine,accusative,plural,ceintures,2.2501660375951253,,ceintures,ceintures,,cuivre,ceintures,,emporter,,,ceintures,ceintures,monnaie,,belt
ζώνη,261,unigram,feminine,accusative,singular,poil,1.0960524252565438,,,,,,,poil,,,,,,,,belt
βλασφημία,36,unigram,feminine,accusative,plural,raisonner,1.5819950289610416,raisonner,raisonner,,,blasphématoires,raisonner,,profère,raisonner,penser,raisonner,,insulte,,blasphemy
βλασφημία,113,unigram,feminine,accusative,singular,blasphémé,1.4433248585759921,,,,,blasphématoires,blasphémé,,blasphémé,blasphémé,,blasphémé,qu'avons-nous,insulté,,blasphemy
βλασφημία,240,unigram,feminine,nominative,plural,blasphèmes,7.125545035571374,,,,,blasphèmes,,,,,insultes,blasphèmes,blasphèmes,,,blasphemy
βλασφημία,97,unigram,feminine,nominative,singular,blasphème,3.156354696098684,,,,être,blasphème,,,,,,blasphème,,,,blasphemy
πλοῖον,125,unigram,neuter,accusative,plural,barques,1568.1012374688494,nacelles,barques,barques,barques,bateaux,barques,nacelles,bateaux,barques,barques,barques,barques,barques,,boat
πλοῖον,357,unigram,neuter,accusative,singular,barque,24799.400877773558,nacelle,barque,barque,barque,bateau,barque,nacelle,bateau,barque,barque,barque,barque,barque,,boat
πλοῖον,279,unigram,neuter,nominative,plural,renvoyé,1.661020001680805,prennent,renvoyé,,,laissèrent,renvoyé,petites,bateaux,renvoyé,,renvoyé,,barques,,boat
πλοῖον,263,unigram,neuter,nominative,singular,barque,483.4470538902823,nacelle,barque,barque,barque,bateau,barque,nacelle,bateau,barque,barque,barque,barque,barque,,boat
σῶμα,250,unigram,neuter,nominative,plural,corps,205.28919867550556,corps,corps,corps,,corps,corps,corps,corps,corps,,corps,corps,corps,,body
σῶμα,68,unigram,neuter,nominative,singular,corps,186541705.7232966,corps,corps,corps,corps,corps,corps,corps,corps,corps,corps,corps,corps,corps,,body
κλῆμα,64,unigram,neuter,nominative,plural,sarments,2.045248003734286,,sarments,,rameaux,,sarments,,sarments,sarments,,sarments,sarments,fruit,,branch
κλῆμα,174,unigram,neuter,nominative,singular,sarment,62.586100909284646,sarment,sarment,sarment,rameau,,sarment,sarment,sarment,sarment,sarment,sarment,sarment,attaché,,branch
ἄρτος,362,unigram,masculine,accusative,plural,pains,6173943.730652393,pains,pains,pains,pains,pains,pains,pains,pains,pains,pains,pains,pains,pains,,bread
ἄρτος,390,unigram,masculine,accusative,singular,pain,669465038.7206789,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,,bread
ἄρτος,184,unigram,masculine,nominative,plural,pains,68351.53670264359,pains,pains,pains,,pains,pains,pains,pains,pains,pain,pains,pain,pains,,bread
ἄρτος,45,unigram,masculine,nominative,singular,pain,996480.3903722145,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,pain,,bread
ἀδελφός,347,unigram,masculine,accusative,plural,frères,34737978.714015506,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,,brother
ἀδελφός,141,unigram,masculine,accusative,singular,frère,304950.25703269604,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,,brother
ἀδελφός,131,unigram,masculine,nominative,plural,frères,105743.38078275397,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,frères,,brother
ἀδελφός,270,unigram,masculine,nominative,singular,frère,54578854661.458725,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,frère,,brother
στῆθος,180,unigram,neuter,accusative,plural,spectacle,1.2013523596909814,,,,,,,,,,,,spectacle,spectacle,,"chest, breast"
στῆθος,331,unigram,neuter,accusative,singular,poitrine,16.757600631835587,poitrine,disciple,penché,vers,disciple,poitrine,penché,poitrine,poitrine,disciple,poitrine,penché,vers,,"chest, breast"
ἀρχιερεύς,285,unigram,masculine,accusative,plural,principaux,1.2849151273356443,principaux,chefs,Princes,chefs,chefs,principaux,principaux,grands,principaux,grands-prêtres,principaux,,chefs,,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,souverain,2.444517666728828,souverain,grand-prêtre,,grand-prêtre,grand-prêtre,souverain,souverain,prêtre,souverain,grand-prêtre,souverain,souverain,grand-prêtre,,chief priest
ἀρχιερεύς,140,unigram,masculine,nominative,plural,prêtres,1.216237065412747,principaux,prêtres,prêtres,prêtres,chefs,sacrificateurs,principaux,prêtres,sacrificateurs,grands-prêtres,principaux,,prêtres,,chief priest
ἀρχιερεύς,290,unigram,masculine,nominative,singular,souverain,1.5454377890713116,souverain,grand-prêtre,prêtre,grand-prêtre,grand-prêtre,souverain,souverain,prêtre,souverain,grand-prêtre,souverain,souverain,grand-prêtre,,chief priest
παῖς,275,unigram,masculine,accusative,plural,enfants,1.2032215239091448,enfants,enfants,voyant,,enfants,,,enfants,enfants,,enfants,fort,colère,,child
παῖς,56,unigram,masculine,accusative,singular,secoua,1.2306190858775419,tourmenta,secoua,,,,agita,,secoua,l'agita,secoua,convulsion,s'approchait,secoue,,child
τέκνον,383,unigram,neuter,accusative,plural,enfants,171470778.92330435,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,,child
τέκνον,208,unigram,neuter,accusative,singular,,,s'élèveront,soulèveront,s'élèveront,enfants,,enfants,livrera,dresseront,soulèveront,enfant,soulèveront,livrera,enfants,,child
τέκνον,19,unigram,neuter,nominative,plural,enfants,56.808577485456425,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,,child
τέκνον,222,unigram,neuter,nominative,singular,enfant,7.070095365412653,enfant,enfant,Mon,Mon,Mon,enfant,mon,enfant,enfant,enfant,enfant,Mon,Mon,,child
παιδίον,17,unigram,neuter,accusative,plural,petits,1.9154472228848967,petits,petits,petits,Laissez,petits,petits,petits,,petits,,petits,petits,Laissez,,child
παιδίον,106,unigram,neuter,accusative,singular,enfant,335.4398607059598,enfant,enfant,l'Enfant,enfant,enfant,enfant,enfant,enfant,enfant,enfant,petit,enfant,enfant,,child
παιδίον,200,unigram,neuter,nominative,plural,enfants,777.0447264168116,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,,child
παιδίον,47,unigram,neuter,nominative,singular,enfant,242.07769468194994,enfant,enfant,enfant,enfant,enfant,enfant,enfant,enfant,enfant,enfant,petit,enfant,enfant,,child
πόλις,212,unigram,feminine,accusative,plural,villes,49259.58788044694,villes,villes,villes,villes,villes,villes,villes,villes,villes,villes,villes,villes,villes,,city
πόλις,73,unigram,feminine,accusative,singular,ville,252995078029.21866,ville,ville,ville,ville,ville,ville,ville,ville,ville,ville,ville,ville,ville,,city
πύλη,311,unigram,feminine,nominative,plural,,,,,,Église,bâtirai,prévaudront,,prévaudront,,Église,,,construirai,,city gate
πύλη,239,unigram,feminine,nominative,singular,mènent,1.499021089404972,étroite,menant,étroite,mènent,mènent,mènent,étroite,mènent,mènent,étroite,mènent,mènent,étroite,,city gate
χιτών,136,unigram,masculine,accusative,plural,tuniques,58.30385507899432,tuniques,chemises,tuniques,chemises,rechange,tuniques,robes,tuniques,tuniques,rechange,tuniques,habits,nourriture,,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,tunique,50.1280909824679,tunique,chemise,tunique,chemise,,tunique,tunique,tunique,tunique,chemise,tunique,l'habit,vêtement,,"clothing, undergarments"
ἱμάτιον,154,unigram,neuter,accusative,plural,vêtements,382398.7208118092,vêtements,vêtements,vêtements,manteaux,vêtements,vêtements,vêtements,vêtements,vêtements,manteaux,vêtements,vêtements,vêtements,,coat
ἱμάτιον,153,unigram,neuter,accusative,singular,manteau,4229.317919188744,vêtement,manteau,manteau,manteau,manteau,manteau,vêtement,vêtement,manteau,manteau,manteau,manteau,vêtement,,coat
ἐντολή,93,unigram,feminine,accusative,plural,commandements,508030.70091299765,commandements,commandements,commandements,commandements,commandements,commandements,commandements,commandements,commandements,commandements,commandements,commandements,commandements,,commandment
ἐντολή,91,unigram,feminine,accusative,singular,commandement,12599.815043329658,commandement,commandement,commandement,commandement,commandement,commandement,commandement,commandement,commandement,commandement,commandement,commandement,commandement,,commandment
συνέδριον,367,unigram,neuter,accusative,plural,tribunaux,13.254488546510062,sanhédrins,tribunaux,tribunaux,tribunaux,tribunaux,tribunaux,Consistoires,tribunaux,tribunaux,tribunaux,tribunaux,tribunaux,tribunaux,,council
συνέδριον,60,unigram,neuter,accusative,singular,sanhédrin,14.303795934601052,sanhédrin,sanhédrin,,Conseil,chefs,sanhédrin,principaux,sanhédrin,sanhédrin,conseil,sanhédrin,conseil,Tribunal,,council
χώρα,336,unigram,feminine,accusative,singular,pays,7681.1178625322,pays,pays,pays,pays,région,pays,pays,pays,pays,pays,pays,pays,pays,,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,foule,1111.4839489225792,foules,foule,peuple,foule,foule,foule,troupes,foules,foule,foule,foules,peuple,foules,,crowd
ὄχλος,11,unigram,masculine,accusative,singular,foule,3244671995.6809516,foule,foule,foule,foule,foule,foule,troupes,foule,foule,foule,foule,peuple,foule,,crowd
ὄχλος,118,unigram,masculine,nominative,plural,,,foules,foule,multitude,foule,foules,foule,troupes,foules,foule,foule,foules,peuple,foules,,crowd
ὄχλος,326,unigram,masculine,nominative,singular,foule,51831736.39178652,foule,foule,foule,foule,foule,foule,troupes,foule,foule,foule,foule,grande,foule,,crowd
θυγάτηρ,134,unigram,feminine,nominative,plural,,,,,Filles,,,,,,,,,,Femmes,,daughter
θυγάτηρ,361,unigram,feminine,nominative,singular,fille,11915129.457470937,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,fille,,daughter
ἡμέρα,85,unigram,feminine,accusative,plural,jours,287417912.8344051,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,,day
ἡμέρα,98,unigram,feminine,accusative,singular,jour,2402.7787961054123,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,,day
ἡμέρα,2,unigram,feminine,nominative,plural,jours,409131.00823223783,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours,jours-là,,day
ἡμέρα,75,unigram,feminine,nominative,singular,jour,6950583.069771923,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,jour,,day
ὀφειλέτης,293,unigram,masculine,nominative,plural,tuées,1.581818450416445,tua,tuées,tua,,tuées,tuées,tua,,tuées,,,tuées,,,debtor
ὀφειλέτης,144,unigram,masculine,nominative,singular,compter,2.1610978815928408,,10'000,règlement,énorme,millions,compter,commencé,,compter,énorme,compter,commencé,millions,,debtor
δαιμόνιον,34,unigram,neuter,accusative,plural,démons,8326.247123819609,démons,démons,démons,esprits,démons,démons,démons,démons,démons,démons,démons,démons,esprits,,demon
