lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2150_translation,version_2151_translation,version_2152_translation,version_2153_translation,version_2154_translation,version_2155_translation,english_translation
θεός,338,unigram,masculine,accusative,plural,богови,1.097258004808277,,богови,,,,,God
θεός,136,unigram,masculine,accusative,singular,Бога,31.85425197035837,Бога,Бог,Бога,Бога,Бога,Бога,God
θεός,28,unigram,masculine,nominative,plural,богови,2.380122975732832,богови,богови,богови,богови,,,God
θεός,212,unigram,masculine,nominative,singular,Бог,80080.12807718242,Бог,Бог,Бог,Бог,Бог,Бог,God
κύριος,137,unigram,masculine,nominative,singular,Господ,17.122192114685483,Господ,Господ,Господ,Господ,Господ,Господ,"Lord, lord, master"
γραφή,132,unigram,feminine,accusative,plural,Писмата,21.980164927264788,Писмата,Писмо,,Писмата,Писмата,Писмата,Scripture
γραφή,50,unigram,feminine,accusative,singular,Писмото,15.764176429024749,Писмото,Писмо,Писмото,Писмото,Писмото,,Scripture
γραφή,268,unigram,feminine,nominative,plural,исполнат,7.884939692684877,Писмата,,исполнат,исполнат,исполнат,исполнат,Scripture
γραφή,333,unigram,feminine,nominative,singular,Писмото,62.02072537092838,Писмото,Писмо,Писмото,Писмото,Писмото,Писмото,Scripture
ἄγγελος,99,unigram,masculine,accusative,plural,испрати,2.3063538476955503,ангели,ангели,испрати,испрати,испрати,испрати,angel
ἄγγελος,84,unigram,masculine,accusative,singular,ангелот,1.738352126419198,пишано,Свој,испраќам,ангелот,ангелот,ангелот,angel
ἄγγελος,47,unigram,masculine,nominative,plural,ангелите,4.495693298103738,ангели,ангелите,ангелите,ангелите,ангелите,ангелите,angel
ἄγγελος,110,unigram,masculine,nominative,singular,ангел,4.104652287733187,ангел,ангел,ангел,ангел,ангел,ангел,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,апостолите,12.975383368222637,апостолите,Апостолите,апостолите,апостолите,апостолите,апостолите,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,пратеник,2.7677627967430043,пратеникот,,пратеник,пратеник,пратеник,пратеник,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,приведат,1.0962199599997684,,приведат,,,,,authority
ἐξουσία,201,unigram,feminine,accusative,singular,власт,15227.475004180045,власт,власт,власт,власт,власт,власт,authority
βρέφος,16,unigram,neuter,accusative,plural,видеа,1.2013630877021924,забрануваа,,дечиња,,видеа,видеа,babies
βρέφος,331,unigram,neuter,accusative,singular,лежи,3.6914135106642916,лежи,јаслите,лежи,лежи,,,babies
ἀποθήκη,274,unigram,feminine,accusative,plural,житници,1.999949042375989,житници,,,,,,barn
ἀποθήκη,68,unigram,feminine,accusative,singular,изгори,1.1884447240504046,,,изгори,изгори,изгори,изгори,barn
φραγμός,115,unigram,masculine,accusative,singular,ископа,1.0595319950666118,,,,,ископа,,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,приведат,1.0961063339256685,,приведат,,,,,beginning
ἀρχή,183,unigram,feminine,accusative,singular,,,,галилејското,,,почеток,,beginning
ζώνη,230,unigram,feminine,accusative,singular,состоеше,1.0960524252565438,,,состоеше,,,,belt
βλασφημία,32,unigram,feminine,accusative,plural,размислуваат,1.2013845589884997,,богохулник,размислуваат,размислуваат,,,blasphemy
βλασφημία,97,unigram,feminine,accusative,singular,хулата,1.0960768946513286,хулата,,,,,,blasphemy
βλασφημία,210,unigram,feminine,nominative,plural,хули,22.948330404429516,хули,,хули,хули,хули,хули,blasphemy
πλοῖον,108,unigram,neuter,accusative,plural,кораба,10.794149135596891,кораба,,кораба,кораба,кораба,кораба,boat
πλοῖον,315,unigram,neuter,accusative,singular,кораб,1.579771781988231,коработ,бротчето,кораб,кораб,кораб,коработ,boat
πλοῖον,245,unigram,neuter,nominative,plural,коработ,1.201741803934157,кораби,,,коработ,коработ,,boat
πλοῖον,232,unigram,neuter,nominative,singular,коработ,20.236810432914293,брегот,бротчето,коработ,коработ,коработ,коработ,boat
σῶμα,219,unigram,neuter,nominative,plural,телата,1.999948655640119,,телата,,,,,body
σῶμα,59,unigram,neuter,nominative,singular,тело,7.079640960220071,тело,тело,тело,телото,тело,тело,body
