lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1889_translation,version_1890_translation,version_1891_translation,version_1892_translation,english_translation
θεός,350,unigram,masculine,accusative,plural,qaiqolegue't,1.2169393037518463,qaiqolegue't,,,,God
θεός,141,unigram,masculine,accusative,singular,Dios,3.4701312778995375,'Enauacna,Dios,Dios,,God
θεός,29,unigram,masculine,nominative,plural,,,–Na,,diospi,,God
θεός,221,unigram,masculine,nominative,singular,Dios,8.296918390965251,'Enauacna,Dios,Dios,,God
κύριος,142,unigram,masculine,nominative,singular,,,Qarataxala,Jaliaĝanec,qadataxala,,"Lord, lord, master"
γραφή,136,unigram,feminine,accusative,plural,,,nere,nedii,l'aqtaqa,,Scripture
γραφή,52,unigram,feminine,accusative,singular,,,,t'añiyapeguet,qanqoÿin,,Scripture
γραφή,280,unigram,feminine,nominative,plural,ipacchigui,1.7927926991420446,ipacchigui,yepaque'teguelo,ipacchigui,,Scripture
γραφή,345,unigram,feminine,nominative,singular,,,nanettralec,nedii,n'aqtaqa,,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,,,ỹamaxashecpi,laje,piguem,,angel
ἄγγελος,87,unigram,masculine,accusative,singular,ỹa'aqtaxanaxanecda,1.0932717899526727,ỹa'aqtaxanaxanecda,,,,angel
ἄγγελος,48,unigram,masculine,nominative,plural,,,lamaxashecpi,piyem,piguem,,angel
ἄγγελος,114,unigram,masculine,nominative,singular,,,lamaxashec,le'ec,lamaxashic,,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,,,ỹo'otpi,'s,lamaxa'shi,,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,,,ỹamaqtac,yamaqatac,ÿamaqtac,,apostle
ἐξουσία,71,unigram,feminine,accusative,plural,,,qanmi't,,qadasataxaqui,,authority
ἐξουσία,211,unigram,feminine,accusative,singular,,,'ara'añaxac,yañoqotaĝanaĝac,ÿanem,,authority
βρέφος,15,unigram,neuter,accusative,plural,qoyaue'ualo,1.0595867858366843,,qoyaue'ualo,,,babies
βρέφος,344,unigram,neuter,accusative,singular,lquia'axaqui,1.8868873043247456,lquia'axaqui,,,,babies
ἀποθήκη,287,unigram,feminine,accusative,plural,ala,1.1493872702861057,ala,,ala,,barn
ἀποθήκη,70,unigram,feminine,accusative,singular,trigo,1.475699921474558,,trigo,trigo,,barn
φραγμός,250,unigram,masculine,accusative,plural,'anqo'oneugalo,1.096635398299773,'anqo'oneugalo,,,,"barrier, wall"
φραγμός,119,unigram,masculine,accusative,singular,'netaĝaiqui,1.0595770845675438,,'netaĝaiqui,,,"barrier, wall"
ἀρχή,74,unigram,feminine,accusative,plural,,,qanmi't,,qadasataxaqui,,beginning
ἀρχή,193,unigram,feminine,accusative,singular,hua'auchiguiñi,2.7381600183786885,hua'auchiguiñi,'uaechiñe,hua'auchiguiñi,,beginning
ζώνη,185,unigram,feminine,accusative,plural,,,qo'omi,,cobre,,belt
ζώνη,239,unigram,feminine,accusative,singular,qoyachiyoĝotayelo,1.0961210847775034,,qoyachiyoĝotayelo,,,belt
βλασφημία,33,unigram,feminine,accusative,plural,,,¡Nachaqñita,lichiquetelegue,ÿi'inai,,blasphemy
βλασφημία,101,unigram,feminine,accusative,singular,–¡De'era,1.0966405673711248,–¡De'era,,,,blasphemy
βλασφημία,219,unigram,feminine,nominative,plural,,,qaỹapalaxat,'noe,qauem,,blasphemy
βλασφημία,88,unigram,feminine,nominative,singular,'noe,1.1620932620271356,,'noe,,,blasphemy
πλοῖον,112,unigram,neuter,accusative,plural,,,nllocta,licotal,barco,,boat
πλοῖον,328,unigram,neuter,accusative,singular,,,nllocta,licota,barco,,boat
πλοῖον,241,unigram,neuter,nominative,singular,,,nllocta,licota,barco,,boat
σῶμα,229,unigram,neuter,nominative,plural,,,ileu,yele,,,body
σῶμα,61,unigram,neuter,nominative,singular,,,ỹo'ocỹaxac,qat'oyaĝac,'ad'oquiaxac,,body
κλῆμα,159,unigram,neuter,nominative,singular,,,na'attaua,yoqote'taguet,n'attau,,branch
ἄρτος,333,unigram,masculine,accusative,plural,,,nauole,paan,pan,,bread
ἄρτος,361,unigram,masculine,accusative,singular,pan,7.0910493113333946,nauole,pan,pan,,bread
ἄρτος,167,unigram,masculine,nominative,plural,,,aloq,qoloqot,pan,,bread
ἄρτος,39,unigram,masculine,nominative,singular,pan,9.757550703997959,nauole,pan,pan,,bread
ἀδελφός,318,unigram,masculine,accusative,plural,,,lqaỹañecpi,laqaya'olqa,lqaÿañicpi,,brother
ἀδελφός,128,unigram,masculine,accusative,singular,,,lqaỹa,Santiago,lqaÿa,,brother
ἀδελφός,118,unigram,masculine,nominative,plural,e,1.1815342418668722,e,,e,,brother
ἀδελφός,248,unigram,masculine,nominative,singular,,,lqaỹa,lanoqolec,lqaÿa,,brother
στῆθος,164,unigram,neuter,accusative,plural,ye'uaĝatapelo'te,1.0961309302758326,,ye'uaĝatapelo'te,,,"chest, breast"
στῆθος,303,unigram,neuter,accusative,singular,,,ỹaneuo,,négue't,,"chest, breast"
ἀρχιερεύς,259,unigram,masculine,accusative,plural,lataxala'pi,1.0896476440860587,lataxala'pi,lejaliaĝanaqa,lataxala'pi,,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,ntaxaÿaxanaxanecpi,1.396027345244182,,,ntaxaÿaxanaxanecpi,,chief priest
ἀρχιερεύς,127,unigram,masculine,nominative,plural,,,ntaxaỹaxanaxanecpi,tamenaĝaiqui,lataxala'pi,,chief priest
ἀρχιερεύς,263,unigram,masculine,nominative,singular,,,ntaxaỹaxanaxanecpi,tamenaĝaiqui,ntaxaÿaxanaxanecpi,,chief priest
παῖς,253,unigram,masculine,accusative,plural,dalemata,1.205019859446856,dalemata,ñoqolqapi,dalemata,,child
παῖς,50,unigram,masculine,accusative,singular,ÿi'iguelaxatot,1.0961555847270184,,,ÿi'iguelaxatot,,child
τέκνον,353,unigram,neuter,accusative,plural,llalaqpi,4.8261512957880734,llalaqpi,lec'oqo'tepi,llalaqpi,,child
τέκνον,190,unigram,neuter,accusative,singular,,,lqaỹa,nec'oqo'te,lqaÿa,,child
τέκνον,16,unigram,neuter,nominative,plural,,,ỹalaua't,Jogaa'me,Na,,child
τέκνον,203,unigram,neuter,nominative,singular,,,ỹalcolec,,ÿalcolec,,child
παιδίον,14,unigram,neuter,accusative,plural,ñaqpiolec,2.0114176064767793,ñaqpiolec,ñoqolqa,ñaqpiolec,,child
παιδίον,95,unigram,neuter,accusative,singular,nogotolec,23.76774150557714,nogotolec,notolec,nogotolec,,child
παιδίον,183,unigram,neuter,nominative,plural,ñoqolqa,1.6001498021075342,,ñoqolqa,,,child
παιδίον,41,unigram,neuter,nominative,singular,nogotolec,9.798212033012454,nogotolec,notolec,nogotolec,,child
πόλις,194,unigram,feminine,accusative,plural,,,nỹecpiolec,noyaqa,pueblopi,,city
πόλις,66,unigram,feminine,accusative,singular,,,nỹecpi,noic,pueblo,,city
πύλη,218,unigram,feminine,nominative,singular,,,qanayeegue,yelo'tegue,lasom,,city gate
χιτών,123,unigram,masculine,accusative,plural,,,qauache,adapela'chidi,l-lomaxaqui,,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,'adpo,1.4531041698868747,,,'adpo,,"clothing, undergarments"
ἱμάτιον,139,unigram,neuter,accusative,plural,alogo,3.2644085344747205,alogo,lapoto,alogo,,coat
ἱμάτιον,138,unigram,neuter,accusative,singular,,,ỹache,lapoto,ÿachi,,coat
ἐντολή,85,unigram,feminine,accusative,plural,,,,yamaĝajoĝonaĝaco,'aualaxalec,,commandment
ἐντολή,83,unigram,feminine,accusative,singular,,,lamaxasoxonaxaco,auanaeyiya'ac,qoquiiguelo,,commandment
συνέδριον,338,unigram,neuter,accusative,plural,,,maxatchaxa,,qaiuaxaata'pe,,council
συνέδριον,54,unigram,neuter,accusative,singular,,,lataxala'pi,a't,loicnatac,,council
χώρα,307,unigram,feminine,accusative,singular,,,'alhua,aleua,le'ego,,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,,,shiỹaxauapi,jiyaĝadipi,shiÿaxauapi,,crowd
ὄχλος,8,unigram,masculine,accusative,singular,,,shiỹaxauapi,jiyaĝadipi,shiÿaxauapi,,crowd
ὄχλος,106,unigram,masculine,nominative,plural,,,shiỹaxauapi,jiyaĝadipi,shiÿaxauapi,,crowd
ὄχλος,299,unigram,masculine,nominative,singular,,,qalota,jiyaĝadipi,shiÿaxauapi,,crowd
θυγάτηρ,332,unigram,feminine,nominative,singular,llale,2.6136795928598993,llale,c'oqote,llale,,daughter
ἡμέρα,78,unigram,feminine,accusative,plural,na'axa'te,5.264929095783549,na'axa'te,noloqo'ote,na'axa'te,,day
ἡμέρα,89,unigram,feminine,accusative,singular,na'axa'te,1.954933355715733,na'axa'te,noloqo'ote,na'axa'te,,day
ἡμέρα,2,unigram,feminine,nominative,plural,na'axa'te,8.007785976356763,na'axa'te,noloqo'ote,na'axa'te,,day
ἡμέρα,68,unigram,feminine,nominative,singular,q,1.4052671956383018,q,nolo,q,,day
ὀφειλέτης,266,unigram,masculine,nominative,plural,,,¿Qaupi'itaxañiitega,'noĝona,ipataxañi,,debtor
ὀφειλέτης,129,unigram,masculine,nominative,singular,nep'ia,1.0961210847775034,,nep'ia,,,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,leguemaxaicpi,1.3316629861965625,leguemaxaicpi,payagodipi,leguemaxaicpi,,demon
δαιμόνιον,348,unigram,neuter,accusative,singular,leguemaxaic,2.5591728508172307,leguemaxaic,payac,leguemaxaic,,demon
δαιμόνιον,205,unigram,neuter,nominative,plural,leguemaxaicpi,1.7638934799638875,leguemaxaicpi,payagodipi,leguemaxaicpi,,demon
δαιμόνιον,181,unigram,neuter,nominative,singular,leguemaxaic,1.3660799168691669,leguemaxaic,payac,leguemaxaic,,demon
