lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1327_translation,version_1328_translation,version_1329_translation,version_1330_translation,version_1331_translation,version_1332_translation,english_translation
θεός,383,unigram,masculine,accusative,plural,goden,1.4607443887787637,,,,goden,,goden,God
θεός,156,unigram,masculine,accusative,singular,God,279840.78781161556,God,God,God,God,God,God,God
θεός,31,unigram,masculine,nominative,plural,goden,7.122536318541825,goden,goden,goden,,goden,goden,God
θεός,244,unigram,masculine,nominative,singular,God,3043243.460983745,God,God,God,God,God,God,God
κύριος,385,unigram,masculine,nominative,plural,heren,1.1075294207691853,,,,,,heren,"Lord, lord, master"
κύριος,157,unigram,masculine,nominative,singular,,,Heer,Heer,Heere,Here,Here,Heere,"Lord, lord, master"
γραφή,151,unigram,feminine,accusative,plural,Schriften,57.83633790135661,Boeken,Schriften,Schriften,boeken,Schriften,Schriften,Scripture
γραφή,57,unigram,feminine,accusative,singular,Schrift,2.4479340571905226,Boeken,Schrift,,weleens,,Schrift,Scripture
γραφή,310,unigram,feminine,nominative,plural,Schriften,3.428031135205945,Boeken,Schriften,Schriften,vervulling,vervulling,Schriften,Scripture
γραφή,378,unigram,feminine,nominative,singular,Schrift,8.842641788735063,Boeken,Schrift,Schrift,staat,,Schrift,Scripture
ἄγγελος,115,unigram,masculine,accusative,plural,engelen,19.17106244570521,engelen,engelen,engelen,engelen,engelen,engelen,angel
ἄγγελος,95,unigram,masculine,accusative,singular,engel,3.741447742251573,boodschapper,gezant,engel,banen,bode,engel,angel
ἄγγελος,53,unigram,masculine,nominative,plural,engelen,30915.60186770589,engelen,engelen,engelen,engelen,engelen,engelen,angel
ἄγγελος,126,unigram,masculine,nominative,singular,engel,7712.5171792045385,engel,engel,engel,engel,engel,engel,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,apostelen,370.1827531385383,twaalf,apostelen,apostelen,apostelen,apostelen,apostelen,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,gezant,3.330004396022212,boodschapper,gezant,gezant,meerdere,,gezant,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,,,,machthebbers,,autoriteiten,,,authority
ἐξουσία,233,unigram,feminine,accusative,singular,macht,1218.6969575632318,macht,macht,macht,macht,macht,macht,authority
βρέφος,16,unigram,neuter,accusative,plural,,,kleine,aanraken,bestraften,zegenen,kleine,bestraften,babies
βρέφος,376,unigram,neuter,accusative,singular,voerbak,2.553501050991731,voerbak,Kindje,,voerbak,liggende,kribbe,babies
ἀποθήκη,317,unigram,feminine,accusative,plural,schuren,9.998009620182243,schuren,schuren,schuren,,schuren,schuren,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,schuur,1.3306085510352816,schuur,,,schuur,,,barn
φραγμός,274,unigram,masculine,accusative,plural,,,,,,hierheen,dwing,,"barrier, wall"
φραγμός,131,unigram,masculine,accusative,singular,heg,1.0595319950666118,,,,,heg,,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,,,,machthebbers,,autoriteiten,,,beginning
ἀρχή,213,unigram,feminine,accusative,singular,,,Dat,,begin,toonde,eigenlijk,,beginning
ζώνη,204,unigram,feminine,accusative,plural,Neem,1.8099703531640994,Neem,,,Neem,,,belt
ζώνη,263,unigram,feminine,accusative,singular,bestond,1.0960524252565438,,,,,bestond,,belt
βλασφημία,35,unigram,feminine,accusative,plural,beledigt,1.280535634477484,beledigt,godslasteringen,,beledigt,,godslastering,blasphemy
βλασφημία,112,unigram,feminine,accusative,singular,godslastering,1.3952233342691067,beledigd,,godslastering,,godslastering,godslastering,blasphemy
βλασφημία,242,unigram,feminine,nominative,plural,,,,godslasteringen,lasteringen,,godslasteringen,lasteringen,blasphemy
