lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2347_translation,version_2341_translation,version_2339_translation,version_2353_translation,version_2340_translation,version_2355_translation,version_2342_translation,version_2345_translation,version_2351_translation,version_2338_translation,version_2337_translation,version_2350_translation,version_2354_translation,version_2343_translation,version_2348_translation,version_2344_translation,version_2349_translation,version_2346_translation,version_2352_translation,english_translation
θεός,856,uni_token,masculine,accusative,plural,尚,1.6632843637002852,尚,諸,神,典,令,尚,諸,尚,尚,廢,尚,,毀,典,廢,尚,廢,尚,廢,God
θεός,624,uni_token,masculine,accusative,singular,帝,1422.9555972205246,帝,　,天,　,帝,神,帝,神,帝,神,帝,,主,帝,主,帝,帝,　,帝,God
θεός,494,uni_token,masculine,nominative,plural,寫,2.075044720214646,帝,諸,神,駁,,寫,諸,曾,曾,寫,』,,律,駁,紀,曾,帝,寫,寫,God
θεός,712,uni_token,masculine,nominative,singular,帝,1133.181290455575,帝,神,天,神,帝,神,帝,神,帝,神,帝,,主,帝,主,帝,帝,　,帝,God
κύριος,858,uni_token,masculine,nominative,plural,駒,1.3293188211290885,駒,,駒,驢,驢,駒,,駒,駒,,駒,,駒,,匹,駒,驢,驢,駒,"Lord, lord, master"
κύριος,625,uni_token,masculine,nominative,singular,主,1.1537824647315298e+16,主,主,主,主,主,主,主,主,主,主,主,,主,主,主,主,主,主,主,"Lord, lord, master"
γραφή,619,uni_token,feminine,accusative,plural,聖,4.975035837945329,經,聖,聖,典,經,聖,聖,聖,聖,經,聖,,聖,經,聖,聖,聖,聖,經,Scripture
γραφή,521,uni_token,feminine,accusative,singular,經,1.3639211272399887,『,妙,角,經,聖,段,妙,經,角,段,經,,角,,者,經,書,段,經,Scripture
γραφή,777,uni_token,feminine,nominative,plural,驗,85.54574487705823,成,驗,驗,足,經,驗,驗,驗,應,驗,驗,,驗,驗,驗,驗,驗,驗,驗,Scripture
γραφή,850,uni_token,feminine,nominative,singular,經,65.84730180035099,經,經,經,經,經,經,經,經,經,經,經,,經,經,經,經,經,經,經,Scripture
ἄγγελος,582,uni_token,masculine,accusative,plural,使,120.6423481689446,者,使,者,使,使,使,使,使,使,使,使,,神,使,使,使,者,使,使,angel
ἄγγελος,561,uni_token,masculine,accusative,singular,使,98.4437667591609,使,使,使,使,者,使,使,使,使,載,使,,神,使,使,使,者,使,使,angel
ἄγγελος,517,uni_token,masculine,nominative,plural,使,721.3131770508878,使,使,使,使,使,使,使,使,使,使,使,,神,使,使,使,使,使,使,angel
ἄγγελος,593,uni_token,masculine,nominative,singular,使,31498.572270567696,使,使,使,使,使,使,使,使,使,使,使,,神,使,使,使,使,使,使,angel
ἀπόστολος,514,uni_token,masculine,nominative,plural,使,41.280467011074144,使,使,使,徒,徒,使,使,使,使,使,使,,宗,使,宗,使,使,使,使,apostle
ἀπόστολος,466,uni_token,masculine,nominative,singular,差,1.7899266361672863,僕,奉,差,比,奴,差,奉,差,差,確,差,,差,派,役,差,僕,遣,遣,apostle
ἐξουσία,543,uni_token,feminine,accusative,plural,申,1.7252856362954956,,掌,申,辯,申,,掌,府,府,申,府,,府,申,駁,府,申,申,員,authority
ἐξουσία,700,uni_token,feminine,accusative,singular,權,73.03899844239166,權,權,權,權,柄,權,權,權,權,權,權,,權,權,權,權,柄,權,權,authority
βρέφος,479,uni_token,neuter,accusative,plural,嬰,5.202730104456946,嬰,嬰,按,呵,責,嬰,嬰,嬰,抱,嬰,嬰,,撫,撫,抱,嬰,,,嬰,babies
βρέφος,848,uni_token,neuter,accusative,singular,槽,3.9763570728890754,嬰,,槽,槽,槽,,,,槽,嬰,,,槽,,槽,,槽,臥,槽,babies
ἀποθήκη,785,uni_token,feminine,accusative,plural,倉,4197.187748911234,倉,倉,倉,倉,倉,倉,倉,倉,倉,倉,倉,,倉,倉,倉,倉,倉,倉,倉,barn
ἀποθήκη,542,uni_token,feminine,accusative,singular,倉,24.965129342611064,倉,倉,倉,倉,倉,倉,倉,倉,倉,倉,倉,,倉,倉,倉,倉,倉,倉,倉,barn
φραγμός,741,uni_token,masculine,accusative,plural,巷,2.244813261277535,,巷,,,,,巷,,,巷,,,,,墻,,,,,"barrier, wall"
