lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_796_translation,version_797_translation,version_798_translation,version_799_translation,version_800_translation,version_801_translation,english_translation
θεός,145,unigram,masculine,accusative,singular,Dio,1032.4928868921286,Iddio,Dio,Dio,Dio,,Iddio,God
θεός,30,unigram,masculine,nominative,plural,dèi,5.499249905801251,dii,dèi,dèi,dèi,,dèi,God
θεός,223,unigram,masculine,nominative,singular,Dio,3493.5339235233077,Iddio,Dio,Dio,Dio,,Dio,God
κύριος,146,unigram,masculine,nominative,singular,Signore,22.17640778737715,Signore,Signore,Signore,Signore,,Signore,"Lord, lord, master"
γραφή,140,unigram,feminine,accusative,plural,Scritture,21.54714983847686,scritture,Scritture,Scritture,*Bibbia,,Scritture,Scripture
γραφή,56,unigram,feminine,accusative,singular,Scrittura,9.791233696586204,scrittura,Scrittura,Scrittura,*Bibbia,,Scrittura,Scripture
γραφή,281,unigram,feminine,nominative,plural,Scritture,5.8531148031238285,Scritture,Scritture,Scritture,compia,,Scritture,Scripture
γραφή,346,unigram,feminine,nominative,singular,Scrittura,42.62525591863764,scrittura,Scrittura,Scrittura,Bibbia,,Scrittura,Scripture
ἄγγελος,106,unigram,masculine,accusative,plural,angeli,11.133701866833107,angeli,angeli,angeli,*angeli,,angeli,angel
ἄγγελος,90,unigram,masculine,accusative,singular,messaggero,1.4083077098010217,mando,messaggero,preparerà,messaggero,,messaggero,angel
ἄγγελος,52,unigram,masculine,nominative,plural,angeli,518.9030391767008,angeli,angeli,angeli,*angeli,,angeli,angel
ἄγγελος,117,unigram,masculine,nominative,singular,angelo,7.286568080925834,l'angelo,angelo,angelo,angelo,,l'angelo,angel
ἀπόστολος,49,unigram,masculine,nominative,plural,apostoli,36.00744329012006,apostoli,*apostoli,apostoli,*apostoli,,apostoli,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,l'ha,messaggero,messaggero,ambasciatore,,l'ha,apostle
ἐξουσία,76,unigram,feminine,accusative,plural,,,,,risponderete,,,condurranno,authority
ἐξουσία,213,unigram,feminine,accusative,singular,autorità,1.5883106594436422,podestà,autorità,autorità,potere,,potestà,authority
βρέφος,16,unigram,neuter,accusative,plural,Portavano,1.2013630877021924,,Portavano,Portavano,,,,babies
βρέφος,344,unigram,neuter,accusative,singular,mangiatoia,4.255510426287475,mangiatoia,mangiatoia,mangiatoia,mangiatoia,,mangiatoia,babies
ἀποθήκη,286,unigram,feminine,accusative,plural,granai,15.998369418350894,granai,granai,granai,,,granai,barn
ἀποθήκη,75,unigram,feminine,accusative,singular,granaio,1.8839430085293953,granaio,granaio,granaio,granaio,,granaio,barn
ἀρχή,78,unigram,feminine,accusative,plural,risponderete,1.201449095271969,,risponderete,risponderete,,,condurranno,beginning
ἀρχή,195,unigram,feminine,accusative,singular,,,principio,l'appunto,manifestò,,,,beginning
ζώνη,240,unigram,feminine,accusative,singular,cibava,1.2013309189107515,,cibava,cibava,,,,belt
βλασφημία,34,unigram,feminine,accusative,plural,ragionare,1.2729246835487205,ragionare,ragionare,,domandarsi,,,blasphemy
βλασφημία,104,unigram,feminine,accusative,singular,stracciò,1.2305020666009574,bestemmia,stracciò,,*bestemmie,,stracciò,blasphemy
βλασφημία,221,unigram,feminine,nominative,plural,peccati,1.2889498836002362,,,,peccati,,,blasphemy
