lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_410_translation,version_411_translation,version_412_translation,version_413_translation,version_414_translation,version_415_translation,version_416_translation,version_417_translation,version_418_translation,version_419_translation,version_420_translation,version_421_translation,version_422_translation,version_423_translation,english_translation
θεός,346,unigram,masculine,accusative,plural,,,,,,,,,,,,,,,dduwiau,diystyru,God
θεός,142,unigram,masculine,accusative,singular,Dduw,4.343958380142503,Duw,Duw,Dduw,Dduw,Dduw,,,,,,Dduw,Dduw,Duw,Duw,God
θεός,220,unigram,masculine,nominative,singular,Duw,860783.2473659532,Duw,Duw,Duw,Duw,Duw,,,,,,Duw,Duw,Duw,Duw,God
κύριος,348,unigram,masculine,nominative,plural,berchenogion,3.6783688996395494,berchenogion,berchenogion,berchenogion,berchenogion,berchennogion,,,,,,,,,,"Lord, lord, master"
κύριος,143,unigram,masculine,nominative,singular,Arglwydd,3039.0621609422997,Arglwydd,Arglwydd,Arglwydd,Arglwydd,Arglwydd,,,,,,Arglwydd,Arglwydd,Arglwydd,Arglwydd,"Lord, lord, master"
γραφή,137,unigram,feminine,accusative,plural,Ysgrythurau,17.09893264280134,Ysgrythurau,Ysgrythurau,ysgrythurau,ysgrythurau,Ysgrythyrau,,,,,,Scrythurae,Scrythurae,Ysgrythurau,ysgrifau,Scripture
γραφή,52,unigram,feminine,accusative,singular,Ysgrythur,4.965618464264207,Ysgrythur,Ysgrythur,ysgrythur,ysgrythur,ysgrythyr,,,,,,,,Ysgrythur,ysgrifau,Scripture
γραφή,278,unigram,feminine,nominative,plural,,,Ysgrythurau,Ysgrythurau,ysgrythurau,ysgrythurau,cyflawnid,,,,,,Scrythurae,Scrythurae,Ond,ysgrifau,Scripture
γραφή,341,unigram,feminine,nominative,singular,Ysgrythur,11.931011309229413,Ysgrythur,Ysgrythur,ysgrythur,ysgrythur,Ysgrythyr,,,,,,Scrythur,Scrythur,Ysgrythur,ysgrifau,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,angylion,109.28022530138077,angylion,angylion,angylion,angylion,angylion,,,,,,Angelion,Angelion,angylion,angylion,angel
ἄγγελος,89,unigram,masculine,accusative,singular,,,nghennad,nghennad,,,,,,,,,oth,oth,baratoa,negesydd,angel
ἄγγελος,48,unigram,masculine,nominative,plural,angylion,111000.4608760451,angylion,angylion,angylion,angylion,angylion,,,,,,Angelion,Angelion,angylion,angylion,angel
ἄγγελος,115,unigram,masculine,nominative,singular,angel,107119.1975616785,angel,angel,angel,angel,angel,,,,,,Angel,Angel,angel,angel,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,apostolion,1707.2398978472909,apostolion,apostolion,apostolion,apostolion,apostolion,,,,,,Apostolon,Apostolon,apostolion,apostolion,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,anfonir,anfonir,ddanfonwyd,ddanfonwyd,chenhadwr,,,,,,cenadwr,cenadwr,negesydd,,apostle
ἐξουσία,72,unigram,feminine,accusative,plural,amddiffyniad,1.2112807780664177,,,,,,,,,,,,,,amddiffyniad,authority
ἐξουσία,212,unigram,feminine,accusative,singular,awdurdod,84259.87049308009,awdurdod,awdurdod,awdurdod,awdurdod,awdurdod,,,,,,veddiant,veddiant,awdurdod,awdurdod,authority
βρέφος,17,unigram,neuter,accusative,plural,ceryddasant,1.1999288806403459,,,ceryddasant,ceryddasant,cyffyrddai,,,,,,,,fabanod,babis,babies
βρέφος,339,unigram,neuter,accusative,singular,preseb,2.830104082253493,,,preseb,preseb,preseb,,,,,,presep,presep,preseb,cafn,babies
ἀποθήκη,285,unigram,feminine,accusative,plural,ysguboriau,9.42467263222399,mwy,mwy,ysguboriau,ysguboriau,ysguboriau,,,,,,yscuporiae,yscuporiae,,ysguboriau,barn
ἀποθήκη,71,unigram,feminine,accusative,singular,llosgi,1.8032003051224288,llosgi,llosgi,,,,,,,,,,,gwenith,ysgubor,barn
φραγμός,247,unigram,masculine,accusative,plural,cloddiau,1.1999087542240303,cloddiau,cloddiau,,,,,,,,,,,,Perswadia,"barrier, wall"
φραγμός,120,unigram,masculine,accusative,singular,dwr,1.6848268535965392,,,,,,,,,,,dwr,dwr,,,"barrier, wall"
ἀρχή,74,unigram,feminine,accusative,plural,amddiffyniad,1.2110541754715731,,,,,,,,,,,,,,amddiffyniad,beginning
ἀρχή,191,unigram,feminine,accusative,singular,,,,,,,,,,,,,dechreuat,,,pwy,beginning
ζώνη,183,unigram,feminine,accusative,plural,phres,1.629806859851279,phres,phres,,,,,,,,,veddwch,veddwch,phres,mân,belt
