lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_840_translation,version_841_translation,version_842_translation,version_843_translation,version_844_translation,version_845_translation,version_846_translation,version_847_translation,version_848_translation,english_translation
θεός,380,unigram,masculine,accusative,plural,,,dios,,,dios,,dios,dioses,dioses,dioses,God
θεός,157,unigram,masculine,accusative,singular,Dios,195.3709449160948,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,God
θεός,32,unigram,masculine,nominative,plural,dios,2.486349491100874,dios,dios,dios,dios,dios,dios,dioses,dioses,,God
θεός,245,unigram,masculine,nominative,singular,Dios,1041937.1618346954,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,Dios,God
κύριος,158,unigram,masculine,nominative,singular,Ajaf,283.18916590011924,Ajaf,rajaw,Ajaf,Ajaf,Ajaf,Ajaf,Ajaw,Ajaf,Ajaf,"Lord, lord, master"
γραφή,152,unigram,feminine,accusative,plural,ruch'abel,3.4989219175089015,ruch'abel,ruch'abel,rutzij,ruch'abal,ruch'abel,ruch'abel,rutzij,ruchꞌabꞌal,rutzij,Scripture
γραφή,59,unigram,feminine,accusative,singular,tz'iban,1.7107471376434116,tz'iban,,tz'iban,tz'iban,tz'ibatel,tz'ibatal,tzꞌibꞌan,tzꞌibꞌan,tz'iban,Scripture
γραφή,306,unigram,feminine,nominative,plural,,,tz'iban,tz'ibatel,tz'iban,je'tz'iban,nibanatej,nibanatej,ndibꞌanatej,nibꞌanataj,nibanataj,Scripture
γραφή,374,unigram,feminine,nominative,singular,tz'iban,4.291600202250499,ruch'abel,tz'ibatel,tz'iban,tz'iban,tz'ibatel,tz'ibatal,rutzij,tzꞌibꞌan,tz'iban,Scripture
ἄγγελος,118,unigram,masculine,accusative,plural,nu-ángeles,1.7769801146512934,nu-ángeles,nu-ángel,nu-ángeles,,nu-ángeles,,ngenteq,,,angel
ἄγγελος,99,unigram,masculine,accusative,singular,,,,xtijaqo,nuchojmirsaj,,nuchojmirisaj,,,,nunaba,angel
ἄγγελος,55,unigram,masculine,nominative,plural,ángeles,22399.27219095285,ángeles,ángel,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,ángeles,angel
ἄγγελος,129,unigram,masculine,nominative,singular,ángel,618930.0690774397,ángel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,ángel,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,,,apóstoles,xkitzijola,xetzolij-pe,,ru-apóstoles,xquitzijola,apóstoles,ru-apóstoles,,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,,,,taqayon,,,,nitak,nditaqo,takayuon-el,,apostle
ἐξουσία,80,unigram,feminine,accusative,plural,,,,,nicusaj,,,yixuc'uex,xkixukꞌuꞌex,,,authority
ἐξουσία,233,unigram,feminine,accusative,singular,,,a,uchuq,nuk,autoridad,uchuk,k'atbel,uchuqꞌaꞌ,autoridad,uchuk,authority
βρέφος,18,unigram,neuter,accusative,plural,,,,,nyequic'amala-pe,,yequic'amala,,xekichꞌolij,ncaꞌquicꞌam-pa,,babies
βρέφος,372,unigram,neuter,accusative,singular,cotz'oban,1.3942103079139307,cotz'oban,kotz'oban,cotz'oban,cotz'oban,cotz'oban,cotz'oban,kiwayibꞌal,cotzꞌobꞌan,cotz'oban,babies
ἀποθήκη,314,unigram,feminine,accusative,plural,,,,n,,,,,yakbꞌel,,nim,barn
ἀποθήκη,79,unigram,feminine,accusative,singular,trigo,4.427352153458556,trigo,trigo,trigo,trigo,trigo,trigo,trigo,trigo,trigo,barn
φραγμός,274,unigram,masculine,accusative,plural,,,,,nnoj,ninoj,tza,puersa,kepuꞌun,ninuoj,,"barrier, wall"
φραγμός,133,unigram,masculine,accusative,singular,yitz'bel-uva,1.1062588450262767,,yitz'bel-uva,,,,,,,,"barrier, wall"
ἀρχή,83,unigram,feminine,accusative,plural,,,,,nicusaj,,,yixuc'uex,xkixukꞌuꞌex,,,beginning
ἀρχή,214,unigram,feminine,accusative,singular,,,x,nuchapon-pe-tzij,,,,nchapon,,,,beginning
ζώνη,205,unigram,feminine,accusative,plural,ximibel-ipan,1.2125176900525536,,ximibel-ipan,,,,,,,,belt
ζώνη,263,unigram,feminine,accusative,singular,Rutziak,1.0960524252565438,,,,,,,,,Rutziak,belt
βλασφημία,36,unigram,feminine,accusative,plural,,,nich,,nquinuc-ka,runojexic,niquich'ob-ka,,,xquiꞌan-ka,¿Roma,blasphemy
βλασφημία,115,unigram,feminine,accusative,singular,,,,,,,nivac'axaj-ka,,,¡Reꞌ,xuretz-ka,blasphemy
βλασφημία,243,unigram,feminine,nominative,plural,,,yok'onic,,,,,,,ncaꞌchꞌoꞌ,,blasphemy
βλασφημία,100,unigram,feminine,nominative,singular,mac,1.3688927061434841,mac,mak,mac,ye'quibila,yequibila,yequibanala,,niquirayij,yequi'ij,blasphemy
πλοῖον,127,unigram,neuter,accusative,plural,,,canoas,barco,tz'amoy,tz'amoy,chapoy,chapoy,barcos,barcos,canoas,boat
πλοῖον,356,unigram,neuter,accusative,singular,canoa,1702.1122560856834,canoa,barco,canoa,canoa,canoa,jucu,barco,barco,canoa,boat
πλοῖον,281,unigram,neuter,nominative,plural,xerutakala,1.3645888488872973,xequitak,ruwi-ya,Comi,xe'rutakala,xerutakala,xerutakala,xerutijoj,barcos,canoas,boat
πλοῖον,265,unigram,neuter,nominative,singular,canoa,6.706462553064388,canoa,barco,canoa,canoa,canoa,jucu,barco,barco,canoa,boat
σῶμα,70,unigram,neuter,nominative,singular,a-cuerpo,2.901677274322218,a-cuerpo,ixk,runak'-avüch,anak'avach,runak'-avech,sakil,luz,a-cuerpo,jixc,body
κλῆμα,66,unigram,neuter,nominative,plural,,,quiyil,,nuc'uaj,xtivachin-va.,xtivachin-vi,xticowin,ndiwachin,xtitiquir,xtiwachin,branch
κλῆμα,176,unigram,neuter,nominative,singular,uva,3.144976810710743,uva,,nvachin,uva,nivachin,niwachin,uva,uva,uva,branch
ἄρτος,361,unigram,masculine,accusative,plural,,,pan,kaxlan-wey,vüy,vay,vey,caxlan,kaxlan,simíta,wey,bread
ἄρτος,391,unigram,masculine,accusative,singular,wey,2.6019584897330033,pan,wey,vüy,vay,vey,caxlan,wey,simíta,wey,bread
ἄρτος,186,unigram,masculine,nominative,plural,wey,1.9342350562502195,yekatzuk,yeqatzuq,vüy,vay,vey,wey,kaxlan,simíta,wey,bread
ἄρτος,45,unigram,masculine,nominative,singular,,,Pan,wey,Vüy,vay,Vey,caxlan,kaxlan,Simíta,Wey,bread
ἀδελφός,346,unigram,masculine,accusative,plural,rach'alal,21.16932910821438,l,rach'alal,ralc'ual,ruch'alal,rach'alal,rach'alal,ruchaqꞌ-runimal,ralcꞌual,rach'alal,brother
ἀδελφός,143,unigram,masculine,accusative,singular,rach'alal,1.2100322421361593,quichak'-quinimal,rach'alal,quichak'-qui,Jacobo,cach'alal,rach'alal,kichaqꞌ-kinimal,quichakꞌ-quinimal-quiꞌ,rach'alal,brother
