lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_205_translation,version_206_translation,version_207_translation,version_208_translation,english_translation
θεός,343,unigram,masculine,accusative,plural,ilahi,1.3505457406121189,ilahi,ilahi,,disalahkan,God
θεός,141,unigram,masculine,accusative,singular,Allah,21.46255993271769,Allah,Allah,Allah,Allah,God
θεός,220,unigram,masculine,nominative,singular,Allah,10414.092822783816,Allah,Allah,Allah,Allah,God
κύριος,345,unigram,masculine,nominative,plural,pemiliknya,1.6742606845658072,pemiliknya,pemiliknya,melepaskan,diluchutkan,"Lord, lord, master"
κύριος,142,unigram,masculine,nominative,singular,Tuhan,39.55742141429542,Tuhan,Tuhan,Tuhan,Tuhan,"Lord, lord, master"
γραφή,136,unigram,feminine,accusative,plural,Alkitab,2.6765306066016126,Alkitab,Alkitab,Kitab,kitab,Scripture
γραφή,54,unigram,feminine,accusative,singular,Alkitab,1.5278900415875438,Alkitab,Alkitab,Kitab,kitab,Scripture
γραφή,276,unigram,feminine,nominative,plural,Alkitab,1.5246963758482357,Alkitab,Alkitab,tersurat,kitab,Scripture
γραφή,338,unigram,feminine,nominative,singular,Alkitab,1.3611486059072666,Alkitab,Alkitab,Kitab,kitab,Scripture
ἄγγελος,107,unigram,masculine,accusative,plural,,,,,malaikat-Nya,mŭliekat,angel
ἄγγελος,91,unigram,masculine,accusative,singular,bagi-Mu,1.1017833893282798,bagi-Mu,bagi-Mu,,,angel
ἄγγελος,50,unigram,masculine,nominative,plural,malaikat-malaikat,1.276043246697908,malaikat-malaikat,malaikat-malaikat,malaikat,mŭliekat,angel
ἄγγελος,118,unigram,masculine,nominative,singular,malaikat,4.196223587920386,malaikat,malaikat,malaikat,mŭliekat,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,Rasul-rasul,7.213555415462025,Rasul-rasul,Rasul-rasul,rasul-rasul,Rasol,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,mengutusnya,1.8139730925471438,mengutusnya,mengutusnya,mengutusnya,Sŭsungguh,apostle
ἐξουσία,74,unigram,feminine,accusative,plural,didakwa,1.5540595121112377,didakwa,didakwa,didakwa,hakim,authority
ἐξουσία,211,unigram,feminine,accusative,singular,berkuasa,1.0950055774883343,berkuasa,berkuasa,kuasa,kwasa,authority
βρέφος,18,unigram,neuter,accusative,plural,,,,,memberkati,ditŭngkinglah,babies
βρέφος,337,unigram,neuter,accusative,singular,palung,1.2374468236941218,palung,palung,,kandang,babies
ἀποθήκη,283,unigram,feminine,accusative,plural,hasil,2.204191583596097,hasil,hasil,menyimpan,langguan,barn
ἀποθήκη,73,unigram,feminine,accusative,singular,jelapang,1.5707161321521252,jelapang,jelapang,gandum,,barn
φραγμός,245,unigram,masculine,accusative,plural,rumahku,1.1999087542240303,rumahku,rumahku,,kŭrasilah,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,didakwa,1.553388894390017,didakwa,didakwa,didakwa,hakim,beginning
ἀρχή,191,unigram,feminine,accusative,singular,,,,,mereka.Yesus,Arkian,beginning
