lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2215_translation,version_2216_translation,version_2217_translation,version_2218_translation,version_2219_translation,version_2220_translation,version_2221_translation,version_2222_translation,version_2223_translation,version_2224_translation,version_2225_translation,english_translation
θεός,112,unigram,masculine,accusative,singular,اللهَ,2284.1212888957916,,اللهَ,للهِ,اللهَ,اللهَ,الله,ٱللهَ,اللهَ,اللهَ,اللهَ,,God
θεός,25,unigram,masculine,nominative,plural,شَريعتِكُم,1.8556825756243904,,,,شَريعتِكُم,شَريعتِكُم,يُكتَبْ,نَامُوسِكُمْ,ناموسِكُمْ,شَرِيعَتِكَمْ,مَكْتُوباً,,God
θεός,179,unigram,masculine,nominative,singular,اللهُ,117.1728308175624,,اللهُ,اللهُ,اللهُ,اللهُ,اللهُ,ٱللهُ,اللهُ,اللهُ,اللهُ,,God
κύριος,113,unigram,masculine,nominative,singular,الرَّبُّ,10.639349110702641,,السَّيِّدُ,مَولانا,الرّبّ,الرّبّ,الرَّبُّ,ٱلرَّبُّ,الرَّبُّ,الرَّبُّ,الرَّبُّ,,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,الكُتُبَ,13.111919343010413,,لِأَنَّكُمْ,الكُتُبِ,الكُتُبَ,الكُتُبَ,,ٱلْكُتُبَ,الكُتُبَ,قُوَّةَ,لأَنَّكُمْ,,Scripture
γραφή,227,unigram,feminine,nominative,plural,ولكِنْ,1.0277120466702376,,الْكِتَابِ.,الكُتُبِ,ولكِنْ,ولكِنْ,لِتَتِمَّ,ٱلْكُتُبُ,الكُتُبُ,,,,Scripture
γραφή,285,unigram,feminine,nominative,singular,قَولُ,1.586731748671124,,وَرَدَ,جاءَ,قَولُ,قَولُ,الكِتاب,ٱلْكِتَابُ,الكِتابُ,يَتَحَقَّقَ,الْكِتَابِ,,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,مَلَائِكَتَهُ,2.2115440828212747,,وَالشَّمَالِ,مُرسِلاً,,,,مَلَائِكَتَهُ,مَلائكَتَهُ,مَلَائِكَتَهُ,,,angel
ἄγγελος,72,unigram,masculine,accusative,singular,رَسولي,1.1027062121901932,,,,رَسولي,رَسولي,,,,,قُدَّامَكَ,,angel
ἄγγελος,41,unigram,masculine,nominative,plural,,,,الْمَلَائِكَةُ,السّاعةِ,,,المَلائِكَةُ,ٱلْمَلَائِكَةُ,المَلائكَةُ,المَلَائِكَةُ,الْمَلائِكَةُ,,angel
ἄγγελος,90,unigram,masculine,nominative,singular,المَلاكُ,1.5125522548475676,,الْمَلَاكُ,مَلاكٌ,المَلاكُ,المَلاكُ,الرَّبِّ,ٱلْمَلَاكُ,المَلاكُ,المَلَاكُ,مَلاكٌ,,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,الرُّسُلُ,9.71549440417636,,الرُّسُلُ,الحَواريّونَ,الرّسُلُ,الرّسُلُ,الرُّسُلُ,ٱلرُّسُلُ,الرُّسُلُ,الرُّسُلُ,الرُّسُلُ,,apostle
