lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2290_translation,version_2291_translation,version_2292_translation,version_2293_translation,version_2294_translation,version_2295_translation,english_translation
θεός,93,unigram,masculine,accusative,singular,สุดจิต,3.107107717706733,,สุดจิต,สุดจิต,,,,God
θεός,135,unigram,masculine,nominative,singular,แต่ทรงเป็นพระเจ้าของคนเป็น,1.859717171973948,,,,,แต่ทรงเป็นพระเจ้าของคนเป็น,แต่ทรงเป็นพระเจ้าของคนเป็น,God
κύριος,94,unigram,masculine,nominative,singular,‘,8.176763732150631,‘,‘,‘,‘,‘,,"Lord, lord, master"
γραφή,89,unigram,feminine,accusative,plural,พระเยซูทรงตอบว่า,1.357200134851507,,,พระเยซูทรงตอบว่า,,,,Scripture
γραφή,210,unigram,feminine,nominative,singular,‘,1.2376324741947045,,,,,‘,,Scripture
ἄγγελος,69,unigram,masculine,accusative,plural,ให้รวบรวมคนทั้งปวงที่พระองค์ทรงเลือกสรรไว้แล้วจากลมทั้งสี่ทิศนั้น,1.9162957709860493,,,,,ให้รวบรวมคนทั้งปวงที่พระองค์ทรงเลือกสรรไว้แล้วจากลมทั้งสี่ทิศนั้น,,angel
ἄγγελος,57,unigram,masculine,accusative,singular,เราใช้ทูตของเราไปข้างหน้าท่าน,4.300391841541701,เรา​ใช้​ทูต​ของ​เรา​ไป​ข้างหน้า​ท่าน,ดูสิ,ดูเถิด,ดู​เถิด,เราใช้ทูตของเราไปข้างหน้าท่าน,เราใช้ทูตของเราไปข้างหน้าท่าน,angel
ἄγγελος,73,unigram,masculine,nominative,singular,อย่ากลัวเลย,4.587967024693028,อย่า​กลัว​เลย,ไม่​ต้อง​กลัว,อย่ากลัวเลย,ทูต​สวรรค์​ตอบ​ว่า,อย่ากลัวเลย,อย่ากลัวเลย,angel
ἀπόστολος,5,unigram,masculine,nominative,singular,,,,,เราบอกความจริงแก่พวกท่านว่าบ่าวย่อมไม่เหนือกว่านายของตน,ทาส​รับใช้​ไม่​ยิ่ง​ใหญ่​กว่า​นาย​ของ​เขา,ทาสจะเป็นใหญ่กว่านายก็ไม่ได้,บ่าวจะเป็นใหญ่กว่านายก็ไม่ได้,apostle
ἐξουσία,46,unigram,feminine,accusative,plural,เมื่อท่านถูกนำตัวไปไต่สวนในธรรมศาลาและถูกนำตัวไปอยู่ต่อหน้าผู้ปกครองและผู้ทรงอำนาจ,8.508936023858562,,,เมื่อท่านถูกนำตัวไปไต่สวนในธรรมศาลาและถูกนำตัวไปอยู่ต่อหน้าผู้ปกครองและผู้ทรงอำนาจ,,,,authority
βρέφος,15,unigram,neuter,accusative,plural,ประชาชนอุ้มทารกมาให้พระเยซูทรงแตะต้อง,,,,ประชาชนอุ้มทารกมาให้พระเยซูทรงแตะต้อง,,,,babies
ἀποθήκη,45,unigram,feminine,accusative,singular,แต่พระองค์จะทรงเผาแกลบด้วยไฟที่ไม่รู้ดับ,1.9577231358603828,,,,,แต่พระองค์จะทรงเผาแกลบด้วยไฟที่ไม่รู้ดับ,,barn
ἀρχή,49,unigram,feminine,accusative,plural,เมื่อท่านถูกนำตัวไปไต่สวนในธรรมศาลาและถูกนำตัวไปอยู่ต่อหน้าผู้ปกครองและผู้ทรงอำนาจ,8.543045821189413,,,เมื่อท่านถูกนำตัวไปไต่สวนในธรรมศาลาและถูกนำตัวไปอยู่ต่อหน้าผู้ปกครองและผู้ทรงอำนาจ,,,,beginning
ζώνη,114,unigram,feminine,accusative,plural,อย่าหาเหรียญทองคำ,1.0960524252565438,,,,,อย่าหาเหรียญทองคำ,,belt
ζώνη,147,unigram,feminine,accusative,singular,ยอห์น​เอง​สวม​เสื้อผ้า​ทำ​ด้วย​ขน​อูฐ,1.0960524252565438,,,,ยอห์น​เอง​สวม​เสื้อผ้า​ทำ​ด้วย​ขน​อูฐ,,,belt
βλασφημία,68,unigram,feminine,accusative,singular,เขาได้พูดหมิ่นประมาทพระเจ้า,1.0960768946513286,,,เขาได้พูดหมิ่นประมาทพระเจ้า,,,,blasphemy
σῶμα,41,unigram,neuter,nominative,singular,นี่เป็นกายของเรา,2.1463008824918615,,,,,นี่เป็นกายของเรา,นี่เป็นกายของเรา,body
ἄρτος,201,unigram,masculine,accusative,plural,,,เมื่อ​พระ​เยซู​ทรง​ทราบ​จึง​ตรัส​แก่​เขา​ว่า,,พวกท่านมีขนมปังกี่ก้อน,ก้อน​กับ​ปลา,,,bread
ἄρτος,217,unigram,masculine,accusative,singular,นี่เป็นกายของเรา,2.1121871581091414,เมื่อ​กำลัง​รับประทาน​อาหาร​อยู่,,,,นี่เป็นกายของเรา,นี่เป็นกายของเรา,bread
ἄρτος,109,unigram,masculine,nominative,plural,เหล่าสาวกทูลว่า,1.7243992731785531,,,เหล่าสาวกทูลว่า,,,,bread
ἄρτος,29,unigram,masculine,nominative,singular,นี่​คือ​อาหาร​ที่​ลง​มา​จาก​สวรรค์,1.903699095031115,,,,นี่​คือ​อาหาร​ที่​ลง​มา​จาก​สวรรค์,,,bread
ἀδελφός,191,unigram,masculine,accusative,plural,หรือบิดามารดา,2.7509966613469943,,พ่อ​แม่,หรือบิดามารดา,ลูกๆ,,หรือบิดามารดา,brother
ἀδελφός,81,unigram,masculine,accusative,singular,ยากอบ,3.4290889959050674,,ยากอบ,ยากอบ,,กำลังทอดอวนอยู่ที่ทะเล,ยากอบ,brother
ἀδελφός,76,unigram,masculine,nominative,plural,,,,,คราวนี้มีพี่น้องเจ็ดคน,คน,,,brother
ἀδελφός,150,unigram,masculine,nominative,singular,ท่านอาจารย์,1.4540500136280021,,,ท่านอาจารย์,,,,brother
στῆθος,107,unigram,neuter,accusative,plural,เมื่อคนทั้งปวงที่มาชุมนุมกันเพื่อเป็นพยานในเหตุการณ์นี้เห็นสิ่งที่เกิดขึ้น,,,,เมื่อคนทั้งปวงที่มาชุมนุมกันเพื่อเป็นพยานในเหตุการณ์นี้เห็นสิ่งที่เกิดขึ้น,,,,"chest, breast"
στῆθος,183,unigram,neuter,accusative,singular,พระองค์เจ้าข้า,1.4060272822269526,พระ​องค์​เจ้า​ข้า,,พระองค์เจ้าข้า,พระ​องค์​ท่าน,พระองค์เจ้าข้า,พระองค์เจ้าข้า,"chest, breast"
ἀρχιερεύς,80,unigram,masculine,nominative,plural,,,พวก​อาลักษณ์,พวก​หัวหน้า​นักบวช,ธรรมาจารย์,,,,chief priest
ἀρχιερεύς,158,unigram,masculine,nominative,singular,แก​จะ​ไม่​แก้​ตัว​ใน​สิ่ง​ที่​เขา​กล่าว​หา​แก​หรือ,1.89482983571838,,แก​จะ​ไม่​แก้​ตัว​ใน​สิ่ง​ที่​เขา​กล่าว​หา​แก​หรือ,,,,,chief priest
τέκνον,214,unigram,neuter,accusative,plural,,,,พ่อ​แม่,หรือบิดามารดา,ลูกๆ,,,child
τέκνον,125,unigram,neuter,nominative,singular,ลูกเอ๋ย,21.900137181342465,ลูก​เอ๋ย,,ลูกเอ๋ย,ลูก​เอ๋ย,ลูกเอ๋ย,ลูกเอ๋ย,child
