lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2191_translation,version_2192_translation,version_2193_translation,version_2194_translation,version_2195_translation,version_2196_translation,version_2197_translation,version_2198_translation,english_translation
θεός,331,unigram,masculine,accusative,plural,богове,1.2766040515525003,,,,,богове,,,богове,God
θεός,129,unigram,masculine,accusative,singular,Бога,5261.096098298955,Бога,Бога,Бога,Бога,Бога,Бога,Бога,Бога,God
θεός,26,unigram,masculine,nominative,plural,богове,2.717263902087398,богове,богове,богове,богове,Богове,,богове,Богове,God
θεός,207,unigram,masculine,nominative,singular,Бог,12172989.17740939,Бог,Бог,Бог,Бог,Бог,Бог,Бог,Бог,God
κύριος,130,unigram,masculine,nominative,singular,Господ,349.17467363086126,Господ,Господ,Господ,Господ,Господ,Господ,Господ,Господ,"Lord, lord, master"
γραφή,124,unigram,feminine,accusative,plural,Писанията,541.1665176615986,Писанията,Писанията,Писанията,Писанията,Писанията,Писанията,писанията,писанията,Scripture
γραφή,49,unigram,feminine,accusative,singular,Писанието,8.352047417857705,,Писанието,,Писанието,,Писанието,,,Scripture
γραφή,262,unigram,feminine,nominative,plural,Писанията,4.546927942789035,Писанията,Писанията,Писанията,сбъднат,Писанията,Писанията,писанията,писанията,Scripture
γραφή,326,unigram,feminine,nominative,singular,Писанието,92.25258344992587,Писанието,Писанието,Писанието,Писанието,Писанието,Писанието,писанието,писанието,Scripture
ἄγγελος,92,unigram,masculine,accusative,plural,ангели,1.5613979939783618,съберат,ангели,ангели,Ангелите,изпрати,ангели,съберат,ангелите,angel
ἄγγελος,81,unigram,masculine,accusative,singular,вестителя,1.7558338085574834,,изпращам,вестителя,Ангел,,,,вестителя,angel
ἄγγελος,45,unigram,masculine,nominative,plural,ангели,9.25262277427453,ангели,ангели,ангели,Ангели,ангели,ангелите,ангели,ангелите,angel
ἄγγελος,103,unigram,masculine,nominative,singular,ангел,10.041147013818115,ангел,ангел,ангел,Ангел,ангел,ангел,ангел,ангел,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,апостолите,111.29038388839146,апостолите,,апостолите,апостолите,апостолите,извършили,апостолите,апостолите,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,пратеникът,2.9102718833275043,пратеникът,пратеникът,пратеникът,пратеник,пратеникът,,пратеникът,посланник,apostle
ἐξουσία,198,unigram,feminine,accusative,singular,власт,1075104.5014803535,власт,власт,власт,власт,власт,власт,власт,власт,authority
βρέφος,13,unigram,neuter,accusative,plural,Донесоха,1.3167745555846684,Донесоха,,,Донасяха,Донесоха,невръстните,Донесоха,,babies
βρέφος,324,unigram,neuter,accusative,singular,,,,лежи,,,,,лежащ,яслите,babies
ἀποθήκη,268,unigram,feminine,accusative,plural,храни,3.999796172100635,,храни,,храни,,хамбари,,,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,житницата,1.2955926647039224,житницата,житницата,житницата,житницата,,хамбара,житницата,житницата,barn
φραγμός,233,unigram,masculine,accusative,plural,оградите,1.096057314542422,,,,,,,,оградите,"barrier, wall"
ἀρχή,179,unigram,feminine,accusative,singular,начало,2.7386689990032607,,,начало,,,,,начало,beginning
ζώνη,170,unigram,feminine,accusative,plural,поясите,1.0960524252565438,,,,поясите,,,,,belt
ζώνη,223,unigram,feminine,accusative,singular,яденето,1.0960524252565438,,,,,,,,яденето,belt
βλασφημία,30,unigram,feminine,accusative,plural,богохулство,1.0960768946513286,,,,,,,,богохулство,blasphemy
