lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2137_translation,version_2138_translation,version_2139_translation,version_2140_translation,version_2141_translation,version_2142_translation,english_translation
θεός,309,unigram,masculine,accusative,plural,θεούς,1.2039751291158407,θεους,,θεούς,θεοὺς,θεούς,,God
θεός,123,unigram,masculine,accusative,singular,Θεόν,2.505361197747842,θεον,θεόν,Θεόν,θεὸν,Θεόν,,God
θεός,193,unigram,masculine,nominative,singular,,,θεος,θεὸς,Θεὸς,θεὸς,Θεὸς,,God
κύριος,124,unigram,masculine,nominative,singular,,,κυριος,κύριος,Κύριος,κύριος,Κύριος,,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,γραφάς,2.0653058274743086,γραφας,γραφάς,γραφάς,τὰς,γραφάς,,Scripture
γραφή,44,unigram,feminine,accusative,singular,γραφὴν,8.850075681791685,γραφην,γραφὴν,,γραφὴν,γραφὴν,,Scripture
γραφή,245,unigram,feminine,nominative,plural,πληρωθῶσιν,5.28029090390379,πληρωθωσιν,πληρωθῶσιν,πληρωθῶσιν,πληρωθῶσιν,πληρωθῶσιν,,Scripture
γραφή,304,unigram,feminine,nominative,singular,γραφὴ,15.797893956963904,γραφη,γραφὴ,γραφὴ,γραφὴ,γραφὴ,,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,ἀγγέλους,14.840939064451106,αγγελους,ἀγγέλους,ἀγγέλους,ἀγγέλους,ἀγγέλους,,angel
ἄγγελος,75,unigram,masculine,accusative,singular,αγγελον,1.7375087013588768,αγγελον,,,,,,angel
ἄγγελος,41,unigram,masculine,nominative,plural,ἄγγελοι,360.22794457740156,αγγελοι,ἄγγελοι,ἄγγελοι,ἄγγελοι,ἄγγελοι,,angel
ἄγγελος,98,unigram,masculine,nominative,singular,ἄγγελος,276.49641623986616,αγγελος,ἄγγελος,ἄγγελος,ἄγγελος,ἄγγελος,,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,ἀπόστολοι,37.26449983064423,αποστολοι,ἀπόστολοι,ἀπόστολοι,ἀπόστολοι,ἀπόστολοι,,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,αποστολος,1.3264197692010056,αποστολος,,,,,,apostle
ἐξουσία,184,unigram,feminine,accusative,singular,ἐξουσίαν,4454.423284334735,εξουσιαν,ἐξουσίαν,ἐξουσίαν,ἐξουσίαν,ἐξουσίαν,,authority
βρέφος,302,unigram,neuter,accusative,singular,βρέφος,1.2602793899364415,βρεφος,βρέφος,βρέφος,βρέφος,βρέφος,,babies
ἀποθήκη,250,unigram,feminine,accusative,plural,ἀποθήκας,15.998369418350894,αποθηκας,ἀποθήκας,ἀποθήκας,ἀποθήκας,ἀποθήκας,,barn
ἀποθήκη,62,unigram,feminine,accusative,singular,ἀποθήκην,1.1382410398083187,αποθηκην,σῖτον,ἀποθήκην,ἀποθήκην,ἀποθήκην,,barn
ἀρχή,168,unigram,feminine,accusative,singular,ἀρχὴν,19.579845686323562,αρχην,ἀρχὴν,ἀρχὴν,ἀρχὴν,ἀρχὴν,,beginning
βλασφημία,27,unigram,feminine,accusative,plural,διαλογίζεσθαι,1.2013845589884997,διαλογιζεσθαι,,διαλογίζεσθαι,,διαλογίζεσθαι,,blasphemy
βλασφημία,191,unigram,feminine,nominative,plural,βλασφημίαι,7.999388268018119,,βλασφημίαι,,βλασφημίαι,βλασφημίαι,,blasphemy
βλασφημία,76,unigram,feminine,nominative,singular,βλασφημία,15.998368735505117,βλασφημια,βλασφημία,βλασφημία,βλασφημία,βλασφημία,,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,πλοῖα,39.65487749656928,πλοια,πλοῖα,πλοῖα,πλοῖα,πλοῖα,,boat
πλοῖον,289,unigram,neuter,accusative,singular,πλοῖον,157.75756892183142,πλοιον,πλοῖον,πλοῖον,πλοῖον,πλοῖον,,boat
πλοῖον,212,unigram,neuter,nominative,singular,πλοῖον,10.2133055810321,πλοιον,πλοῖον,πλοῖον,πλοῖον,πλοῖον,,boat
σῶμα,200,unigram,neuter,nominative,plural,σώματα,15.998357043752561,σωματα,σώματα,σώματα,σώματα,σώματα,,body
σῶμα,53,unigram,neuter,nominative,singular,σῶμά,9.786683562160558,σωμα,σῶμά,σῶμά,σῶμά,σῶμά,,body
κλῆμα,138,unigram,neuter,nominative,singular,κλῆμα,1.2238218710170874,κλημα,,κλῆμα,,κλῆμα,,branch
ἄρτος,294,unigram,masculine,accusative,plural,ἄρτους,605.3709606803887,αρτους,ἄρτους,ἄρτους,ἄρτους,ἄρτους,,bread
