lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2251_translation,version_2252_translation,version_2253_translation,version_2254_translation,version_2255_translation,version_2256_translation,version_2257_translation,english_translation
θεός,382,unigram,masculine,accusative,plural,सकती।,1.2039751291158407,सकती।,असत्य,,सकती।,,ईश्‍वर,,God
θεός,159,unigram,masculine,accusative,singular,परमेश्वर,1011.3489012235616,परमेश्वर,परमेश्‍वर,परमेश्वर,परमेश्‍वर,परमेश्वर,परमेश्‍वर,परमेश्वर,God
θεός,34,unigram,masculine,nominative,plural,,,ईश्वर,ईश्‍वर,,ईश्‍वर,ईश्वर,ईश्‍वर,ईश्वर,God
θεός,246,unigram,masculine,nominative,singular,परमेश्वर,24436.405681631153,परमेश्वर,परमेश्‍वर,परमेश्वर,परमेश्‍वर,परमेश्वर,परमेश्‍वर,परमेश्वर,God
κύριος,384,unigram,masculine,nominative,plural,,,,,,,गधी,मालिकों,स्वामियों,"Lord, lord, master"
κύριος,160,unigram,masculine,nominative,singular,प्रभु,7.97216105366133,प्रभु,प्रभु,प्रभु,प्रभु,प्रभु,प्रभु,स्वामी,"Lord, lord, master"
γραφή,154,unigram,feminine,accusative,plural,शास्त्र,2.3850914183935523,शास्त्र,पवित्रशास्त्र,पवित्रशास्त्र,शास्‍त्र,शास्त्रों,धर्मग्रन्‍थ,शास्त्र,Scripture
γραφή,60,unigram,feminine,accusative,singular,शास्त्र,2.7162080670650557,शास्त्र,,पवित्रशास्त्र,शास्‍त्र,शास्त्र,धर्मग्रन्‍थ,शास्त्र,Scripture
γραφή,307,unigram,feminine,nominative,plural,,,शास्त्र,हों।,पवित्रशास्त्र,शास्‍त्र,लिखी,पूरा,लेख,Scripture
γραφή,377,unigram,feminine,nominative,singular,शास्त्र,4.223445473096917,शास्त्र,पवित्रशास्त्र,पवित्रशास्त्र,शास्‍त्र,शास्त्र,धर्मग्रन्‍थ,शास्त्र,Scripture
ἄγγελος,118,unigram,masculine,accusative,plural,स्वर्गदूतों,5.977270253310267,स्वर्गदूतों,स्वर्गदूतों,स्वर्गदूतों,,दूतों,,स्वर्गदूतों,angel
ἄγγελος,100,unigram,masculine,accusative,singular,दूत,9.348595003296179,दूत,दूत,दूत,दूत,दूत,दूत,दूत,angel
ἄγγελος,56,unigram,masculine,nominative,plural,स्वर्गदूत,11.457319465054832,स्वर्गदूत,स्वर्गदूत,स्वर्गदूत,स्‍वर्गदूत,स्वर्गदूत,स्‍वर्गदूत,स्वर्गदूत,angel
ἄγγελος,129,unigram,masculine,nominative,singular,स्वर्गदूत,53.910376425942054,स्वर्गदूत,स्वर्गदूत,स्वर्गदूत,स्‍वर्गदूत,स्वर्गदूत,स्‍वर्गदूत,स्वर्गदूत,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,प्रेरितों,341.62291428492193,प्रेरितों,प्रेरितों,प्रेरितों,प्रेरितों,,प्रेरितों,प्रेरितों,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,भेजनेवाले,1.8344274844063626,भेजने,भेजनेवाले,भेजनेवाले,हुआ*,,भेजने,भेजनेवाले,apostle
ἐξουσία,81,unigram,feminine,accusative,plural,अधिकारियों,1.1724556605736494,अधिकारियों,,अधिपतियों,अधिकारियों,बचाव,न्‍यायाधीशों,,authority
ἐξουσία,235,unigram,feminine,accusative,singular,अधिकार,542440.0101967613,अधिकार,अधिकार,अधिकार,अधिकार,अधिकार,अधिकार,अधिकार,authority
βρέφος,19,unigram,neuter,accusative,plural,लाने,1.7641185925376761,लाने,लाने,लाने,लाने,ला,छोटे,ला,babies
βρέφος,375,unigram,neuter,accusative,singular,चरनी,3.402748158493388,चरनी,चरनी,चरनी,चरनी,चरनी,,चरनी,babies
ἀποθήκη,315,unigram,feminine,accusative,plural,,,,,,,अनाज,,उपज,barn
ἀποθήκη,80,unigram,feminine,accusative,singular,खत्ते,1.3660008752512105,खत्ते,खत्ते,खत्ते,खत्ते,,बखार,खलिहान,barn
φραγμός,275,unigram,masculine,accusative,plural,बाड़ों,1.620182147272424,बाड़ों,बाड़ों,,बाड़ों,,बाड़ों,मार्गों,"barrier, wall"
φραγμός,134,unigram,masculine,accusative,singular,रस,1.1454417825320882,,,,,रस,,,"barrier, wall"
ἀρχή,84,unigram,feminine,accusative,plural,अधिकारियों,1.1722257129986984,अधिकारियों,,अधिपतियों,अधिकारियों,बचाव,न्‍यायाधीशों,,beginning
ἀρχή,215,unigram,feminine,accusative,singular,प्रारम्भ,1.3539434040170308,प्रारम्भ,प्रारम्भ,प्रारम्भ,,पहला,दिखाया।,शुरुआत,beginning
ζώνη,206,unigram,feminine,accusative,plural,,,,,,,ताँबा,पैसा,,belt
ζώνη,264,unigram,feminine,accusative,singular,वनमधु,1.0960524252565438,,वनमधु,,,,,,belt
βλασφημία,38,unigram,feminine,accusative,plural,विवाद,1.254390743208362,विवाद,विवाद,विवाद,विवाद,सोचने,ईश-निन्‍दा,परमेश्वर-निंदा,blasphemy
βλασφημία,116,unigram,feminine,accusative,singular,फाड़े,1.2729246835487205,,फाड़े,,,गवाह,फाड़े,फाड़,blasphemy
βλασφημία,244,unigram,feminine,nominative,plural,निन्दा,8.311823042471781,निन्दा,निन्दा,निन्दा,निन्‍दा,निन्दा,परस्‍त्री-गमन,निंदा,blasphemy
βλασφημία,101,unigram,feminine,nominative,singular,निन्दा,3.7569728295853326,निन्दा,निन्दा,निन्दा,निन्‍दा,,निन्‍दा,निंदा,blasphemy
πλοῖον,127,unigram,neuter,accusative,plural,किनारे,1.795386999192197,किनारे,नावें,किनारे,किनारे,नावों,नावों,नावें,boat
πλοῖον,359,unigram,neuter,accusative,singular,नाव,21072.400504083118,नाव,नाव,नाव,नाव,नाव,नाव,नाव,boat
πλοῖον,282,unigram,neuter,nominative,plural,नावें,1.886103458040786,नावें,नावें,नावें,नावें,नावें,नावें,,boat
πλοῖον,266,unigram,neuter,nominative,singular,नाव,204.90909068181978,नाव,नाव,नाव,नाव,नाव,नाव,नाव,boat
σῶμα,254,unigram,neuter,nominative,plural,,,,टाँगें,,टांगे,,मृत,टांगें,body
σῶμα,71,unigram,neuter,nominative,singular,शरीर,19.37484771454879,शरीर,शरीर,शरीर,शरीर,शरीर,शरीर,शरीर,body
κλῆμα,67,unigram,neuter,nominative,plural,फलता,1.5818890302109172,फलता,फलता,फलता,,फलता,फलता,दाखलता,branch
κλῆμα,177,unigram,neuter,nominative,singular,डाली,10.635895025467306,डाली,डाली,डाली,डाली,शाखा,डाली,स्थिर,branch
ἄρτος,364,unigram,masculine,accusative,plural,रोटियाँ,34.83751469997322,रोटियां,रोटियाँ,रोटियाँ,रोटियाँ,रोटियाँ,रोटियाँ,रोटियां,bread
ἄρτος,395,unigram,masculine,accusative,singular,रोटी,155771.44583546804,रोटी,रोटी,रोटी,रोटी,रोटी,रोटी,रोटी,bread
ἄρτος,187,unigram,masculine,nominative,plural,रोटियाँ,5.626684428378662,रोटियां,रोटी,रोटियाँ,रोटियाँ,रोटियाँ,रोटियाँ,रोटियां,bread
ἄρτος,47,unigram,masculine,nominative,singular,रोटी,412.16163085718125,रोटी,रोटी,रोटी,रोटी,रोटी,रोटी,रोटी,bread
ἀδελφός,349,unigram,masculine,accusative,plural,भाइयों,54.4076580016179,भाइयों,भाइयों,भाइयों,भाइयों,भाईयों,भाइयों,भाई,brother
ἀδελφός,144,unigram,masculine,accusative,singular,भाई,1981.3612482336198,भाई,भाई,भाई,भाई,भाई,भाई,भाई,brother
ἀδελφός,133,unigram,masculine,nominative,plural,भाई,81.43812778427275,भाई,भाई,भाई,भाई,भाई,भाई,भाई,brother
ἀδελφός,273,unigram,masculine,nominative,singular,भाई,1004732.6208567945,भाई,भाई,भाई,भाई,भाई,भाई,भाई,brother
στῆθος,183,unigram,neuter,accusative,plural,पीटती,1.3167569176938394,,पीटती,पीटती,पीटती,,,विलाप,"chest, breast"
στῆθος,332,unigram,neuter,accusative,singular,छाती,58.80907714193043,छाती,छाती,छाती,छाती,छाती,छाती,कौन,"chest, breast"
ἀρχιερεύς,286,unigram,masculine,accusative,plural,महायाजकों,19.102702784515447,महायाजकों,याजकों,,महायाजकों,,महापुरोहितों,पुरोहितों,chief priest
ἀρχιερεύς,72,unigram,masculine,accusative,singular,महायाजक,5.87348790772971,महायाजक,महायाजक,महायाजक,महायाजक,महायाजक,महापुरोहित,महापुरोहित,chief priest
ἀρχιερεύς,143,unigram,masculine,nominative,plural,प्रधान,9.128196570433635,महायाजकों,प्रधान,प्रधान,महायाजकों,प्रमुख,महापुरोहित,प्रधान,chief priest
ἀρχιερεύς,291,unigram,masculine,nominative,singular,महायाजक,3782.382563890063,महायाजक,महायाजक,महायाजक,महायाजक,महायाजक,महापुरोहित,महापुरोहित,chief priest
