lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1684_translation,version_1685_translation,version_1682_translation,version_1680_translation,version_1679_translation,version_1669_translation,version_1681_translation,version_1674_translation,version_1666_translation,version_1665_translation,version_1671_translation,version_1667_translation,version_1670_translation,version_1675_translation,version_1673_translation,version_1677_translation,version_1683_translation,version_1676_translation,version_1672_translation,version_1668_translation,version_1664_translation,version_1663_translation,version_1678_translation,english_translation
θεός,107,unigram,masculine,accusative,singular,,,ဤၑွရံ,ឦឝ្វរំ,อีศฺวรํ,ഈശ്വരം,ಈಶ್ವರಂ,īśvaraṁ,ඊශ්වරං,ਈਸ਼੍ਵਰੰ,IzvaraM,ii,ईश्वरं,IshvaraM,دھَنْیَں,ઈશ્વરં,ঈশ্ৱৰং,ஈஸ்²வரம்ʼ,ཨཱིཤྭརཾ,ଈଶ୍ୱରଂ,ঈশ্ৱরং,īśvaraṁ,IzvaraM,परमेश्‍वरस्‍य,ఈశ్వరం,God
θεός,23,unigram,masculine,nominative,plural,,,ဤၑွရာ,ឦឝ្វរា,อีศฺวรา,ഈശ്വരാ,ಈಶ್ವರಾ,īśvarā,ඊශ්වරා,ਈਸ਼੍ਵਰਾ,IzvarA,svaraa,ईश्वरा,IshvarA,اِیشْوَرا,ઈશ્વરા,ঈশ্ৱৰা,ஈஸ்²வரா,ཨཱིཤྭརཱ,ଈଶ୍ୱରା,ঈশ্ৱরা,īśvarā,IzvarA,व्‍यवस्‍थायाम्‌,ఈశ్వరా,God
θεός,169,unigram,masculine,nominative,singular,,,ဤၑွရ,ឦឝ្វរ,อีศฺวร,ഈശ്വര,ಈಶ್ವರ,īśvara,ඊශ්වර,ਈਸ਼੍ਵਰ,Izvara,ii,ईश्वर,Ishvara,اِیشْوَرَ,ઈશ્વર,ঈশ্ৱৰ,ஈஸ்²வர,ཨཱིཤྭར,ଈଶ୍ୱର,ঈশ্ৱর,īśvara,Izvara,परमेश्‍वरः,ఈశ్వర,God
κύριος,108,unigram,masculine,nominative,singular,prabhuH,2.131314955731512,ပြဘုး,ប្រភុះ,ปฺรภุ,പ്രഭുഃ,ಪ್ರಭುಃ,prabhuḥ,ප්‍රභුඃ,ਪ੍ਰਭੁਃ,prabhuH,parame,प्रभुः,prabhuH,پْرَبھُح,પ્રભુઃ,প্ৰভুঃ,ப்ரபு⁴​,པྲབྷུཿ,ପ୍ରଭୁଃ,প্রভুঃ,prabhuḥ,prabhuH,प्रभुः,ప్రభుః,"Lord, lord, master"
γραφή,104,unigram,feminine,accusative,plural,,,,,,,,,,,,sakti,,,,,,,,,,,,धर्मग्रन्‍थस्‍य,,Scripture
γραφή,216,unigram,feminine,nominative,plural,लिखितं,1.6871729769466055,,,,,,,,,,,,,,,,,,,,,,लिखितं,,Scripture
γραφή,268,unigram,feminine,nominative,singular,dharmmapustakasya,4.114322782917976,ဓရ္မ္မပုသ္တကသျ,ធម៌្មបុស្តកស្យ,ธรฺมฺมปุสฺตกสฺย,ധർമ്മപുസ്തകസ്യ,ಧರ್ಮ್ಮಪುಸ್ತಕಸ್ಯ,dharmmapustakasya,ධර්ම්මපුස්තකස්‍ය,ਧਰ੍ੰਮਪੁਸ੍ਤਕਸ੍ਯ,dharmmapustakasya,dharmmapustakasya,धर्म्मपुस्तकस्य,dharmmapustakasya,دھَرْمَّپُسْتَکَسْیَ,ધર્મ્મપુસ્તકસ્ય,ধৰ্ম্মপুস্তকস্য,த⁴ர்ம்மபுஸ்தகஸ்ய,དྷརྨྨཔུསྟཀསྱ,ଧର୍ମ୍ମପୁସ୍ତକସ୍ୟ,ধর্ম্মপুস্তকস্য,dharmmapustakasya,dharmmapustakasya,धर्मग्रन्‍थस्‍य,ధర్మ్మపుస్తకస్య,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,nijadUtAn,7.037001174422538,နိဇဒူတာန်,និជទូតាន៑,นิชทูตานฺ,നിജദൂതാൻ,ನಿಜದೂತಾನ್,nijadūtān,නිජදූතාන්,ਨਿਜਦੂਤਾਨ੍,nijadUtAn,nijaduutaan,निजदूतान्,nijadUtAn,نِجَدُوتانْ,નિજદૂતાન્,নিজদূতান্,நிஜதூ³தாந்,ནིཛདཱུཏཱན྄,ନିଜଦୂତାନ୍,নিজদূতান্,nijadūtān,nijadUtAn,दूतान्‌,నిజదూతాన్,angel
ἄγγελος,69,unigram,masculine,accusative,singular,,,ပၑျ,បឝ្យ,ปศฺย,പശ്യ,ಪಶ್ಯ,paśya,පශ්‍ය,ਪਸ਼੍ਯ,pazya,svakiiyaduutantu,पश्य,pashya,پَشْیَ,પશ્ય,পশ্য,பஸ்²ய,པཤྱ,ପଶ୍ୟ,পশ্য,paśya,pazya,,పశ్య,angel
ἄγγελος,37,unigram,masculine,nominative,plural,,,သဒၖၑာ,សទ្ឫឝា,สฺวรฺคียทูตา,സദൃശാ,ಸದೃಶಾ,sadr̥śā,සදෘශා,ਸਦ੍ਰੁʼਸ਼ਾ,sadRzA,vivahanti,सदृशा,sadR^ishA,سَدرِشا,સદૃશા,সদৃশা,ஸத்³ருʼஸா²,སདྲྀཤཱ,ସଦୃଶା,সদৃশা,sadṛśā,sadRzA,स्‍वर्गदूताः,సదృశా,angel
