ISO_639_3_Code,Language Name,Wikidata Entity,Leaftop Bible version Id,bible.com/versions,Likely name of bible
kud,'Auhelawa,Q5166,65,1069,yaubada yana walo yemidi vauvauna
abx,Abaknon,Q2820163,783,1091,i bahao kasuratan
aau,Abau,Q3073568,66,1015,god so sokior ok iwon
abt,Abelam,Q3508015,119,927,gotna kudi
abt,Abelam,Q3508015,120,1006,gotna kundi
abp,Abellen,Q3436621,186,2466,hiyay habi nin dioh
tbw,Aborlan Tagbanwa,Q3915475,1826,1935,kamatuudan nga ampang it ampuang diyus nga magpatantu pasar it kanya
abn,Abua,Q34835,67,2632,inya iigbia
kgr,Abun,Q56657,68,2864,sukdu subot os be gato yefun allah tom men ne
ace,Acehnese,Q27683,69,2835,alkitab haba get
acn,Achang,Q56582,1345,373,ngochang common language bible
acr,Achi,Q34774,71,3,i utz laj tzij re i dios
acr,Achi,Q34774,72,513,ri utzilaj tzij re ri kanimajawal jesucristo
acr,Achi,Q34774,73,517,ri utzilaj tzij re ri kanimajawal jesucristo
ach,Acholi,Q34926,1103,559,acoli baibul
fub,Adamaua-Fulfulde,Q34776,600,906,fulfulde bible
fub,Adamaua-Fulfulde,Q34776,601,905,fulfulde dc bible
fub_ar,Adamaua-Fulfulde,Q34776,2237,1707,dtr llh lld aadmo
tiu,Adasen,Q11214797,78,2812,ya baru nga tulag
adh,Adhola,Q1971400,79,2186,kitawo male
adh,Adhola,Q1971400,80,2185,kitawo male catholic
adi,Adi,Q56440,81,1530,bsi deena baibel bsi
wsg,Adilabad Gondi,Q63313752,82,2019,
adj,Adjukru,Q34738,83,1462,adioukrou nt
ady,Adyghe,Q27776,84,2157,kebaryshur indzhyl
afr,Afrikaans,Q14196,86,5,afrikaans 1933slash 1953
afr,Afrikaans,Q14196,87,6,afrikaans 1983
afr,Afrikaans,Q14196,88,2,bybel vir almal
afr,Afrikaans,Q14196,89,50,die boodskap
afr,Afrikaans,Q14196,90,117,nuwe lewende vertaling
agd,Agarabi,Q3399642,91,935,yisasini kama vaya
agq,Aghem,Q34737,92,2620,to ke keze ke fughu ko
agr,Aguaruna,Q1526530,94,515,awajun apajui chichame pegkejam porciones del antiguo testamento y el nuevo testamento
msm,Agusan Manobo,Q12953696,95,979,kasuyatan to diyus
agn,Agutaynen,Q3399717,96,1124,ang bitala tang dios ba long inigoan ang bagong magandang balita bagong tipan
aim,Aimol,Q4697175,99,1533,bsi rabu athar n dot t bsi
ain,Ainu,Q27969,100,1944,ashiri aeuitaknup iyohaichish yona 1897
aji,Ajië,Q2828867,1993,924,ajie new testament
knj,Akateko,Q34923,2027,623,ja an nuevo testamento
ake,Akawaio,Q28059,102,308,wak itekare
aeu,Akeu,Q4700657,635,1504,akeu gaolkheel
ahk,Akha,Q56643,103,1722,akha
ahk,Akha,Q56643,104,2166,yawshawr yaerbof dawqma sarjax yawshuif jaceuq eu hawr eu dawqdaq
mim,Alacatlatzala Mixtec,Q14697894,107,2439,alacatlatzala mixtec new testament
amp,Alamblak,Q56688,108,986,bro nkifrarhu mrokfot
sqi,Albanian,Q8748,1718,7,bibla shqip
sqi,Albanian,Q8748,1719,292,bibla shqip 2018 se bashku
sqi,Albanian,Q8748,1720,1826,dhiata e re gegnisht konstandin kristoforidhi 1872
sqi,Albanian,Q8748,1721,1821,dhjata e re 1827
zas,Albarradas Zapotec,Q4709425,1653,459,xtiidx dios
gah,Alekano,Q3441595,109,954,mono gotola gosoha
alq,Algonquin,Q28092,134,487,kije manido odikido8in ocki mazinaigan
ald,Alladian,Q34837,110,1487,mi anka ankrankran 2003
zaq,Aloápam Zapotec,Q4734726,2084,2820,zapoteco de aloapam
alt,Altai,Q1991779,2143,1850,jay kerees
alp,Alune,Q3327367,111,323,janji beluke
alz,Alur,Q56507,1100,2916,the holy bible in alur lur revised orthography
aly,Alyawarr,Q3327389,112,2571,alyawarr bible
amm,Ama,Q3446626,113,991,kotoni imo itouniyaimo
amn,Amanab,Q3327399,114,980,godna mo awai mona go
amr,Amarakaeri,Q35128,115,511,jesucristo oy oapak kenda jesucristoa monigkauyatenok diostaj momanopoyareaikane
aaz,Amarasi,Q4740192,116,1320,uisneno in kabin ma prenat rais manbaan feu nok reta ahun hunut
zpo,Amatlán Zapotec,Q4740613,2081,291,wdizh kwaan nyaadno yalnaban
amk,Ambai,Q1875885,117,1176,sempaisi ne kaiwo mirarebanai
qva,Ambo-Pasco Quechua,Q12953835,118,1769,quechua ambo pasco new testament
abs,Ambonese,Q3124354,1144,2734,segala surat perdjanjian baharu maha besar tuhan jesus christos 1877
aey,Amele,Q3508025,121,978,bal cehec je haun
ifa,Amganad,Q18748222,122,1356,nan hapit apu dios
amh,Amharic,Q28244,2306,1260,amharic bible new amharic standard version
ajz,Amri,Q3508092,123,1535,bsi akimi angton n dot t bsi
uhn,Amung,Q4748974,433,2905,haik a ongam kal
grc,Ancient Greek,Q35497,2137,182,elzevir textus receptus 1624
grc,Ancient Greek,Q35497,2138,156,sbl greek new testament
grc,Ancient Greek,Q35497,2139,183,scriveners textus receptus 1894
grc,Ancient Greek,Q35497,2140,2270,the greek new testament
grc,Ancient Greek,Q35497,2141,209,patriarxiko keimeno ekdosh antwniadh 1904
aby,Aneme Wake,Q3508107,127,1011,godinu irau wake
agm,Angaataha,Q3508001,128,981,autaahaathom pwha gaaha wanha
njm,Angami,Q56761,130,338,ketholeshu bsi
yli,Angguruk Yali,Q3514481,132,2911,allah wene
agg,Angor,Q3508100,133,1001,godnd hoaf
boj,Anjam,Q3504136,136,1743,yesus aqa anjam bole
boj,Anjam,Q3504136,137,936,yesus aqa anjam bole
aak,Ankave,Q3446690,138,985,ankave
any,Anyin,Q28395,143,1731,the agni sanvi nt of cote divoire
apy,Apalaí,Q2736980,145,865,ritonopo omiry
apt,Apatani,Q56306,146,1529,bsi niti gontu n dot t bsi
